#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	fecD//bhsA//ycdX//zapC//
GO_0000023_6	yceO//
GO_0000025_7	lpxT//
GO_0000027_7	rnc//melA//pta//clcA//adeQ//wzyE//nlpA//ybcM//mobA//yibT//yjhC//eutA//cusB//
GO_0000028_7	rpnA//nikA//ndk//agaV//rhaT//infB//iscS//appA//lyxK//
GO_0000032_8	waaS//
GO_0000041_8	yefM//yqjH//dnaJ//murE//sutR//aspA//qseB//hipB//ybaQ//deaD//mukB//opgH//tolA//mlaC//mlaE//ynfL//nikA//mmuM//wzc//dmsA//yccS//yfcR//ccmC//elfG//glnP//kdpB//rclB//dhaK//ptsH//mdaB//atpD//yceK//ispU//baeS//lsrR//ynbC//dppB//paaD//envR//
GO_0000050_5	aroG//rzpR//ompC//nagA//nrdB//dgoK//rluF//
GO_0000053_5	ybiO//
GO_0000096_5	xapB//ynbD//appA//gapC//recT//intQ//yfbU//nudB//infC//alsB//guaC//glnB//frlR//rbsB//yebK//mraY//ulaF//mtlD//ptrA//pabB//yfaE//
GO_0000097_6	araD//aqpZ//hemL//ygeX//trmB//yibF//gfcE//pckA//nrfG//pgpB//qseB//argK//bamD//cof//
GO_0000098_6	bssR//yejA//rluC//iscX//rplM//
GO_0000101_6	ymdB//trmD//purD//ycjY//mscL//eptB//rimO//tap//yhdW//rspB//mdtA//lsrA//mdtA//appC//yafO//
GO_0000103_5	yhbS//nuoG//kdgK//
GO_0000105_6	ynjD//trkA//xisE//nmpC//yegD//ybhA//ynjD//cydD//
GO_0000154_7	narJ//uhpB//cheR//guaB//lpp//kilR//cydD//frwC//fimC//paaJ//recG//ygaZ//mpaA//wrbA//yjfF//mraY//rof//paaX//amiC//hsrA//ralR//rpsS//setA//ddlB//ligA//mhpA//betT//gcvR//recA//feoB//aroD//fepG//
GO_0000160_5	yfcQ//sgrR//hyaA//gor//xylG//moaE//psuG//yiaN//etk//fimA//frlR//glgS//yciH//lolA//narQ//fryB//ggt//avtA//rlmF//scpB//trxA//yihI//kefC//glmM//ypdF//pdeR//fixC//uxuB//mdtO//avtA//moaC//rutC//ybiO//yeeY//narY//yhdW//ascG//yoaB//yodD//fur//ydcR//aqpZ//pdeR//
GO_0000162_7	garP//rlmF//fdx//dinJ//dhaM//pgaA//soxR//epd//paaG//
GO_0000255_5	dfp//epmC//clpA//pgaA//yhbX//
GO_0000256_6	yddG//dgt//ydjM//hcaT//tolC//
GO_0000270_7	hpt//wecE//rpsH//dicB//glgX//hybC//deoD//mgtL//ymgC//mepS//nrdA//frwD//trpA//rmuC//mscM//purB//rluB//acrE//rfbC//hisD//yihX//wcaC//miaA//rnt//zur//fmt//lpxL//ybcL//nirC//nuoF//polA//ydiV//yhcF//narY//mhpD//rfaH//puuC//clsB//rseP//feoA//folC//purL//nac//pinR//dinB//cycA//arnB//cobU//mhpR//fumC//hofP//pth//yafS//cusF//msrQ//surE//wzb//ssuC//ompL//kduD//frr//potA//ycdY//
GO_0000271_6	pth//xthA//cmoB//sfmC//proV//rnt//rplL//gdhA//yfcS//htpG//yfcQ//ascF//nikD//yoeB//rssB//ybgI//puuR//yhdZ//lpxH//rsmH//acrF//yfaX//yrfG//glmU//nudB//queG//ampD//lpp//ydjM//yeeO//glk//yqiI//mepH//msrP//atoS//trkG//panB//waaY//iscA//patZ//hisC//gpmA//nrdH//ompF//ynhG//nudC//rfbX//crr//yhcF//yrdA//
GO_0000272_6	tatC//yraR//cptB//sdaA//lpp//xanP//
GO_0000302_5	deaD//sucD//garK//pheP//frlB//yiaJ//gadB//thrL//yihR//ligA//asd//borD//opgE//araB//trxA//yfbS//kbp//pflB//ydcT//yagI//yddG//lacZ//waaZ//murJ//mtgA//uvrC//cyoA//oxc//yajR//cycA//betT//
GO_0000303_6	yhcD//uacT//
GO_0000305_5	ybdO//cca//uhpB//
GO_0000372_11	ydaC//
GO_0000375_9	recR//
GO_0000376_10	sfsB//
GO_0000413_9	yhaC//glpR//bioH//hflD//queA//ssuB//ruvB//otsB//
GO_0000451_7	xerD//pfkA//malI//lolC//speC//
GO_0000453_8	yhcN//fepB//rnd//aroK//yeeL//
GO_0000455_9	lptG//yeeY//araD//yejF//yeeA//kdpA//chbG//
GO_0000462_11	cspA//rpsD//
GO_0000469_8	yraK//
GO_0000470_10	ftsN//
GO_0000478_9	yegS//
GO_0000715_6	ulaG//
GO_0000716_7	hprS//
GO_0000724_8	nanE//
GO_0000725_7	sbcB//ychO//yqiJ//phnO//ycbU//wecC//
GO_0000726_7	scpC//
GO_0000731_7	ygcO//glk//potH//cysQ//mtr//cutA//tolC//
GO_0000737_7	adeD//
GO_0000738_7	yidZ//queC//ghxP//
GO_0000746_4	yajQ//
GO_0000820_7	yraH//
GO_0000902_5	kdsB//
GO_0000910_4	ygiB//ssuC//ubiE//lapA//yhdW//ykfM//ygeW//ribD//rlmM//sdhE//asd//malI//mdtP//yeeA//argC//wzyE//trmA//ynfK//
GO_0000917_6	yejA//ydeE//yihP//hdeB//fhuD//
GO_0000918_6	mtnN//selB//garR//ydeO//
GO_0000920_3	nikC//panZ//panF//bioH//cobU//
GO_0000921_6	gltB//
GO_0000966_8	rrrQ//ompR//recD//puuP//
GO_0000967_10	ugpC//ydiO//phoR//
GO_0001101_4	pheA//yiaA//hybG//pabC//rayT//ubiI//hybE//ymgA//nrfG//arnD//yhdH//yiaF//rlmN//hokB//alsE//ynhF//fliL//rplO//ypjD//ubiA//lolE//yedF//sodC//mdtC//tusA//rayT//
GO_0001121_7	ycfH//tpx//
GO_0001123_8	pepA//
GO_0001124_8	yagJ//
GO_0001407_7	chbF//envY//holE//yebK//
GO_0001505_4	yggD//alsK//yhdX//yciH//fpr//glcA//ilvN//ycjP//ldtC//rpmC//dsdA//wecA//degS//rhaT//fixB//gatA//
GO_0001510_5	rrrD//bioC//ralR//cca//hscC//ompL//btuE//rutB//yedF//vsr//rutA//npr//fumB//wcaJ//tisB//cas2//yjbE//pyrF//bisC//blc//comR//yhfK//thiI//glmS//leuB//mrdA//yqcG//truB//hipA//yddG//nagB//tauC//yegD//asr//hisG//yefM//dut//gudP//ymgF//hemA//
GO_0001514_8	hflK//
GO_0001522_7	hisM//ynfF//mzrA//ugpC//wzzE//yqaE//tar//elyC//mtnN//malY//cysM//mcbA//frmB//
