#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sdaB//cpoB//srlR//xylF//
GO_0000023_6	rutF//
GO_0000025_7	argI//
GO_0000027_7	nrdI//lyxK//mcrB//malI//ldrD//zapE//uxaC//frvB//kdsA//yahB//aroG//cyoA//chbA//
GO_0000028_7	ymgF//asnA//glrR//ycjQ//yieK//mepS//rimI//feaB//ydjM//
GO_0000032_8	yidE//
GO_0000041_8	yhjX//yneE//rraA//preT//yjaZ//nrdA//pyrG//yjfP//pbpC//ycfH//tdk//lysP//ydeI//dcuA//bcp//purR//bssR//cyoE//tolA//kgtP//decR//yhjG//mdh//fimZ//kdsC//ruvC//fic//pgaC//mak//rplL//ppsR//ydhQ//gltD//cof//aaeR//gudP//intA//tolB//xylH//
GO_0000050_5	yaaA//yoaA//gntK//cydB//rcdA//yicJ//rfaC//
GO_0000053_5	yagI//
GO_0000096_5	rplI//pspF//yqjI//btuB//hybD//tyrB//flgC//ampH//ybgI//trpR//fucA//minD//sbp//flgA//amiA//hiuH//nemR//torZ//rfe//sxy//nrdA//
GO_0000097_6	mhpD//flhA//waaY//chpS//intS//intQ//aaeR//yejE//solA//yfaX//cdd//ldtC//orn//sfmD//
GO_0000098_6	gph//adhP//sfsB//frdC//purL//
GO_0000101_6	rclR//hicB//pepT//hda//accD//yobA//grpE//iscR//trmI//hdeA//ptsN//norW//mutM//frlR//mreD//
GO_0000103_5	bglF//holA//ytfQ//
GO_0000105_6	zinT//ftp//galM//rseC//moeA//yfaV//fepE//gstB//
GO_0000154_7	motA//fdnG//rseB//secF//cobC//yjhH//rluD//baeR//yicJ//casB//sgrR//rapZ//recG//avtA//yibF//gpmA//aroA//malS//rffG//purL//nrfA//arsB//atpA//basR//fliD//btuF//waaH//mgrB//yegS//nusG//minD//recG//
GO_0000160_5	fhuC//speG//rsmI//wecC//tnaB//yphB//agaV//ilvD//dgcF//dppC//rplI//ymdB//frc//yfhM//ydjE//nhaB//dkgA//rlmD//dkgB//holD//argD//ftsQ//yjhP//yagG//livM//yfiC//fadI//narG//pbpG//tsx//uxaC//phnI//panE//atoB//rhtB//yciT//rplA//dxr//atoS//yahB//asmA//ravA//rnpA//
GO_0000162_7	hisH//pfkB//dsbA//secB//rplN//ydiZ//ydjM//ftp//pdxB//
GO_0000255_5	xanP//zapC//uidC//yiiD//glnH//
GO_0000256_6	ydeM//sulA//xylF//cyoE//diaA//
GO_0000270_7	yjeI//baeS//rfbD//hpt//xylE//mioC//hypE//basS//rplM//mrr//trpC//xylA//mepA//purB//dgt//fetA//dsdA//metN//yhdZ//rseB//eptB//menD//ybiX//yahD//yihU//pdxB//glnS//trpGD//pppA//torA//mukB//tcyP//spy//dusC//lgoR//zraR//arcB//sanA//yejB//yjhB//ridA//carA//ghoT//motA//sapF//nuoF//ydeT//rcsA//dinJ//hyaA//bioB//fucO//hchA//kdpD//tcyN//ispB//nrdH//yidQ//elaA//msrC//ycbX//hisM//hemH//
GO_0000271_6	argO//bamC//pstA//sgcE//serB//brnQ//nadK//yqaB//ulaD//yieL//ybiY//ydcS//artQ//fliT//chbB//exbD//hyfA//glpB//potB//bdm//plsB//gmd//yccX//ackA//hisC//ygiS//rseB//galU//iaaA//clpP//katG//uspB//rna//uxuR//pspF//gshB//cbrC//hipA//yidL//sbmA//ptsN//dnaN//dtpC//ssuE//nupG//norR//epd//citE//pgsA//gatB//
GO_0000272_6	eptB//idnD//ggt//copA//cfa//yraK//
GO_0000302_5	yfgJ//ivbL//eptA//murA//ybjX//yceD//dhaK//cysI//ssuC//sgrT//yfiC//glk//yajQ//rimI//rhaR//cspI//citE//csrD//xylB//dinD//yphF//frwD//yhjG//yihV//ligA//pntA//gatZ//aaeR//potH//mscL//hisM//
GO_0000303_6	paoC//rbsR//
GO_0000305_5	adeP//rhtB//zitB//
GO_0000372_11	yqeA//
GO_0000375_9	cmtB//
GO_0000376_10	gatB//
GO_0000413_9	metI//ansB//orn//recR//emrD//ygbL//ttcA//sodA//
GO_0000451_7	tehA//ytfQ//yjiM//trpR//bdcA//
GO_0000453_8	yaaJ//waaQ//rffH//btuE//pheM//
GO_0000455_9	ftsP//yhjC//pinQ//ssuD//pgaA//rimI//gmhB//
GO_0000462_11	rlmM//leuD//
GO_0000469_8	pflC//
GO_0000470_10	sfmD//
GO_0000478_9	zraR//
GO_0000715_6	yiaJ//
GO_0000716_7	pdeL//
GO_0000724_8	hipA//
GO_0000725_7	hybD//pgk//rraB//mdtC//yidE//eutD//
GO_0000726_7	arsC//
