#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yqgB//csiR//trmL//sohB//
GO_0000023_6	sufC//
GO_0000025_7	ybiO//
GO_0000027_7	rpsI//gabT//nudC//fdoG//waaH//yfiR//ybiW//purU//dgoA//evgA//rlmH//yebS//yfdS//
GO_0000028_7	adiA//dgcT//putP//ppsR//folE//azoR//galT//ydcZ//wzzB//
GO_0000032_8	rplY//
GO_0000041_8	tldD//lysO//purT//argK//speC//ygaV//nlpA//nuoH//ascF//cytR//arcA//secE//yohD//agaC//yadC//recX//rfaF//queG//paaF//clpA//dgt//nuoB//rpnA//yfcA//nfsB//pntB//artQ//lolE//yggE//yneJ//murG//arfB//atpA//yhjG//dsbG//yjjQ//zitB//nanT//fucP//
GO_0000050_5	glrK//ygcW//cysN//ycbB//ygeW//ybaE//map//
GO_0000053_5	rbsC//
GO_0000096_5	fiu//livK//ybiA//ybhF//thiC//yadM//adeP//mprA//adeQ//ubiF//hcaB//ynaI//ybhI//rfbD//lacZ//caiB//thrC//yhbY//ftsX//ygbI//opgE//
GO_0000097_6	fruK//yjcE//uhpT//rtcR//yfaE//lamB//sdhB//rnhB//sspA//narX//narK//yfdS//ispH//ilvN//
GO_0000098_6	napC//dgoD//mdtG//pgk//idnT//
GO_0000101_6	hyfR//yehZ//gpp//agaD//sucB//cas1//rplA//dacC//yhcN//rsmG//torY//secA//rcsF//putP//trxC//
GO_0000103_5	sad//glnA//cyoA//
GO_0000105_6	mdh//ydiK//msbA//pabA//bdm//mtnN//leuA//ldrB//
GO_0000154_7	gppA//iscU//yjhH//flgI//rplW//nrfF//rpiB//lptB//nanS//tqsA//ubiA//yihR//dcp//fliA//frvB//amtB//kbp//glxR//dnaC//nhaR//yehD//ogrK//lyxK//glxR//phnN//mhpA//ybbW//ogrK//stpA//ibpB//murC//ralR//
GO_0000160_5	yciF//appA//yqcG//shoB//xthA//yihP//rplD//cysM//ygeR//afuB//ibsC//lldP//ydeP//ybhR//ybdR//tsaD//rep//gstB//sufD//lysS//glvB//gloB//narQ//manX//mhpR//mdlB//rlmD//sthA//nimR//mutL//phoE//yeeJ//wcaB//gltS//phnI//ydhK//rpmA//dhaL//csdA//torA//flhA//arfB//yebQ//
GO_0000162_7	ynjD//nrdA//rclR//yahB//eco//ydcM//yjcO//cysC//abpB//
GO_0000255_5	ppiD//prkB//cpdA//xapA//yiaT//
GO_0000256_6	uspB//yieE//aslB//flgJ//ivy//
GO_0000270_7	glpD//dppD//iscA//rsmB//sgrT//ptsP//ydeO//ispA//serB//ibsE//yfjR//diaA//mscL//artJ//ycjW//tcyJ//ybgQ//pepB//adeP//acpH//aroF//pdeR//gltS//ubiX//mdtC//araG//malP//intS//ppk//nikD//etk//insB-2//efeO//rbbA//lpxM//csrA//rpsH//rng//btuD//mrp//ytfT//ansB//fadK//kdpD//ygiS//lsrA//csrA//lysS//yheT//metL//yafO//yfaL//yecS//narH//yfjV//paaG//tehB//clsB//pabB//ygiS//umuC//ompA//hisP//
GO_0000271_6	yidK//mscM//trpB//abgB//ung//dxr//satP//pspF//crp//minC//gpmM//argC//pntA//ydaV//yfgJ//yadI//appC//argB//bioC//guaB//rplA//skp//araF//setB//yfeO//yafQ//yraR//dsbD//dhaR//adhP//dnaX//allS//eno//rhtA//yaiP//insI4//amyA//yahK//fiu//yggD//ydaN//ygcO//uxuB//elaD//yagJ//holE//hemC//mdtF//uhpA//yeeJ//
GO_0000272_6	hrsA//fes//tsaB//secF//ychF//yraK//
GO_0000302_5	cdgI//rpe//curA//hofQ//tadA//speB//ubiI//ybaT//priA//etk//mltF//yciF//secM//fryC//aroK//abgR//caiT//atpG//chbA//menH//truA//yedF//murJ//scpC//zraR//adiA//rutB//yfeR//ydcO//malI//uidC//
GO_0000303_6	eptB//bglB//
GO_0000305_5	srkA//ybaT//hofO//
GO_0000372_11	potA//
GO_0000375_9	glnB//
GO_0000376_10	cspG//
GO_0000413_9	purA//norV//frwC//rutD//rhlB//pstB//ynfF//glcA//
GO_0000451_7	dam//rpmB//casD//ompC//yihT//
GO_0000453_8	entF//ydhK//etk//ubiG//fau//
GO_0000455_9	yahI//rzpR//rpsR//glxK//leuB//ssb//sbcC//
GO_0000462_11	ggt//speG//
GO_0000469_8	flgH//
GO_0000470_10	yfbS//
GO_0000478_9	rfbC//
GO_0000715_6	xthA//
GO_0000716_7	uidC//
GO_0000724_8	phnC//
GO_0000725_7	ddlA//thiQ//yfaX//ypdI//glk//borD//
GO_0000726_7	yedL//
GO_0000731_7	ygjR//relA//casC//hscA//tehB//lpd//rapZ//
GO_0000737_7	agaB//
GO_0000738_7	hprR//pheA//radA//
GO_0000746_4	sanA//
GO_0000820_7	yadM//
GO_0000902_5	mdoD//
GO_0000910_4	proW//aspA//prlC//truD//metR//rlpA//acrB//tauD//gcd//fetA//murG//sapA//phoR//yjfP//mhpT//fabG//ftnA//ygiV//
GO_0000917_6	mraY//chpB//dicC//trkH//cysZ//
GO_0000918_6	metH//hldE//arcA//hycA//
GO_0000920_3	lptC//hisG//mnaT//selD//ivy//
GO_0000921_6	zapA//
GO_0000966_8	pheA//proS//thrA//tatA//
GO_0000967_10	ahr//nuoF//chbC//
GO_0001101_4	flgH//atpE//lpoB//pyrD//ibsC//ggt//emrY//fliA//yebC//lolB//hybG//ydiO//tilS//caiD//hslR//rplT//tag//pyrB//mhpA//nfi//mhpT//caiD//kduI//ygjH//talB//malK//
GO_0001121_7	ybjX//tusB//
GO_0001123_8	cysU//
GO_0001124_8	mgrB//
GO_0001407_7	pflB//arnF//dadA//cobS//
GO_0001505_4	arsB//btuB//yjjU//sufS//minD//araD//rmuC//purC//katG//hokB//hybA//ssuD//proQ//relE//arcA//hscC//
GO_0001510_5	crfC//torD//atpD//gsiD//hrpA//malY//fhuD//xseB//lpd//rbsR//amiC//dsdA//bioC//gapC//yjiR//guaD//ffh//ynfH//yiaJ//casD//eptC//gsiA//yjbB//hcaC//pykA//moaE//hicA//ycdY//rffT//serC//lepB//dacA//yicJ//lsrC//ybeY//sppA//exbB//codA//ghxQ//betB//
GO_0001514_8	nusA//
GO_0001522_7	ompW//yidE//ymgC//torA//mhpA//gsiA//hfq//codA//ycgR//secY//menD//mhpT//folX//
GO_0001539_4	cspC//bglA//yoaB//tilS//ligA//fkpB//potH//pyrF//dmsB//sucD//yneE//frsA//rpsH//cycA//yceO//yiaA//rhaB//rsmF//ybiH//polA//cca//yehX//perR//hofM//fimF//mdtJ//fimB//csiR//menE//phr//fimB//
GO_0001558_5	yiiE//rpsA//amyA//rayT//nrdR//yehB//hisQ//smpB//
GO_0001561_6	clsB//
GO_0001666_4	mdtN//
GO_0001676_6	prkB//rffT//fbp//
GO_0001680_11	fucP//
GO_0001682_11	pitA//
GO_0001731_7	dnaE//
GO_0001762_6	blc//
GO_0001887_4	lysP//tcyJ//ygcR//
GO_0001896_5	yhbO//yfhH//ybbN//yafE//
GO_0001907_5	mgtL//yfcG//melB//rdgC//
GO_0001932_8	dgoR//cmtB//
GO_0001934_9	accC//
GO_0002047_6	tyrR//lptG//
GO_0002097_8	manZ//bglB//yaaU//hemF//asd//rpmC//btuF//hlyE//glnA//ybcJ//dinG//yhcD//recC//araF//ispB//focB//mnmG//pgk//mrcB//
GO_0002098_9	ygiV//argH//yfiR//ydhJ//upp//hofO//kbaY//argP//frvR//obgE//hyfF//hyfR//dacB//
GO_0002099_9	uspB//ispU//
GO_0002100_9	hybA//
GO_0002101_9	fdoI//afuB//
GO_0002128_7	kdpF//yadM//gpp//yehW//
GO_0002130_8	ydiR//
GO_0002131_9	trpL//
GO_0002132_9	ftsY//
GO_0002136_10	erpA//
GO_0002143_9	pepA//uhpA//intQ//appA//galM//aroG//
GO_0002181_7	puuB//malZ//
GO_0002183_5	proX//
GO_0002184_8	mscM//
GO_0002188_6	rsmF//
GO_0002190_6	tsf//
GO_0002192_8	mdtI//
GO_0002252_3	fryC//yajR//hofO//secY//hflX//pmbA//potD//ftnA//mrp//ftnB//
GO_0002790_6	pta//nikB//codA//ptsN//sfmC//bioH//yacG//
GO_0002937_9	cspB//
GO_0002938_8	dppD//
GO_0002939_7	yfcU//
GO_0002943_8	coaA//
GO_0002949_8	nrdB//lpxP//hlyE//gatC//
GO_0003333_7	ssuD//dinG//trg//torI//csdA//hybO//mngR//treF//gmk//mepM//dadA//ibsA//lnt//ybhS//ruvB//fimB//erpA//wecE//ppx//tyrS//topA//nac//ybjL//chbB//ybaL//uidC//glnB//hokE//fimH//entD//hemG//deoA//basR//mtnN//ttdB//polB//ydeO//mntS//elfA//ygbN//ygiW//fepB//cpxA//murF//yddA//hinT//rcsD//fabD//ortT//
