#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	feoB//hybA//dtpC//ubiB//
GO_0000023_6	galU//
GO_0000025_7	tdcG//
GO_0000027_7	rhoL//ybjC//gpt//ybdZ//tauA//galT//gutM//pyrL//yrbG//purT//yphC//lpxH//ybiY//
GO_0000028_7	cysM//mhpD//pgpC//sthA//creC//tolC//betI//hscA//talB//
GO_0000032_8	csgG//
GO_0000041_8	ybiW//cydB//rraA//rfaF//hofM//sufE//pspF//gntP//yggD//yrbG//hycA//clpP//yfiF//wzzE//insI-1//iraD//gltK//arsB//hcaR//tolQ//cpsG//xylE//yddM//hda//hisF//flgJ//zitB//ptsI//nanR//ppiD//glmM//tadA//phnC//pspG//ribB//dacA//manY//chpB//gpr//
GO_0000050_5	argG//pfkA//ybjI//bamC//fliD//rsmI//uvrB//
GO_0000053_5	kdpA//
GO_0000096_5	rutC//rplW//prlC//yfbR//hyfC//flgF//clpS//elfA//secM//ybhP//lptA//pdxJ//gadC//yidR//yqeG//mocA//yciV//kdpB//deoD//mlaB//nrfD//
GO_0000097_6	yjjI//glxR//insH-5//ydiZ//arnD//glcE//mazG//ybiA//ydhC//srlB//ycbB//purB//ttcA//ascB//
GO_0000098_6	nimT//ydiB//yjaA//yggT//ybjN//
GO_0000101_6	lysS//nrdI//clcB//sbcB//ycgR//ubiC//cra//hflX//wrbA//yoeB//frwD//yjjB//uup//yiiE//fdx//
GO_0000103_5	ycbB//ebgR//icd//
GO_0000105_6	yccX//tyrB//ftsI//ygiB//rlmL//nrfD//ykfM//caiD//
GO_0000154_7	yidH//yhcD//yaiV//allS//cpsB//tatE//ompC//mtlD//emrE//hemB//frlB//rfbB//fbp//ydiK//mqsA//potI//pgm//gpsA//fhuB//rpsT//rfaH//yciT//sad//yjjQ//yidH//opgG//pyrG//yciG//rsmG//yfcF//thrC//yghB//
GO_0000160_5	nagA//yebC//cysK//nuoB//phoU//rsmB//fabA//tomB//fhuD//hcaF//cyoB//glpB//sapD//hemE//cobC//waaG//rplK//nlpE//glcA//ycjR//intA//hemA//fhuD//wzzE//yghW//dctR//frwD//ydbD//elaD//cpxP//yahD//fmt//tusA//pta//nanC//sgcE//rzpD//aroL//hslR//rfaC//citG//prmC//aspC//
GO_0000162_7	yhjX//mtnN//ynhG//kdpA//ydcM//rplY//gsiD//mhpB//mdtJ//
GO_0000255_5	bioB//msrQ//tilS//abgR//nanK//
GO_0000256_6	ilvL//gudD//pstS//yedF//yadK//
GO_0000270_7	gutM//hybA//csrA//yggW//xisE//ttdR//osmC//ecpR//yhiM//nikR//xylE//pheP//yadN//aroD//patD//lacI//ygfI//topA//tamA//sgcC//pyrG//glcE//hslJ//atpB//dsbC//hybE//yfaU//bglH//fes//otsA//gltI//yphB//gatA//rnc//panD//glsB//tadA//ygjH//mocA//srlR//arsC//yfdG//yaaU//srlD//dgcE//dicA//yqaA//cspI//metH//acrZ//yhgH//aspA//ybjD//phoE//uspE//rplD//yieL//tufA//mtgA//hyfC//waaH//maoP//garP//
GO_0000271_6	flgE//rpsI//tdcF//insI3//mutM//sfmA//metI//sixA//codB//rsuA//ibsC//nagZ//ygiW//rfaC//dnaK//hslO//ccmD//seqA//argC//artM//ldtD//ogrK//argA//ptsH//rpoE//mgtL//yiaL//lpxH//nlpA//trxC//fabH//glpK//dxs//cheA//galF//copA//mepS//csiR//cycA//rutF//grxD//moaC//ydiF//bioP//xseA//araA//groS//ykfM//kdpA//yagI//
GO_0000272_6	tktA//hemG//nuoE//gsiA//umuC//bglA//
GO_0000302_5	rnd//ybdR//acpT//gatY//gcvH//aidB//yjhC//rpsG//lyxK//lacY//fieF//melA//dgcE//zraS//exbB//yagJ//kup//ppx//ilvC//yoaB//appA//rimK//dtpD//efeO//ydjL//ydiR//yoaA//ybeQ//wecC//yhaM//adeQ//
GO_0000303_6	recC//ynaI//
GO_0000305_5	dsbC//dinJ//wcaB//
GO_0000372_11	sohB//
GO_0000375_9	yhaV//
GO_0000376_10	ftsP//
GO_0000413_9	nagE//ubiG//ycfS//trpA//mltF//yecS//fklB//uspB//
GO_0000451_7	gatZ//yafS//ybaT//tdh//acrF//
GO_0000453_8	ygbM//rluF//thiP//torZ//fruK//
GO_0000455_9	speA//gadW//gadX//ybbW//kbaZ//mtlA//ybiA//
GO_0000462_11	ydeM//mdtE//
GO_0000469_8	sdaB//
GO_0000470_10	yhdX//
GO_0000478_9	fumA//
GO_0000715_6	mog//
GO_0000716_7	rpsG//
GO_0000724_8	yraH//
GO_0000725_7	sdhC//nusG//wzzB//ihfB//pgi//hdhA//
GO_0000726_7	rhmD//
GO_0000731_7	rplX//ybjD//dnaC//rplR//ydeE//speD//thrS//
GO_0000737_7	lpxC//
GO_0000738_7	aroF//yddA//dsbC//
GO_0000746_4	acrF//
GO_0000820_7	tdcD//
GO_0000902_5	flgI//
GO_0000910_4	maa//hypE//thrC//hokB//sfmA//cusC//appY//fabG//metC//tatD//cpxP//yiaO//ynhG//opgB//cnu//fis//lolA//bcr//
GO_0000917_6	trpA//ybcQ//lptF//feaR//ribE//
GO_0000918_6	cecR//amiC//tauA//hipB//
GO_0000920_3	rpsL//thiQ//yihS//queD//clsC//
GO_0000921_6	yjgX//
GO_0000966_8	cpoB//asd//casC//nlpI//
GO_0000967_10	ybhJ//ybiS//hupB//
GO_0001101_4	flgH//thiD//yagJ//lpxP//tmk//mlaD//sucC//pfkB//yehD//torR//atpA//ispA//narL//cspD//hprS//hda//waaH//ygjK//fecB//fepE//phnP//ycbU//yhjX//purF//bamA//rutE//
GO_0001121_7	rsmA//gltK//
GO_0001123_8	gltK//
GO_0001124_8	proA//
GO_0001407_7	folC//yaaJ//lldR//tyrB//
GO_0001505_4	rbn//ftsH//atoS//yajQ//waaC//nirD//rutC//abgB//yojI//frvB//ygaH//gadX//fpr//ybgI//gsiA//yebZ//
GO_0001510_5	fruK//creB//yadK//otsA//insA-1//yidH//yfeX//yfiE//ftsB//ycjR//bsmA//gmk//yahK//ftsB//pheT//adiC//ilvN//acrZ//nikC//arnF//osmY//gntP//ydeP//eutN//ubiB//yebG//agaB//yahK//asmA//rpsE//phnI//yehA//cycA//malQ//sbcB//pbpG//srlD//yjiY//fcl//cheB//
GO_0001514_8	zur//
GO_0001522_7	dnaK//agaV//rutR//kbaY//nirC//cobC//xseB//gpp//yghG//guaD//nadA//ydcP//yphB//
GO_0001539_4	fliK//chbG//ygcO//tsaC//yeeL//uxuA//uraA//glmU//yedL//hfq//gpsA//yifB//udp//bluR//yfgJ//ydiF//arnF//dppB//satP//elfA//pdxJ//insE-1//rarD//ydgA//arcA//bfr//hldE//pinE//eutR//ygfI//ugpA//
GO_0001558_5	ykgO//gabP//ygbL//fhuF//mdlB//ibsB//hisC//tcdA//
GO_0001561_6	sixA//
GO_0001666_4	trmD//
GO_0001676_6	rcsA//hypB//thrA//
GO_0001680_11	mntR//
GO_0001682_11	allD//
GO_0001731_7	hisQ//
GO_0001762_6	opgH//
GO_0001887_4	waaP//phnH//mdtQ//
GO_0001896_5	otsB//menB//yhdX//yfdS//
GO_0001907_5	ybcJ//speB//apt//serB//
GO_0001932_8	ivbL//lit//
GO_0001934_9	yraJ//
GO_0002047_6	tar//yjaA//
GO_0002097_8	mhpC//kefB//umpH//wbbK//ispU//lpxK//lpp//hisB//argK//minD//yfaV//higB//arnF//hda//trpD//ccmC//ygbM//fepG//cysZ//
GO_0002098_9	appA//recA//thrC//frvB//yhaC//acpS//viaA//crl//fre//tatE//dacD//ybhI//accD//
GO_0002099_9	rlmB//rpiA//
GO_0002100_9	yhjD//
GO_0002101_9	metF//btuF//
GO_0002128_7	cheR//ydhC//yjbH//rpsS//
GO_0002130_8	agaS//
GO_0002131_9	sseA//
GO_0002132_9	gatD//
GO_0002136_10	pnuC//
GO_0002143_9	yhhY//rluF//chbF//murE//sohB//pspC//
GO_0002181_7	rsmJ//ade//
GO_0002183_5	yiaN//
GO_0002184_8	ada//
GO_0002188_6	ygbM//
GO_0002190_6	yodD//
GO_0002192_8	rplB//
GO_0002252_3	sfmD//sucD//folD//mtn//sapD//frvB//ybhP//metL//dctA//gutQ//
GO_0002790_6	ahpC//agaC//rlmG//ydhK//umuC//acrF//def//
GO_0002937_9	gadE//
GO_0002938_8	zinT//
GO_0002939_7	ftsN//
GO_0002943_8	yeaK//
GO_0002949_8	rne//ybfE//sapA//alaE//
