#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hxpA//rzpR//cysS//recR//
GO_0000023_6	yfdC//
GO_0000025_7	recJ//
GO_0000027_7	ydcZ//mgtA//hofO//ycfL//rhaM//cydD//elfC//wzc//potE//ytfR//purF//cusF//cutA//
GO_0000028_7	ynfE//emrY//nusA//csgG//lrp//menF//tyrS//relA//glnA//
GO_0000032_8	cheB//
GO_0000041_8	gabP//preA//nuoF//yefM//cysC//hybA//ydeE//hycI//ykfM//yiaA//mdtD//gpmM//ydcR//frwB//ybjL//rfaQ//coaE//ybdR//nanT//pheM//gutQ//ybiX//cysD//hemD//fetB//yhdJ//ybdO//yeaV//pheT//cysA//yggF//trmL//fabR//yijO//ydhQ//queG//ispG//rluC//aceB//
GO_0000050_5	alsC//xylH//tcdA//essD//pflA//glnL//cvpA//
GO_0000053_5	opgE//
GO_0000096_5	mltD//efp//dusB//cysP//ortT//epmB//oppC//radD//mdtP//ftsX//oppC//glpX//zraS//recR//dsbC//mntR//yoeE//purN//ymgC//relE//ycjU//
GO_0000097_6	ybjD//ftsY//csgF//mglB//lolE//asnC//rseP//wcaB//ydhC//nlpE//intE//ascG//pepQ//eno//
GO_0000098_6	yihT//yhgH//rutF//rpsM//melA//
GO_0000101_6	hisD//lolB//yhjC//alaS//ubiH//msbA//thyA//ais//hisF//waaY//mutL//flgM//yajD//yfjV//dam//
GO_0000103_5	yhbS//acpH//murD//
GO_0000105_6	fdhF//ptsH//argC//map//tcyJ//miaB//osmY//clsA//
GO_0000154_7	thyA//spy//dppB//clpB//fmt//amiC//smrA//hyfR//htpX//dtpD//mutY//ydhK//nimR//exoX//yciK//ydbK//hycI//leuA//barA//thiH//idi//entB//frlC//ybgI//ssuD//zapE//cobU//rfaD//ybaK//gutM//nrdE//nuoB//
GO_0000160_5	mzrA//xseB//btuR//glsA1//apaH//bioH//rhaB//hxpB//mhpD//pmbA//sfmA//tisB//ldtD//pgi//rfbX//nsrR//eutD//ubiI//ycfS//zapD//kdsD//yjiX//atoS//flgE//fepE//yadI//clsA//lgoR//basR//helD//rutA//ispU//napB//nadE//yddA//psd//yfdC//wrbA//yqaB//codA//ydfK//hscC//rpsT//
GO_0000162_7	yfjV//kup//ybdH//atpG//parC//kdsD//tatC//sppA//ynhG//
GO_0000255_5	pbpG//lgoT//araE//ldcA//pinE//
GO_0000256_6	yeaE//nhaA//ymgA//yicJ//yjiM//
