#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	arfA//lsrK//deoC//pepA//
GO_0000023_6	tqsA//
GO_0000025_7	nikB//
GO_0000027_7	marR//leuA//preA//arsC//ydaV//pepT//oppF//frmR//thiE//etp//yebQ//fnr//ybaL//
GO_0000028_7	iscR//fhuD//arfA//valS//ymdB//hypD//yjcE//puuP//yfcU//
GO_0000032_8	puuD//
GO_0000041_8	yfiR//pck//gsiC//topAI//cobC//hupA//lpxC//yphC//yfcV//cpoB//yheT//ybjN//ybhJ//selU//ftnA//tsaD//queD//ompF//thiI//paaE//yjhB//fabI//phr//yihR//hcaC//narX//nusG//murA//fadE//rimJ//arcC//mglA//fruK//rutD//recA//pitB//murC//ygbM//gnsB//
GO_0000050_5	dinQ//pdxK//gor//hycI//hrsA//fimE//queC//
GO_0000053_5	aroG//
GO_0000096_5	ybbY//ariR//rbn//yfaL//ldtC//yoeB//raiA//ruvA//ggt//trpL//cheA//btuR//rluF//ilvN//norV//lrp//puuD//smrA//ybjG//trmD//parC//
GO_0000097_6	murI//ydhJ//ydiP//phnJ//pepT//tdk//tatB//ompA//atoC//entH//ddlA//cytR//dapA//higB//
GO_0000098_6	pdeF//ynbC//frmR//rpiB//yqjH//
GO_0000101_6	rclR//accC//waaB//rutR//ycjQ//gadC//rzoD//nlpA//umuD//mngA//aroP//mngB//hyi//yiaL//araC//
GO_0000103_5	cydA//yjeI//thiC//
GO_0000105_6	selA//tusD//nfsB//gutQ//yrbG//yadC//chbC//sbcC//
GO_0000154_7	sdaA//cheB//paaE//gadW//yacG//rpsH//metF//yagU//ugpA//murJ//rcnR//ftsA//rhmD//phoE//yjjV//mepS//appA//recE//glyA//phnC//ulaE//atpC//yidK//ydfK//yciK//cusA//rcsB//argT//rlmN//cysB//hyaD//secY//
GO_0000160_5	minD//gmd//zinT//fepG//appC//ycjP//proC//pgrR//macB//yihT//lnt//nrfB//mutT//cysW//zapB//map//bssS//pinE//murF//tcyL//purA//cspA//thiM//birA//fepC//ydfD//rzpR//nfo//dctA//frc//appC//rlmG//deoB//znuB//sohB//ssuA//xapB//sapB//yehB//melB//pdeD//cra//hybF//
GO_0000162_7	yaaJ//mgtL//lolD//tatA//ypjD//ssuE//ygfA//aroC//fimC//
GO_0000255_5	htrE//pfkA//prlC//adiC//rnd//
GO_0000256_6	csgF//uidR//yieE//intE//ydcS//
GO_0000270_7	guaD//surA//glpR//yehA//ytfT//nagK//add//rhlE//yqjH//yqcG//metC//ligB//ortT//ravA//ivbL//nrfC//rutA//rcsF//fabI//ccmA//rcnA//uraA//yraK//napA//proV//murA//cysE//agaD//napD//elaB//mepA//dgcF//lpoA//malF//yibH//cpsG//fliK//pliG//ydcR//pgaB//sfmF//kdsB//dut//hfq//ibsD//ycjY//fixB//yccX//elaD//epmB//adk//bfr//ymfK//rpsK//ghxQ//yhdJ//sucB//atpB//treA//rfaB//nfo//narH//queD//
GO_0000271_6	rpoA//gatZ//ydgA//rsmD//allB//yneL//gltK//speC//mdh//sbcC//fimZ//cysH//rcsF//tig//yfdR//pdxB//feoB//erfK//ligA//dnaT//csdA//zraS//truA//yfaX//yhjV//yafQ//sdhA//mazG//fimC//ampG//dkgA//ymfA//bglJ//rplK//yieL//csrA//clsA//clpS//lptB//intS//allD//ftsN//ycbB//mnaT//norV//rstB//srlE//csgA//rssB//atpE//
GO_0000272_6	soxR//infC//gntR//yheT//speE//dadA//
GO_0000302_5	yciT//relA//xanP//ptsI//sgbU//ghxQ//yejB//rplL//intQ//ribC//dnaJ//glnS//dhaL//fhlA//fliK//yadV//groS//mltB//nudC//cstA//argS//nikC//yafS//ydfD//ybiA//yidH//rsmD//tolR//fre//cpxA//msrQ//
GO_0000303_6	hybB//trpE//
GO_0000305_5	cspD//rplF//edd//
GO_0000372_11	rplC//
GO_0000375_9	mazG//
GO_0000376_10	alpA//
