#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sad//sixA//tolQ//ydeT//
GO_0000023_6	azoR//
GO_0000025_7	rsgA//
GO_0000027_7	pdeL//hmp//ybaK//napC//ynfF//btuB//lgoR//ubiC//ybaM//ldtB//lsrC//surE//prmA//
GO_0000028_7	ybiT//ftnA//dicB//cspB//ung//atpA//prpB//bdcA//yehA//
GO_0000032_8	ypdI//
GO_0000041_8	hemA//ydeO//ycfH//gpr//murQ//aceA//yihW//recA//trpD//hypA//tadA//yajR//pflC//emrY//hisS//folX//gatC//sdhE//yfiF//murD//malY//yehX//wecE//rsmA//xapA//rhaM//recE//purT//nagB//hmp//sapF//yccX//livJ//queE//holD//dctR//gpmA//csgB//yraR//
GO_0000050_5	osmY//yqiJ//iraM//yjiR//hdfR//fadI//trpD//
GO_0000053_5	rpsJ//
GO_0000096_5	ilvD//aas//bluF//ascG//cspC//crcB//ybhG//rutE//intS//torZ//ttdT//ydbD//metF//phoU//mreB//ydbD//gpmA//amiB//ftp//ycfJ//rng//
GO_0000097_6	rfaC//rlmE//yahN//dedD//mrdB//hemF//cspI//argH//yhjR//mtr//sstT//etk//ddlA//alkA//
GO_0000098_6	yfcQ//hycI//plsX//mntH//sufS//
GO_0000101_6	yidC//yfbV//erfK//sthA//alaS//tilS//yjjX//ilvH//insH-6//yhdJ//fadA//higB//ydiV//gshA//norW//
GO_0000103_5	yfgJ//aidB//serA//
GO_0000105_6	phnL//nagC//prmB//polA//gatD//lnt//fau//yaaJ//
GO_0000154_7	udp//mngR//gcvA//preA//fabZ//aroK//frc//ybhF//pdeH//hypF//allR//hcaB//sgcX//kdgK//yebG//preA//nhaR//ivbL//purD//ydcZ//ymgC//bamD//uof//bacA//sstT//nrfG//ydiR//uspB//azoR//ynhF//pstS//rmf//
GO_0000160_5	yehY//mglA//mutT//truB//tsgA//secG//rpiB//lamB//adiA//yebG//proW//casA//fadD//fruK//maa//ubiX//idnT//ompF//dgt//mcbR//rpoD//yhgF//fadI//mlaE//phoP//lptC//yidQ//mlaC//galE//acrA//surE//asmA//bssR//thiQ//dfp//ymjB//fabI//rhtA//yraK//panC//cydB//ppiC//rhsD//
GO_0000162_7	ldrB//hemB//recT//mglB//yehX//gatD//zraS//tolB//yphF//
GO_0000255_5	idnD//rclA//osmE//paaB//cdh//
GO_0000256_6	ydjM//dnaJ//yhbQ//dmsB//chbB//
GO_0000270_7	panB//upp//ytfP//yihU//otsB//chpB//lrhA//yciA//lsrD//proX//proV//glyS//dnaG//fhuF//yiaL//fliK//katE//ycdX//cfa//rhaT//mqsR//bacA//dkgA//mrcB//nuoM//glxR//glpD//amiB//yhbO//rho//yphF//cheY//mltB//symE//malY//ecpR//ccmD//flgF//hycH//nikA//mdfA//zapC//dctR//yegT//casA//ycbX//ydcT//ygcR//mntP//sodC//cobT//argO//glgC//cheB//hlyE//recQ//frvA//cysA//patD//waaS//aldA//osmC//yafS//
GO_0000271_6	nirD//kbaY//ydjL//tsaC//entE//yfbV//lpoA//yhjB//idnD//alkA//csdE//qseB//yhjX//yjiQ//tcyJ//btuR//ampG//kdpF//dppA//asr//carA//yejF//pyrE//yggE//crfC//ydfK//tag//pnuC//setC//tyrS//rpmA//ygiN//yiaB//serB//djlC//yefM//yicJ//asd//glyS//lolC//nanR//iscU//yecS//ygbN//tyrB//secG//ydiQ//ypdA//ispB//yqgF//
GO_0000272_6	psuG//nrdB//dgcM//gspJ//gltB//queE//
GO_0000302_5	cadC//mioC//ilvM//acpP//fucA//fdnG//baeS//ygeW//rbfA//proV//uxuB//osmF//folD//rplS//gntT//dam//bioD2//ulaA//bcp//yaaJ//idnT//yeeO//argC//rplX//hlyE//rayT//rodZ//fdhE//tnaC//yqiH//ykgF//
GO_0000303_6	mltC//ydiO//
GO_0000305_5	nagD//frmA//yhaO//
GO_0000372_11	gntR//
GO_0000375_9	ftsL//
GO_0000376_10	uidC//
GO_0000413_9	tusD//pdeR//sgcC//iscR//yehZ//poxB//casD//chpS//
GO_0000451_7	hpt//hslU//yjjI//glnD//ubiI//
GO_0000453_8	nanE//yjjW//yadV//paaA//lolB//
GO_0000455_9	allC//creB//cspA//pgl//ptsH//lpxM//rnc//
GO_0000462_11	rsmF//nrfB//
GO_0000469_8	deaD//
GO_0000470_10	csgA//
GO_0000478_9	alr//
GO_0000715_6	essD//
GO_0000716_7	yehB//
GO_0000724_8	acrB//
GO_0000725_7	frvA//sutR//modC//fmt//yobF//shiA//
GO_0000726_7	panB//
GO_0000731_7	copA//ais//dtpC//rimL//malY//pmbA//mlaF//
GO_0000737_7	dnaA//
GO_0000738_7	ybgI//rutF//argF//
GO_0000746_4	deoB//
GO_0000820_7	uvrY//
GO_0000902_5	tolR//
GO_0000910_4	lpcA//lptD//asnS//ynfK//truA//hemC//hscB//waaQ//sgbH//mutY//rplW//mlaF//plsX//fdx//truD//greA//mppA//treR//
GO_0000917_6	codB//phoU//argT//fixB//mhpA//
GO_0000918_6	norW//yqaA//bioP//panC//
GO_0000920_3	ppc//kdgK//frwC//iscS//ompF//
GO_0000921_6	rsmA//
GO_0000966_8	speB//sufA//ypjD//ygdG//
GO_0000967_10	ttdR//agaV//dgcF//
GO_0001101_4	bdcR//gntR//hinT//astB//yehP//asnB//dcuD//ulaG//ccmH//frmR//pgl//gluQ//thrL//flgC//kup//pgaA//tufA//lysS//prpC//gdhA//kbaY//hexR//frmR//fadR//lpd//elaD//
GO_0001121_7	araG//metL//
GO_0001123_8	osmY//
GO_0001124_8	panE//
GO_0001407_7	napD//panE//glpX//gspF//
GO_0001505_4	ydjM//recR//ridA//hypF//yigL//dnaE//amiB//ftsI//yhcD//ynfF//panF//cyoB//dedD//sapA//malQ//moaE//
GO_0001510_5	araA//yejB//ydjL//aroH//wzc//speC//nudF//ybgP//astB//gmhB//hisQ//talB//yfiE//yddA//tsaC//yadV//tusD//yraK//mdtK//sfmD//ynaE//mgtL//rseB//ybhI//yedX//rfbB//prc//fdoI//menF//cysH//fnr//yieL//yqiH//ydhK//argP//ushA//nanK//bioD//argR//hisA//
GO_0001514_8	glgX//
GO_0001522_7	gltB//frdD//cbl//holD//idnD//cheW//pdeD//panZ//ybjL//napC//ykgM//nrfB//rrrQ//
GO_0001539_4	rppH//artM//casB//sgbE//tpx//mrdB//yggP//waaG//hisA//hcp//trg//yjjB//entF//yraJ//elaA//argK//metL//yidR//ybfE//yiaO//truA//cpdB//fucA//grpE//yjjU//clpX//ibsA//waaU//gudX//fis//sutR//
GO_0001558_5	rpsE//nagE//insE-1//mlaF//iap//guaD//guaC//elfG//
GO_0001561_6	rlpA//
GO_0001666_4	aroB//
GO_0001676_6	yiaF//casD//fixC//
GO_0001680_11	evgA//
GO_0001682_11	csgA//
GO_0001731_7	mutM//
GO_0001762_6	dctA//
GO_0001887_4	fliZ//moeA//lolD//
GO_0001896_5	ypjD//phoA//ascB//kefC//
GO_0001907_5	speE//uxuR//htpG//cspG//
GO_0001932_8	adk//mtr//
GO_0001934_9	gpr//
GO_0002047_6	ftp//rtcB//
GO_0002097_8	ybaM//apaH//carB//rimP//rapZ//hcaT//lplT//selU//yibT//ydbK//rsmH//scpC//yjaA//katE//trmH//uup//ytfR//holA//yahD//
GO_0002098_9	rtcB//rbsK//bcsQ//fdnH//yhbY//cyaA//ybeF//hemC//sapB//cynS//diaA//glnB//argE//
GO_0002099_9	tqsA//lipA//
GO_0002100_9	rbsA//
GO_0002101_9	aldA//recF//
GO_0002128_7	yeeA//pcm//nagK//znuB//
GO_0002130_8	yehP//
GO_0002131_9	dapD//
GO_0002132_9	torA//
GO_0002136_10	rzoD//
GO_0002143_9	yibA//sdhC//gpmM//nrdI//cueR//ybiW//
GO_0002181_7	ccmG//garP//
GO_0002183_5	ggt//
GO_0002184_8	ccmF//
GO_0002188_6	wrbA//
GO_0002190_6	mlaF//
GO_0002192_8	yihI//
GO_0002252_3	nhaA//ccmC//kch//fes//nanR//rpsR//srlR//pdxJ//mazF//yjcS//
GO_0002790_6	serS//glnP//tmcA//fadD//moaD//ygdG//yegS//
GO_0002937_9	aspA//
GO_0002938_8	mtlD//
GO_0002939_7	etp//
GO_0002943_8	eutD//
GO_0002949_8	amiC//kefB//ybcQ//cas2//
GO_0003333_7	ynfH//hcaC//ettA//mnmE//yghW//ftsY//ydbD//yfbR//apt//sapC//pepN//argS//envY//fadJ//hdhA//tehA//sulA//yehT//ptsG//insH-6//skp//ycfJ//yjiX//pdxY//dpiA//ubiF//bioD//ulaF//flgF//nirD//pabC//torY//nrdR//lnt//sfmA//prlC//ompW//trmD//sbcD//phnN//apaH//recX//dacA//yijO//aroC//malK//bisC//panE//folM//
