#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	deaD//waaL//hslO//fadJ//
GO_0000023_6	aroL//
GO_0000025_7	lyxK//
GO_0000027_7	rplW//nupX//yhbS//treF//yhjB//rseC//yeaD//exbD//yajR//hokB//sufA//amtB//aroA//
GO_0000028_7	yhbY//grxD//rhtA//ycbV//cysS//gadA//rpnA//lpxT//ydaV//
GO_0000032_8	dicB//
GO_0000041_8	cusR//serA//yibT//tdcE//oppF//gloB//yehD//gcvT//narZ//secD//queE//yigB//glgC//yhjX//helD//yajO//mngB//aroH//hemD//xylR//kup//nrdB//betI//yraI//wcaC//dgcE//gadB//fdnG//afuC//tehB//rzoR//rlmH//pgpC//yggP//glgX//leuC//glgS//ydaV//purN//
GO_0000050_5	secG//napB//opgC//argS//nudC//glk//rpmB//
GO_0000053_5	chpB//
GO_0000096_5	mdaB//bglJ//ttdA//yjeH//yciH//thiE//hofP//relE//intZ//acrB//hemH//glgA//yecS//ybjD//queC//cysN//fepC//ygcO//yahB//insB-2//norR//
GO_0000097_6	ibpB//glyS//yfgO//degP//lptF//btuE//malI//betI//lsrK//dfp//mak//hybC//fimH//yehD//
GO_0000098_6	mtgA//alpA//ulaB//frwC//mgtA//
GO_0000101_6	tomB//rusA//garD//miaB//yciF//ldcC//msrP//yahB//rhaM//pflB//pdeF//phoQ//fdoG//gltP//agaD//
GO_0000103_5	rffH//yqiH//sapC//
GO_0000105_6	eno//yagU//sanA//rpsG//yfdK//hisM//sdaB//nagK//
GO_0000154_7	gsiA//ompA//ribA//znuC//rlmJ//alsE//wecB//rpsQ//betI//hdeB//yfcG//csdE//ynbD//yabI//opgB//dcuD//murC//hdeA//rrrD//dppF//ygbM//fecD//oxc//recC//accC//yeeJ//ycjY//ydiR//gspF//mnaT//tatC//truA//
GO_0000160_5	elfG//sodC//glnA//zntR//ompL//tsr//srlD//proX//yggP//menI//argA//yihU//betA//ybiI//deoA//srlB//ompN//avtA//speA//yhaJ//ampG//ilvA//fimI//hchA//ribB//ruvB//gmd//rimL//fucO//yedL//yqeG//eptA//ltaE//nrdI//rof//kefF//ackA//dgoK//pheS//recO//yiiM//eutK//entH//
