#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	dpiB//rcsF//yagF//fucI//
GO_0000023_6	hybG//
GO_0000025_7	glvB//
GO_0000027_7	rcdA//flhE//ydcZ//dicA//glnA//frlR//hns//pdeH//ycjW//tdcD//eutB//btuE//galE//
GO_0000028_7	ydcT//gltX//ptsH//tsgA//narL//wcaB//mntS//ygjH//yggX//
GO_0000032_8	yfeD//
GO_0000041_8	hdhA//fabA//fimC//flgM//nfuA//rpoA//yidC//flgK//glnA//arcC//dnaQ//crcB//oppD//ispU//sgcC//xerD//dgkA//hisB//ubiI//ykgA//sodC//fliL//rlmG//corA//proC//mdtG//dtpA//ybeY//kbaY//zraR//rnhA//ycjP//tktA//ybhF//galP//ydiV//recB//uxuR//nanC//
GO_0000050_5	rplT//malI//fiu//pinE//hisI//ftsK//trmJ//
GO_0000053_5	yiaU//
GO_0000096_5	treF//yidC//lepA//rpmH//pnuC//ulaC//gltD//hemF//lacZ//zntR//dcuC//tar//dinD//rcsD//marR//gspF//pyrL//umuD//flhA//phnO//frlB//
GO_0000097_6	acnB//tatA//glyA//wcaJ//livG//rimO//yfcF//nagK//epd//dnaK//dgt//nanR//holB//sppA//
GO_0000098_6	patA//nrdB//ynhG//recR//rfaF//
GO_0000101_6	atpB//chbR//cyoA//ssuD//hyfR//ompF//cyoB//yfcA//yggN//rfaH//yafQ//deoA//ghxP//lplA//treF//
GO_0000103_5	minD//yjiX//gntK//
GO_0000105_6	ulaB//tgt//hldE//pdxK//basR//ribC//mntR//tpiA//
GO_0000154_7	gadW//fliA//yedX//tilS//rpoH//mazF//yfdK//yedL//carA//rimP//exoX//fmt//ybhG//dnaQ//rzpD//katG//ftsX//adiA//rplQ//betI//thiL//glnE//ytfQ//tsaB//lasT//xylR//rbsC//rhaS//betA//pyrL//elaA//ygjR//
GO_0000160_5	folA//lsrG//phnI//yccA//napB//nagD//ubiH//arnT//cysZ//chaC//gatB//tolA//sufA//malK//yajQ//flgH//ulaR//ybgP//rsgA//ykgM//tktB//cca//sapD//sodC//secG//yojI//rluF//phnJ//zntA//lhr//folC//coaE//yigB//lpxK//hyaB//hokB//torZ//ybiI//ybiJ//gcvR//ompG//pyrD//trmA//
GO_0000162_7	opgB//yciH//ribE//dinG//rpiB//cheY//rodZ//tdcE//pnuC//
GO_0000255_5	menE//tatD//kbp//eutN//speB//
GO_0000256_6	livH//cas1//cusC//yfcR//ybhS//
GO_0000270_7	sfsA//ompR//yqcC//kgtP//purR//sdaB//vsr//thiC//waaP//ydaN//acrR//mog//ubiF//setC//yebG//rfaF//yfcP//allC//ubiG//mlaF//hyaD//raiA//aphA//yfcQ//glxR//wecE//rfbD//actP//argO//sugE//mlaE//marR//holC//syd//yciT//recX//pinQ//accA//cysA//yadK//allR//mdtJ//msrB//bipA//kduI//htpX//lsrC//envZ//glnA//speF//ygaH//fliM//ompR//glpA//mltD//ytfR//cspG//rstB//lolA//yidK//soxR//entA//nrfD//
GO_0000271_6	rutG//ykfI//yihV//pdeD//yqjH//menD//prmA//sanA//tsaD//puuA//bdcA//yibH//fadE//cysH//nikA//dctR//yieH//astC//appC//btuC//envR//ubiD//pspD//gcvH//ydbK//glmU//glrK//yaiV//dtpB//leuD//ligB//waaA//ykfI//lplA//dapB//arcC//alr//torA//edd//rsmA//trkG//yiaL//yceO//cheW//rffH//cbl//nikB//purA//aaeA//hdeD//
GO_0000272_6	menE//yfeR//insH-6//rarD//qseC//leuB//
GO_0000302_5	zinT//surA//eutB//sixA//yqeF//fecA//aaeR//coaA//gstA//creC//pyrC//potA//ampH//hyi//oppF//ugpE//ynhF//nlpE//rzoR//fimG//yahF//arnD//metL//yhhZ//ugpB//fecC//gcl//yhjD//mnmG//actP//tusB//
GO_0000303_6	hprS//lgoR//
GO_0000305_5	ridA//rnt//arfA//
GO_0000372_11	ybiI//
GO_0000375_9	nanE//
GO_0000376_10	rhtC//
GO_0000413_9	luxS//zraS//agaS//nemR//ilvH//tonB//bisC//betA//
GO_0000451_7	hdeD//cdaR//rfbD//nagK//tdcR//
GO_0000453_8	flgE//dcuA//pdxY//lysS//hflX//
GO_0000455_9	idnK//nanR//glnD//hemE//mmuM//entC//pinQ//
GO_0000462_11	speG//acpH//
GO_0000469_8	rutR//
GO_0000470_10	astC//
GO_0000478_9	arsR//
GO_0000715_6	artM//
GO_0000716_7	yraK//
GO_0000724_8	dmlR//
GO_0000725_7	pgk//yjhH//ibsE//actP//rclR//agaB//
GO_0000726_7	ybbY//
GO_0000731_7	trxC//sgrT//gloB//ynjA//aroD//napB//ybjX//
GO_0000737_7	narW//
GO_0000738_7	chaC//yehA//sapF//
GO_0000746_4	topAI//
GO_0000820_7	ldtC//
GO_0000902_5	nadB//
GO_0000910_4	mcrB//yghG//pmbA//rpe//treR//phoA//mlaF//dxs//nirC//ispF//puuE//lsrD//citC//cutA//zipA//pstB//paaX//moaC//
GO_0000917_6	eptA//dnaA//tcyL//dgcM//lacI//
GO_0000918_6	setC//chaA//yegS//sulA//
GO_0000920_3	ibpA//pgi//folE//kdpA//rpiB//
GO_0000921_6	purC//
GO_0000966_8	nimR//rplS//ebgA//arnD//
GO_0000967_10	hscC//yqjA//glgB//
GO_0001101_4	rlmD//sgbE//infC//sbmC//ftsE//hrpA//rayT//astC//yejF//fdhE//crr//hemF//ygeV//ytfR//torS//abgA//rpe//waaG//recE//rimJ//gspE//hisA//ugpC//waaU//sodB//yqhD//
GO_0001121_7	manX//treC//
GO_0001123_8	agaR//
GO_0001124_8	moaE//
GO_0001407_7	cyaY//yihU//tusE//yeeY//
GO_0001505_4	srlE//fmt//codB//tatB//adeQ//ydfH//paaK//yecS//rbsD//mcbA//flhE//lacY//yjjX//cspG//cysW//fhuD//
GO_0001510_5	yehT//fepG//mlc//rluC//preA//insF-1//artJ//ycjU//menE//fryB//lysO//yicJ//holC//trpC//setA//tatC//lysR//bcp//secA//ycbU//cas1//mraZ//glcE//uxuA//prpD//roxA//rpsQ//idi//kdsB//galU//maa//nikA//dps//rdgB//garP//paaG//ydcT//wzyE//arcA//rpsM//
GO_0001514_8	yrbG//
GO_0001522_7	gcvP//ynfH//crcB//hiuH//hemC//tnaC//yneJ//cmoM//ptsH//ydeO//ftp//yggN//rpsJ//
GO_0001539_4	glnK//csgF//alr//dtpA//rzoD//kduI//yfcS//pepA//dedD//tdcE//parE//ycjW//rlmJ//paaB//dgt//yddG//ydiF//sgcE//emrD//pta//hsrA//dacC//pitA//ytfQ//livF//ascB//pyrG//gabP//epmB//yagE//purR//
GO_0001558_5	fepB//murG//dnaG//cheR//yeeJ//mppA//topB//pntA//
GO_0001561_6	flhD//
GO_0001666_4	aldA//
GO_0001676_6	yfdR//rplE//uxaB//
GO_0001680_11	pstA//
GO_0001682_11	yceD//
GO_0001731_7	suhB//
GO_0001762_6	dppD//
GO_0001887_4	hslR//kdpE//ydaV//
GO_0001896_5	rbsA//abpB//tdcB//yhjX//
GO_0001907_5	ybhG//cheR//fixC//pphB//
GO_0001932_8	waaQ//yaaA//
GO_0001934_9	ydeT//
GO_0002047_6	add//speA//
GO_0002097_8	yeaD//pdxY//pabB//ydjL//nikD//dgcT//hyaC//mdtN//ydhJ//dnaN//ycdY//clpS//yadC//ppiC//lacI//ydcS//dfp//queF//artP//
GO_0002098_9	cspI//ortT//yjbF//tcyN//narI//hyfR//nupG//rlmE//ybhF//hycA//insI4//nfuA//pgaD//
GO_0002099_9	hcaB//sfmD//
GO_0002100_9	appY//
GO_0002101_9	yhbO//pstS//
GO_0002128_7	araE//flgH//ascF//moaE//
GO_0002130_8	rraA//
GO_0002131_9	gpmM//
GO_0002132_9	entE//
GO_0002136_10	dppD//
GO_0002143_9	groS//rsmD//argG//narW//rzoR//lit//
GO_0002181_7	paaH//cysB//
GO_0002183_5	alsA//
GO_0002184_8	hybD//
GO_0002188_6	flgH//
GO_0002190_6	secA//
GO_0002192_8	treC//
GO_0002252_3	argD//feaR//cas2//ppc//rplF//mmuP//cueR//yhaM//lplT//ldtB//
GO_0002790_6	osmC//rffH//yefM//rstB//ftsN//yajR//gfcE//
GO_0002937_9	glpD//
GO_0002938_8	puuA//
GO_0002939_7	ydaN//
GO_0002943_8	trxA//
GO_0002949_8	appA//gyrA//yejB//secG//
GO_0003333_7	yahK//rssA//katG//sucB//argF//nanE//atpE//trpL//cheW//fumA//tdcF//elbB//lgoT//mrdA//cysU//yfcR//lptE//torI//trxC//rzoR//hisD//ubiG//mrcB//gadW//gltS//recC//mzrA//bamA//fabD//hisD//yoaB//ybbW//hinT//yoaB//nikD//ssuE//treB//ycfH//ubiE//nadE//narI//tusC//melR//nth//nagA//dmsA//yhjD//sufC//ttdR//
GO_0005975_4	nrfG//ydeE//ptrA//hemE//bsmA//yijO//nlpI//yidE//ynfK//yeeL//metN//yhbO//adeD//chbB//hisI//mltB//mobA//yfcP//rpoA//alkB//ibpB//yjbB//dpiA//aer//agaB//rpsN//ispG//bioH//yqhC//tus//secB//tag//rclA//psd//thrS//speC//glpA//mug//rclC//xylA//ppc//cspE//kup//yhdH//adiY//paoC//ycgB//cmk//yfcP//mhpB//gadX//frmB//mqsA//ynfL//erpA//fliG//pheT//dedD//ygeR//etp//mtr//slyD//ydjE//queF//gatC//tauC//menH//wrbA//glmM//fruA//yeiE//panE//lspA//alsA//gfcE//btuF//osmF//zntA//pdxH//hisS//rfaC//dsdX//yfcF//metF//frwC//hflX//leuA//pepT//mlaC//gcvH//rbbA//ssuA//cyoD//dbpA//nirB//mtfA//rimL//baeS//yiaF//mdlB//adiY//tsf//uxuR//hscB//murG//frlR//wcaJ//ubiB//tatD//znuC//gabT//malP//sgcE//moaB//casC//baeS//ykfI//yhjD//exbD//phnI//mtfA//rbsB//infC//eptC//flgC//gsiB//garL//paaH//yahB//hycB//cdd//lgoT//ybjC//tonB//yghO//ygdG//yjjQ//gpmM//hicB//mntS//tbpA//prfC//ugpA//wzb//recA//phoR//kbp//uxaA//aldB//hcp//fumA//ybcQ//entH//yhjC//ynjD//prmA//lptF//btuE//ydiK//rdgC//bepA//rpsH//prmB//mcrB//fdnG//queA//cysD//nth//ugpB//msrP//tynA//pyrE//mug//yjeH//arsB//tatA//yddA//dgoA//cdh//nrdB//rplS//nagE//cusB//ansB//msbA//dgoK//abpB//ampE//mtlA//hybF//ldtB//tdk//narH//glcD//ycfJ//glnP//kilR//gpr//alsC//yfgO//fadM//yagU//fryB//gatY//dinQ//uof//sgbE//mdtL//ybhG//acpH//yhgH//hisC//cheY//rsmI//holE//mutH//rutA//paaC//cspE//wrbA//rcnA//mngR//dgcN//sbp//ftsA//yggF//narK//yaaJ//waaB//ccmG//decR//fumB//artJ//yfiC//yggP//coaE//scpC//ymgA//dinB//nrdG//mngB//yqeF//yebS//yejA//ybaE//fimB//yagE//ypdC//fklB//trpR//yjbE//glxK//tldD//gntT//
GO_0005976_5	lolB//fepE//rsmJ//ftsQ//mipA//rfbC//cydC//tehB//exuT//trkG//rihC//ykfI//holB//pgsA//phnO//lacZ//bioD2//acpS//oppB//cadC//cpxR//arnT//arcA//dctR//proW//speE//yqiH//betT//yqjA//yiaO//ftsY//bamB//ynfL//yghB//pitA//bioA//yqjA//cutC//mdtG//yrbG//htpX//fau//uxaA//pntB//yoeE//hyi//ymgC//ycjW//ompC//nhaB//obgE//slmA//dgoR//yjbB//alr//nirC//gspJ//rnhB//yciE//
