#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yjiA//fre//ydjL//fabZ//
GO_0000023_6	allD//
GO_0000025_7	hemF//
GO_0000027_7	ydjM//sstT//bioB//tas//ykgM//ampH//katE//prc//fecC//gspE//araA//rlmH//speG//
GO_0000028_7	narK//codB//glvB//yidK//yhfS//dgcT//mutL//nanS//ccmC//
GO_0000032_8	dicA//
GO_0000041_8	entA//murR//yggN//nagB//kilR//lolE//zraS//oppD//dnaK//nuoN//xanQ//gspE//recG//cyaA//pspD//intE//kgtP//tap//dctA//ptsN//ftnA//ydfK//rpoE//yfbV//betA//cpxR//gatD//kefC//lgoT//dppC//mlaE//garD//emrY//eptA//sanA//yibF//alsE//yjjV//serS//
GO_0000050_5	aaeR//mdtG//hycB//hcaF//yhhZ//alpA//murG//
GO_0000053_5	fdrA//
GO_0000096_5	mdoD//lpxM//gnd//proS//rsfS//malE//nagK//paaK//ydcP//fryC//ynbC//nrfF//hxpB//yibH//tolR//trpE//ybdO//ppiC//yjjI//fdx//nanC//
GO_0000097_6	yjhC//gloB//mdtF//pyrB//rhmR//recG//wecA//thiL//degQ//mepH//rpsB//lrhA//dgoR//nagB//
GO_0000098_6	proW//ispU//ydcP//hisD//fcl//
GO_0000101_6	msrA//hicA//pepT//panE//mak//yggP//lacZ//rluE//skp//rpsE//galE//ompN//aslB//rpsG//rimL//
GO_0000103_5	ascG//bglJ//gltS//
GO_0000105_6	dgkA//trmI//yjjW//acpS//hisA//dinI//zapB//yedF//
GO_0000154_7	nth//ykfM//yafQ//pal//yagJ//murP//yajO//allD//yjeI//mmuP//yfaU//rpsM//yidZ//frvR//zraR//ibsB//galP//gspI//lepA//cbrC//tamA//yhaC//argA//lpoB//asnC//pheT//pal//smpB//paaE//eno//glcC//idnK//
GO_0000160_5	yfbR//yjcS//fryC//pstS//cutA//yhfS//tynA//cdgI//rffH//ispG//narP//cyoB//mpaA//ugpE//yeeJ//rfaD//ygaV//ftsA//uraA//umuD//hxpA//infB//ytfT//abpA//afuC//yihW//rplL//yedL//nanK//rpoS//acpP//frwB//aldB//srkA//phoB//waaU//bolA//fdoH//ppc//ycjQ//birA//purR//hycI//
GO_0000162_7	mrr//fbaA//secY//hypB//dsbC//potA//ftsP//nemA//adeD//
GO_0000255_5	crp//lolA//macB//sufS//tusA//
GO_0000256_6	nanE//nrfC//rimK//ptsH//mhpA//
