#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ubiB//sfmH//etk//trmB//
GO_0000023_6	mhpT//
GO_0000025_7	gudD//
GO_0000027_7	yciV//aqpZ//nimT//dtpD//dgoT//hprR//ubiJ//ycaO//mhpR//yjtD//casD//gshB//csiD//
GO_0000028_7	ebgA//yahF//mrcA//ibsC//slmA//mltD//aaeR//sdhA//wecC//
GO_0000032_8	folX//
GO_0000041_8	lgoD//fumC//hslO//cysI//ubiE//gmhB//frwB//frdB//menB//yihR//coaE//spoT//bglJ//hxpB//aroA//mdoG//ftnA//gnsB//mtlD//nagA//bcsA//xylF//ampD//udk//aer//yfcR//pspC//caiF//hisP//elfC//srmB//ugpA//guaB//yajR//oppF//menF//yciE//yehT//ypdI//
GO_0000050_5	queG//gadA//wcaJ//malG//ispB//casA//ilvM//
GO_0000053_5	queA//
GO_0000096_5	aer//glgX//cspD//sucB//kdsC//def//hicA//ymfK//wzc//yahF//alsK//gudD//phnI//argR//srkA//ppc//ulaA//nmpC//gpr//yidZ//umuD//
GO_0000097_6	araB//yqaA//araD//rapA//ydiP//trxA//yfeO//ymgF//hcaR//kdpE//emrE//yoeB//entS//kdgT//
GO_0000098_6	rcnR//xapA//yraJ//panZ//garP//
GO_0000101_6	ompA//fadE//tyrB//znuA//ghoT//fkpA//mdlA//nth//proB//gshB//moaA//bglA//aroC//insA-1//mdtI//
GO_0000103_5	ydfG//intQ//fumC//
GO_0000105_6	nuoH//fliM//paaF//pheP//ppsR//nrdF//shoB//rraA//
GO_0000154_7	tdh//ascF//dcd//yneJ//murG//mepH//cysD//ytfT//rfbX//cydB//yeaE//guaA//gmk//rdgB//rlmB//truB//alsK//betB//nuoM//mngR//fucA//torD//trpGD//flgA//sstT//ptsG//cysE//ydiO//chbR//torY//gmhB//cas1//
GO_0000160_5	cra//yjfP//dacD//bglJ//pspD//ybdO//aroD//yahD//mazG//efp//srlE//xylR//yfaU//gspF//fimD//yehW//recB//amyA//phnP//frmR//folD//yjaZ//waaU//bisC//crcB//cdsA//gutM//pdeD//hupA//cysW//frvR//sspA//fadE//oppF//betB//mltB//paoC//fimC//dnaG//nlpI//rrrD//ascF//yhdZ//
GO_0000162_7	mltB//ydaV//rng//ffh//gyrA//envZ//ansB//yrfG//frmR//
GO_0000255_5	metB//cvpA//pepB//yhaO//ycbU//
GO_0000256_6	yihT//atpG//lolE//fabZ//satP//
GO_0000270_7	yjhC//ykgA//gloC//secY//metF//fliL//xylB//dgcT//bamE//ybcQ//dapA//fabI//relE//yadN//rrrQ//btuR//srkA//moaB//yafE//eutA//uhpC//nikA//hofP//dhaM//yhgH//hisP//yfaE//yeaV//cecR//surA//pstB//qorA//malQ//fdhF//setC//ihfA//sfmF//zraS//nlpE//bssR//decR//purA//dusC//grcA//upp//yceO//ubiG//nrdH//narU//dsdC//degS//btuR//lptA//cpxR//yggE//rfaH//rfaC//mglC//codA//ldtC//lsrK//yjhI//bolA//
GO_0000271_6	soxR//opgB//waaZ//yqiJ//ompL//yiaN//rlmG//pheM//tmcA//bcsA//cobS//infB//pinQ//rlmC//rpoH//mqsR//nikD//tsx//bcr//mlaC//aroK//torR//prmC//yafE//potG//sgcE//atpB//agaS//allD//selB//galK//fabB//srmB//mpaA//groL//menA//hofM//yfdG//emrB//ibaG//kdgR//rhoL//asnA//aroG//ompW//ubiG//opgB//gsiB//elyC//yiaU//
GO_0000272_6	blr//ftsK//ldtC//cspG//ttcA//bglJ//
GO_0000302_5	cysK//yhfS//ygfZ//metL//yodD//yqgB//yihX//rffG//rimO//gabP//tamB//sulA//ftsL//acrB//bioH//moaA//moaE//nrdD//tesB//ybjG//prkB//acrF//frdA//mglA//glgA//mioC//slyD//hslJ//yjbG//mhpB//rbn//
GO_0000303_6	nikE//ubiE//
GO_0000305_5	nusG//yehC//waaY//
GO_0000372_11	rimJ//
GO_0000375_9	selD//
GO_0000376_10	torI//
GO_0000413_9	moaE//citC//flgH//yadK//glmS//yedF//dnaA//tmcA//
GO_0000451_7	cueO//thiD//fimB//coaA//insI4//
GO_0000453_8	mltG//allR//accD//arfB//mlc//
GO_0000455_9	uup//ydeE//yiiD//rlmM//pspD//rpmF//bglX//
GO_0000462_11	pflC//gspE//
GO_0000469_8	fruA//
GO_0000470_10	amtB//
GO_0000478_9	yojI//
GO_0000715_6	kdpB//
GO_0000716_7	tap//
GO_0000724_8	ribA//
GO_0000725_7	rpoA//yafS//cydC//ftsW//fis//raiA//
GO_0000726_7	dinG//
GO_0000731_7	rph//yagJ//hybO//arnD//rssB//ygiW//malX//
GO_0000737_7	yddA//
GO_0000738_7	ybjN//erpA//thiM//
GO_0000746_4	hofO//
GO_0000820_7	fabB//
GO_0000902_5	thiI//
GO_0000910_4	gcvT//tdcB//xthA//rutE//narW//lysS//dicA//yieK//ttdB//hybG//cspD//cysC//tusA//yhhZ//wecC//ftsZ//tdcB//hyfR//
GO_0000917_6	yehY//yihX//ygiV//yajQ//trxA//
GO_0000918_6	narZ//ptsH//citC//cpxP//
GO_0000920_3	yiaN//emrD//rrrD//mdtQ//cadC//
GO_0000921_6	srlA//
GO_0000966_8	ydhJ//gntR//dhaR//speE//
GO_0000967_10	fabG//ddlB//yebZ//
GO_0001101_4	ygbI//yfeR//ubiJ//yifB//rnc//ynfE//rrrD//gpsA//gabD//iscU//dadA//wza//yidP//cpdB//sulA//ygeV//pflA//yfhH//tag//mdtC//insK//ydeI//yhdJ//malF//napB//eutD//
GO_0001121_7	hscB//iaaA//
GO_0001123_8	ygiN//
GO_0001124_8	yhcH//
GO_0001407_7	etp//argH//tdcD//ymgA//
GO_0001505_4	nrfB//glnL//rffT//pgpC//ilvC//mog//rhaD//rppH//rpoH//ompF//rpe//fpr//trmB//cpxP//araF//marR//
GO_0001510_5	dusB//cysD//ydgA//marR//torY//yehP//cytR//hypB//yaaU//yidD//mepS//panD//rplN//ydfD//srlE//garD//cycA//ycbX//cirA//cycA//bdcA//ackA//ygbL//aslB//pal//ydiO//cynT//slmA//mrcB//cdgI//narJ//yciV//rcnR//nudF//pck//ptsG//prpC//mobA//yqeA//mdtG//
GO_0001514_8	phnG//
GO_0001522_7	trpS//yfhH//prmC//mnmE//caiT//ppc//cbrC//dtd//fucP//envR//xdhB//sfsB//lhr//
GO_0001539_4	yqjA//menI//moeB//grpE//csiR//tusC//hisM//flgJ//tatE//lgoR//pepQ//pepB//rrrQ//elaB//ispF//nrdG//lacI//mlc//recF//hokB//thiL//cydC//mngB//waaA//ykgF//ycjU//rraA//lon//flhD//flgE//waaF//
GO_0001558_5	tcyP//glpX//metC//mepH//potH//gdhA//ychO//mngA//
GO_0001561_6	allB//
GO_0001666_4	osmF//
GO_0001676_6	ydaC//fimD//hemE//
GO_0001680_11	yhjR//
GO_0001682_11	rfbX//
GO_0001731_7	rfaG//
GO_0001762_6	glvC//
GO_0001887_4	comR//fadM//yjjG//
GO_0001896_5	groL//emrD//speF//hicB//
GO_0001907_5	yfhM//adeQ//yrfG//cdsA//
GO_0001932_8	mioC//yhbS//
GO_0001934_9	rpiA//
GO_0002047_6	flgE//serC//
GO_0002097_8	pepT//lldP//yqaE//ycbB//menB//gadC//truB//rnhA//bamE//rpoH//aas//gldA//astC//yhbX//ilvA//guaA//yfaV//truC//cspG//
GO_0002098_9	ispH//yohC//etk//mdoD//potA//rfe//pck//rplF//fabZ//tdh//mglC//cydC//mnmG//
GO_0002099_9	kbaZ//aaeR//
GO_0002100_9	hscA//
GO_0002101_9	livH//yfeW//
GO_0002128_7	dkgB//nhaR//gstA//ybdG//
GO_0002130_8	pabC//
GO_0002131_9	lsrA//
GO_0002132_9	uxuA//
GO_0002136_10	ddlA//
GO_0002143_9	ribD//kdpF//feoA//yraI//ycfJ//purF//
GO_0002181_7	insB-2//fhuD//
GO_0002183_5	ybaL//
GO_0002184_8	potF//
GO_0002188_6	mdtE//
GO_0002190_6	insB-2//
GO_0002192_8	argO//
GO_0002252_3	hcaT//dgoK//caiE//perR//yahK//lysA//azoR//yadV//carB//mdtL//
GO_0002790_6	flgH//edd//mdtA//yqiJ//leuB//sad//lepB//
GO_0002937_9	sspB//
GO_0002938_8	ftsX//
GO_0002939_7	infB//
GO_0002943_8	ybcQ//
GO_0002949_8	uspB//tisB//ompA//deoB//
GO_0003333_7	rlmH//narY//kefF//speB//ibpB//adhP//ycjU//arnA//kdgK//cutA//tonB//pmbA//epmA//napD//atpB//ybhP//rpsR//fucI//cheZ//cbpM//yjjB//tolQ//ettA//agaI//gyrA//speE//fryC//yodD//rhlB//ddlB//narU//secD//deaD//pheT//rpe//era//glk//alsK//rsuA//mraY//cadB//tas//msbA//rsgA//hisG//xylB//araG//gloB//topAI//
