#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	mutL//appY//ybcL//katE//
GO_0000023_6	uvrD//
GO_0000025_7	mnmC//
GO_0000027_7	purB//sucC//rpmF//thiL//yhiM//ygbI//yqiG//glyS//wcaJ//corA//pabC//yobF//betB//
GO_0000028_7	nuoI//flgB//cheY//pgsA//aceA//ldtB//yodD//trmO//yieE//
GO_0000032_8	fbp//
GO_0000041_8	potA//yaaA//yfaL//gatB//ycjP//holB//ttcA//tsaD//rpnB//dsbB//yfdC//aroA//infB//lldR//hcaT//dbpA//moeA//fadI//pgk//lsrB//dnaE//ansB//galK//rclC//bsmA//yneL//hcp//rnt//ynhG//yjeI//lpp//ttdT//waaG//fepD//upp//dhaK//yfeR//ybiA//ybjX//
GO_0000050_5	fruB//coaA//iscU//recF//hypC//yiaA//surE//
GO_0000053_5	mqsR//
GO_0000096_5	yhbO//slyD//tdcG//phoQ//adeQ//pphA//nfi//fucP//waaQ//yjhG//arsR//ybiX//entE//yehA//plsB//gsiC//epmA//hcaR//bcsQ//chbC//ulaA//
GO_0000097_6	puuB//rnhA//rhlE//yieK//asmA//rusA//potE//ymgF//rluA//lsrR//gshB//arsB//yebK//folX//
GO_0000098_6	aceA//dnaJ//ypdB//mrr//ypdF//
GO_0000101_6	gutM//hda//rna//adeD//kdpC//hslR//entS//csgE//yjcS//ibsA//cobS//ftsX//arnT//gcvR//degS//
GO_0000103_5	dsdX//avtA//ompF//
GO_0000105_6	creB//kdpD//dsbA//proV//yihO//caiE//yadM//fruK//
GO_0000154_7	yhbQ//sapB//shiA//ebgR//panB//ldrB//kdpB//skp//rcdA//rlmN//citG//slyD//cadB//ygaV//ynhG//appY//nemR//bcr//dnaQ//potC//greA//malE//accD//rutD//ybiH//kdsB//wzyE//ycbX//mhpC//yahI//pdhR//citE//
GO_0000160_5	nanT//nagC//glpG//yifB//ridA//ycjY//yodD//yaaY//purF//dhaK//yggT//yidK//elfA//artJ//mntR//yfgJ//rplJ//msbA//fimZ//tdcA//mtr//lsrG//rimM//cysZ//asnB//htpG//hyi//scpC//yccA//gcvA//surA//endA//rlmI//thrL//clpP//ynhG//rplQ//sohB//sstT//secA//yegD//fadR//prpD//
GO_0000162_7	sucB//murF//ubiE//galF//dsdX//mfd//dmsA//exbD//purA//
GO_0000255_5	dnaT//bcp//yhhY//pdxB//yidL//
GO_0000256_6	yidQ//lspA//mhpD//atpG//gdhA//
GO_0000270_7	ygiB//ghxQ//bdm//ptsI//gutQ//bglB//ycdY//panE//osmE//oxc//pdeH//cstA//araD//hisH//acrB//sufS//ftsP//yfdG//rlpA//murI//aldA//yhaM//tpx//ycbV//fsr//ycbB//aidB//cmoM//cho//ymfA//cobC//paaJ//ldcC//yqaE//insB-2//maa//torI//pgk//dam//ycdY//melB//frmR//ulaC//pabA//glmM//allD//gntP//entF//bcsQ//rsmJ//rnd//yhdJ//metE//puuC//betI//dgoR//blr//cysM//aes//torS//slmA//viaA//emrD//
GO_0000271_6	rfaD//endA//yehB//shoB//hsdR//mnmE//murF//aaeA//cueO//dmsA//cca//thrC//cusA//rraA//rtcB//kefF//rfaH//rpmB//pepT//uacT//cirA//yhjC//galF//phnO//dacB//dgkA//cho//yajR//mqsR//miaB//truB//corA//pdxH//prpD//emrB//menI//fadM//lolB//ilvE//yhdX//ribE//nrfB//rnt//yaiP//emrY//uup//lsrB//lsrB//malI//phoB//
GO_0000272_6	osmE//hmp//cyaY//xylF//ccmH//nth//
GO_0000302_5	murI//pnuC//manZ//tmk//secA//folC//rcdA//garL//pnuC//rayT//nupG//yobF//yajR//pflB//opgG//lsrA//epd//clpB//ymdB//nupX//mutM//yihP//cydC//ubiB//tsx//arnB//ycaN//hypB//nanC//ompG//treA//
GO_0000303_6	uup//ynaI//
GO_0000305_5	yraH//sucD//kgtP//
GO_0000372_11	rpoH//
GO_0000375_9	ivy//
GO_0000376_10	nfo//
GO_0000413_9	csrD//decR//kefG//ydbK//yjiR//ybaO//ydbD//rimO//
GO_0000451_7	argT//rusA//tonB//murJ//rsmD//
GO_0000453_8	menC//dgcE//sstT//kbp//paaG//
GO_0000455_9	mraZ//nagD//lacI//eutR//diaA//yfdC//prpC//
GO_0000462_11	ldrD//msbA//
GO_0000469_8	glxK//
GO_0000470_10	yjbG//
GO_0000478_9	rpmE//
GO_0000715_6	mtgA//
GO_0000716_7	gloB//
GO_0000724_8	yneJ//
GO_0000725_7	cas3//yobA//mntH//pitB//yafC//betI//
GO_0000726_7	fcl//
GO_0000731_7	mngB//yejB//mreC//otsA//fucP//add//ihfA//
GO_0000737_7	obgE//
GO_0000738_7	trpB//sbmA//phnC//
GO_0000746_4	uspG//
GO_0000820_7	csgA//
GO_0000902_5	fic//
GO_0000910_4	glnE//hslR//hisA//uspE//zupT//nhaA//gudX//hisS//rlmF//lpxD//yoeB//mtn//rsmE//lapB//yhhY//raiA//ushA//rpoH//
GO_0000917_6	fadB//purC//yjcE//dnaC//nagB//
GO_0000918_6	sfmF//hycH//uvrY//surA//
GO_0000920_3	btuR//yddL//sgrT//ugpC//ccmD//
GO_0000921_6	ygeA//
GO_0000966_8	cpoB//dnaC//ybiW//ykgO//
GO_0000967_10	hypB//recT//leuS//
GO_0001101_4	yhcH//iclR//hrsA//narZ//glvB//patD//ydiK//dcuD//edd//ilvB//narV//phr//ybjI//ypdB//nlpA//tpx//nirB//yjiQ//yjjG//flgE//opgE//nupG//hcaR//zwf//mhpA//arnA//
GO_0001121_7	aroE//mdtL//
GO_0001123_8	tolC//
GO_0001124_8	osmE//
GO_0001407_7	fadM//yaaJ//srkA//exoX//
GO_0001505_4	rrrQ//malP//atpC//nadK//rnlB//ycgR//rhaM//potH//pstS//btuE//atpB//pck//kdpF//hofC//cysK//secY//
GO_0001510_5	bluF//araB//ampH//hscC//ygiS//atoC//rihC//ydgA//mukB//cobS//fimC//thiC//rlmN//aaeA//ubiE//dgcT//dauA//sgcA//yhjX//intA//nikR//infB//tolC//glrR//dfp//kdgK//mgtL//rlmE//soxS//moeA//narK//ndk//cycA//ybfA//dcm//ypdA//mscK//bioB//hicA//ybiV//
GO_0001514_8	ydjH//
GO_0001522_7	rep//fnr//adeQ//acrB//folX//amiC//sgcC//yfdC//lptB//thiE//tdcA//uspE//rph//
GO_0001539_4	rmf//fadD//rhlB//yehA//ldtE//frvA//rnhB//nac//truD//yadG//pheT//glgC//fabH//yeaV//yehD//holC//hns//insI-1//kbaZ//pspD//argA//nagD//yaaA//ydcR//rbsC//yceO//sufB//fadB//mhpB//ccmF//dauA//
GO_0001558_5	kduD//fieF//ycbU//eutB//ihfB//ftsA//insI-1//intQ//
GO_0001561_6	sutR//
GO_0001666_4	yjiA//
GO_0001676_6	gph//mrp//chaC//
GO_0001680_11	lptF//
GO_0001682_11	dtpB//
GO_0001731_7	yicJ//
GO_0001762_6	ccmD//
GO_0001887_4	accA//proA//caiD//
GO_0001896_5	yfcR//bamC//truD//mdtD//
GO_0001907_5	crr//rcdA//ygfA//bioA//
GO_0001932_8	lolA//mtn//
GO_0001934_9	rraB//
GO_0002047_6	tadA//cydA//
GO_0002097_8	tsf//waaQ//rutG//narY//hofO//yihW//malY//fdhE//menI//eamA//dkgB//yahD//moaE//yjiR//bglX//stpA//eutK//ygcW//rlmJ//
GO_0002098_9	yidE//adiA//yjiY//truB//tatA//rpsD//garP//ulaC//narU//ampH//aspC//yehB//ispU//
GO_0002099_9	recQ//lpoA//
GO_0002100_9	torI//
GO_0002101_9	osmE//vsr//
GO_0002128_7	rmf//rssB//lptD//paaE//
GO_0002130_8	pgaA//
GO_0002131_9	rpsH//
GO_0002132_9	rffG//
GO_0002136_10	aaeB//
GO_0002143_9	dinI//ybbW//rpmC//fruA//bamB//ftsN//
GO_0002181_7	kdgR//insA-2//
GO_0002183_5	panB//
GO_0002184_8	melR//
GO_0002188_6	ebgR//
GO_0002190_6	fryA//
GO_0002192_8	gatA//
GO_0002252_3	yhbO//cspC//lpp//agaI//ycjQ//ykgF//yihO//yraH//nrfG//rarA//
GO_0002790_6	upp//kdsD//lapA//envR//feaR//hycA//fdhE//
GO_0002937_9	eutA//
GO_0002938_8	metR//
GO_0002939_7	rpsA//
GO_0002943_8	cpdB//
GO_0002949_8	cobS//yijO//metQ//potI//
GO_0003333_7	lolE//ybhS//sdhE//csdA//emrY//flgF//cutC//kdpE//nuoN//glpB//ybdN//rplD//hokE//yicJ//dcuC//yigB//rzpD//cptB//yccA//cobU//waaB//thiE//rcnB//ssb//ydiV//pheA//adiY//rutF//yghU//bioH//galR//ptsI//ybhA//yhhZ//rng//accC//fdhF//pykF//fumA//ssuA//phnP//hicB//sdhE//lamB//psuG//yeiG//lpxB//panF//yajO//
GO_0005975_4	gpp//cobS//ynfL//agaI//narL//atpB//afuC//uspF//sgcC//yibH//yejB//puuE//tsf//pgi//acrZ//yjbE//pstA//fucO//ibsD//rhaT//ybgI//ttdT//yhbY//smpB//ymjB//dnaA//trkH//plsB//ybgI//srlB//hybA//nrdG//nagE//cobB//dgoD//purD//ppsA//sgrT//osmE//rssB//yciH//accC//panF//csdA//dapF//ykfM//ompR//idnT//sodC//setB//bglH//mgsA//yggD//rsfS//galS//glnH//fadE//gstB//rplI//dacA//ybhG//phnI//cmtA//rffG//rraB//fixC//ffh//eutN//lsrG//ydeI//yfdR//tusA//frvB//fliM//yojI//yagG//yihO//dnaC//hscA//yoaA//msrP//ccmC//mltG//srmB//alkA//narI//yihX//truD//yibH//ssuC//fryA//zapE//metR//yieL//yidK//torC//fabG//envZ//guaB//yhcH//agaI//kdpE//abgA//yibT//tomB//evgA//guaD//adk//cspC//ygcW//paaH//kbp//ecpR//rutG//ddpX//sppA//hisH//fdnI//fabD//rpoA//solA//cbeA//kdpF//nepI//ycaN//zur//rsfS//phnM//kch//nmpC//asnB//tamB//yihR//fpr//xerD//yggW//topA//hybB//elaB//yehY//fsr//arnE//tktB//secF//tusB//ypdB//yrfG//sgbH//yebS//ilvE//rstB//rpmC//kup//galU//tig//cra//cvrA//pgi//uxuR//mnmE//pdeH//ubiD//mog//adhE//torY//dinI//fryC//rnt//grpE//cysM//sbmA//mepA//lysA//waaS//sgcE//mukB//lacZ//pepN//cbtA//yahI//chaC//eco//pabA//ftnA//yddA//dppB//yfcS//fliA//aldB//tynA//yhjC//purC//yghG//arcB//cpxP//kdgK//nfsB//uspC//lipB//xylE//holD//pppA//hyfR//cof//csgF//evgA//ybiI//pdeR//dnaX//sodA//idnO//eutB//cdd//frwD//ulaF//lptE//gapC//ccmA//iscX//alkA//glgP//gntP//secM//yieH//dsdC//mdtM//ubiC//rihA//entD//yehZ//glpK//acrD//hemB//ybbN//hofM//thiG//paaZ//blr//cdh//ypdI//fhuF//dgcJ//argC//mdoD//mocA//moaB//nadK//ycfS//idi//yieL//ycaN//hyaD//rplN//cadA//
GO_0005976_5	prlF//ycjP//ybcJ//gsiD//bcp//lsrA//der//ubiF//lapB//minC//yneJ//fumC//guaC//treF//acs//dpiA//shoB//artI//ppc//yqaA//ybjD//ybjN//rpsO//lgt//prmA//ybaE//dgcZ//dtpA//srlE//ilvH//ispA//dnaB//tktB//macA//ygbI//pcm//rpmA//phnG//prpD//rimM//rpnA//ytfT//narH//araH//hofQ//ybcM//purA//yeiG//rfaB//yfdR//thiH//exuT//lpxP//hcaC//yiiE//kdgK//yciT//waaC//emrE//
GO_0005977_6	narX//yiiD//hflC//yfiR//rplP//hcaC//rsmF//ymfK//
GO_0005978_7	gltI//asnS//alsA//yfaV//
GO_0005979_8	waaB//
GO_0005980_7	rzpR//recG//dapA//
GO_0005981_7	yieH//
GO_0005984_5	frlC//cysD//rplQ//abpA//lldP//aaeB//rpsL//cspE//yobF//msrB//selU//
GO_0005985_6	galP//
GO_0005986_7	tomB//
GO_0005988_6	basS//der//
GO_0005990_7	pitA//csgA//
GO_0005991_6	csgG//rsmD//topAI//mdtC//degQ//
GO_0005992_7	uspB//rfaD//
GO_0005993_7	sdaA//suhB//relA//
GO_0005994_6	hycH//
GO_0005995_7	cca//
GO_0005996_4	ygfZ//norW//hprR//trmL//yphF//rutF//metK//msrP//araE//nuoB//glpT//yjhH//pdeR//mog//yfgI//tufA//yciK//ygcW//gcd//gltK//mcrB//rimO//tsx//nuoH//fadJ//fepB//nudG//msrP//rhtC//opgC//nanS//lpxC//fadE//fes//tusE//narY//lptF//cas1//agaA//fdrA//selB//mntH//hisF//ttdT//cheR//glyS//selB//clpP//pgaA//rhaT//tnaA//mug//tolQ//tap//ydcI//hisP//malG//aroD//fabI//lpxK//cobT//potH//fecA//gadX//aidB//guaB//yeiG//ulaE//zntA//ycfH//fadD//pstS//mntH//ycfS//feoC//appA//recT//rplF//chbA//yeeL//xylA//dgcZ//
GO_0005997_6	hisQ//
GO_0005998_7	moaA//
GO_0006000_6	ftsL//menI//marR//
GO_0006001_7	serA//rpsM//
GO_0006002_5	sdhD//yqiG//rseC//
GO_0006004_6	ynfL//mhpB//rraB//ruvA//scpB//arnE//
GO_0006006_6	setB//katE//nirC//pgi//guaB//trkH//talB//ubiG//hsdR//yfcA//rsmC//murG//tap//exbB//ascF//ygeV//yrdA//pliG//cysC//wrbA//flgE//sgcB//kdgK//
GO_0006007_7	yfaL//perR//gspI//
GO_0006011_5	nrfG//
GO_0006012_6	hrsA//citE//cas3//envR//sdhC//frdB//zinT//purU//glnQ//
GO_0006013_6	nagD//dgcQ//
GO_0006014_6	emrK//argT//codB//
GO_0006015_7	hisB//arnT//
GO_0006020_5	deoB//
GO_0006022_5	rpoA//ubiX//frmR//erpA//yhjA//yadI//cbtA//gntT//yhaO//rutD//acrZ//oppB//dsbA//purA//sufB//recO//mcbR//ndk//amiC//thrB//ycgV//carA//ygeV//etp//rlmB//ompR//feoB//fadJ//dcuC//bssR//creB//metI//yfeR//yefM//insI4//sfsA//ybiX//ghxP//ybiX//nemR//treF//dhaL//ibaG//mutY//rutF//moaE//yhaM//hipB//narG//yhiM//glcE//rutF//caiF//kbaY//pdxY//bioD2//ykgM//gyrB//patA//ygeR//mcrB//dapA//metL//
GO_0006023_6	hisP//arcB//uspC//mdfA//rpsK//recA//yhcD//recX//leuD//yegV//fbp//ydhJ//nlpA//narI//recD//deoD//citG//yidZ//ydgA//hemE//elfA//murP//mtlD//rbbA//rzpD//rplN//pyrE//evgA//mug//mltF//ycbB//ydeO//yjbF//ushA//sfsA//ssuB//csgG//dnaG//araH//
GO_0006024_7	tauA//gsiB//rnr//raiA//yfcG//mtnN//kch//dppA//menD//frwB//glpA//dgcN//clpP//glpF//ribE//rutG//zntR//yodD//betT//yfiE//hslV//secD//patD//mlaD//fliG//pabB//prpR//xylE//hprR//yafQ//cyoD//cmk//ydfD//ydaV//hmp//cueO//ibaG//tsaB//envR//
GO_0006026_6	moeA//ccmH//proW//ldtD//ung//mrdB//cvrA//nemA//lgoR//cysA//
GO_0006027_7	rzpR//lasT//sapD//xylH//cusR//mdlA//secM//ubiJ//glmU//ygaV//
GO_0006040_5	casA//helD//waaY//sad//glpX//xylR//yidL//ahpC//sgcB//narL//rbn//dcuB//ynfE//yihW//cysP//mutT//yigL//
GO_0006044_7	rnr//narQ//pgaA//xseA//murB//
GO_0006046_8	rfbD//gppA//lysC//yciE//
GO_0006047_5	yiaO//gatC//menB//tomB//yacG//sbcB//hyi//
GO_0006048_6	thrB//nlpI//lplT//yeeA//tsaB//argH//
GO_0006050_6	rpiB//
GO_0006051_7	folP//
GO_0006053_8	rlmD//
GO_0006054_6	minE//tnaA//exoX//sufC//cbrC//mcbA//narP//
GO_0006056_6	dhaM//
GO_0006057_7	appY//
GO_0006059_6	rclA//agaR//iclR//lapB//
GO_0006060_7	mnmC//
GO_0006062_8	yoeE//
