#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	helD//dcd//cheW//gltP//
GO_0000023_6	pheA//
GO_0000025_7	malS//
GO_0000027_7	tdh//opgD//nudG//metC//asr//sstT//sseA//mutT//mlaB//torS//yqjH//gph//proA//
GO_0000028_7	rfaC//uxaA//fdnH//ubiH//relB//hemG//rsmE//puuR//ilvB//
GO_0000032_8	mscL//
GO_0000041_8	cyoA//gspF//ygiS//yfdG//rseB//malI//ggt//yfaV//rluF//focB//rffG//tpiA//yneL//yrbG//gltD//pppA//gltI//narG//rsmF//metN//lpxT//yjiX//yqeF//nrdE//yhgF//smrA//hcaB//ldrD//nimR//yeiE//lepA//fabA//menE//fbp//nrdD//ccmF//rpnB//tdcF//slyA//
GO_0000050_5	yhcH//ydjM//ibaG//glxR//hipA//leuO//aer//
GO_0000053_5	ridA//
GO_0000096_5	yfdG//fepD//purR//adiA//hyi//aldB//pyrE//ccmD//gcvP//atpF//agaB//lgoD//djlC//rpsO//mobA//thrS//argF//tqsA//rplP//yafQ//puuR//
GO_0000097_6	abpB//rnpA//tsgA//lptF//ubiB//rffT//queG//sppA//tabA//insI1//hscC//hdhA//dgoR//pykA//
GO_0000098_6	cdgI//purR//paoC//rbsK//ybdZ//
GO_0000101_6	rpsE//yjeI//queE//cheW//glnA//dinJ//nrfD//ydjJ//yaiW//rfaE//lacI//argP//ypdC//rhlB//idnD//
GO_0000103_5	dgcQ//elaB//bfr//
GO_0000105_6	lysS//fkpA//yhbO//dinJ//hdfR//puuD//ydeP//ldrA//
GO_0000154_7	eutA//mlaD//torY//tauA//pinR//msrP//dsdA//mrr//nrdH//trpR//nadK//yfcV//lysR//epd//entH//yadN//soxS//torY//cyoB//sspB//pdeR//tusA//yahB//yjhH//dgoT//abgA//rffG//gltK//sfsB//dfp//sucB//codB//
GO_0000160_5	valS//sucA//ybdN//pliG//pcm//cobS//lptA//yiiD//cbl//fliM//rsmE//yhcN//uvrC//hycI//ccmC//narL//yiaA//pphA//hisB//rhtB//lrhA//gutM//lptD//yhaJ//waaS//cdh//elfD//rpmA//wcaB//agp//queG//basS//aceF//araH//yciE//yraH//vsr//yfbU//rof//yghW//flgB//frlR//ridA//
GO_0000162_7	prfB//ygaH//sufC//pgl//oxc//hdfR//yagE//arnF//yeiL//
GO_0000255_5	cas1//tatC//psuT//fimA//glvC//
GO_0000256_6	ygcR//guaA//iscU//trmA//rpmH//
GO_0000270_7	tdcR//csiD//mepH//cbl//rffG//tcdA//argK//yihT//lapA//galK//rsmG//lysP//msrA//hdeB//gatD//bluR//yggP//rhmR//clpA//ilvN//alkA//metC//aroB//yiaM//pdxJ//comR//yafN//holC//cysG//ugpE//yceO//ygcW//ais//pepN//tap//tufA//gor//yibT//fdoH//yadV//adk//topA//chaC//yihL//nupC//fklB//thiP//yciV//lpoA//chbC//aspC//yccX//trxA//dtpD//astB//serB//sdhB//hisB//gatY//yigL//caiT//fadD//ydhK//
GO_0000271_6	plaP//bglX//glpD//tdcR//yedL//torC//yjhH//ubiE//ptsI//adhP//metI//ung//cysK//mdtM//rfaE//galT//guaD//mocA//hfq//rutE//rsmJ//manY//yadK//mltD//eamA//rhsD//ulaB//fklB//gadC//rodZ//yfdR//dsbG//fbaA//yedF//cytR//polA//sodA//yoeE//hisH//tdcA//nrdI//dsbB//lpd//ilvL//yjbH//agaC//mutM//cyaY//setA//xylG//
GO_0000272_6	tatC//zapA//uvrD//yaaU//yggN//yccS//
GO_0000302_5	ycgR//lolC//hcaR//fimD//acnB//arsB//ygiN//betT//purL//putP//dusB//arcA//aroG//aroF//waaZ//infB//yfiR//proS//topB//btuR//afuB//gadX//yhbQ//araH//dnaN//rcsC//queD//mak//yoeB//insB-4//rluA//
GO_0000303_6	kefC//hcaR//
GO_0000305_5	chbC//uhpB//yafN//
GO_0000372_11	hipA//
GO_0000375_9	nfo//
GO_0000376_10	glcE//
GO_0000413_9	acrR//prkB//rnhA//rplP//tdcC//tsgA//mdaB//yibF//
GO_0000451_7	priC//hemH//bioD2//nrdE//raiA//
GO_0000453_8	patZ//abgA//abgB//gadE//preA//
GO_0000455_9	nikR//ribC//yicJ//dxs//rplW//lpxH//phnL//
GO_0000462_11	htpG//viaA//
GO_0000469_8	lpxB//
GO_0000470_10	ynaI//
GO_0000478_9	gstA//
GO_0000715_6	parE//
GO_0000716_7	gutM//
GO_0000724_8	hybG//
GO_0000725_7	mtlA//ybjL//ogt//basS//ppiC//alsB//
GO_0000726_7	livJ//
GO_0000731_7	rffG//yfbS//dnaB//fadL//thiC//ydjM//tyrB//
GO_0000737_7	ycjW//
GO_0000738_7	ynhF//cytR//clsA//
GO_0000746_4	yrbG//
GO_0000820_7	nlpD//
GO_0000902_5	hemE//
GO_0000910_4	feoB//rnlA//treA//ldtD//sppA//ubiD//yciA//livM//nusA//artP//insF-1//hxpB//ydeI//pyrE//yahN//cecR//kdsD//ompA//
GO_0000917_6	plsX//elaA//ydcI//yqeA//insH-6//
GO_0000918_6	yfaX//btuR//zur//purN//
GO_0000920_3	metG//ygeA//hyfF//tolC//rffM//
GO_0000921_6	citX//
GO_0000966_8	selB//yqcG//fadK//ppiC//
GO_0000967_10	hslV//sdhE//insI3//
GO_0001101_4	csgA//ydcI//dnaK//yjhC//fadA//hcaF//panB//cspD//rcsA//fecA//selU//alaS//rplK//ade//appY//nudF//folP//yhhT//rplO//nei//selB//treR//hokE//rhaD//mglB//caiT//
GO_0001121_7	fimB//intE//
GO_0001123_8	nagA//
GO_0001124_8	intF//
GO_0001407_7	rcsB//uhpT//deoA//yfcP//
GO_0001505_4	phoA//acrD//ispU//yhdZ//feoC//ybaL//hyaA//truB//yjjV//asnA//trmL//yidD//mlaC//torC//yidR//yhjX//
GO_0001510_5	cydD//mntP//fic//malK//ynfF//ycfJ//yidA//amiB//srlB//pflB//yneJ//hprR//yeeL//rarD//pyrE//allC//fimC//dcyD//hybE//argC//ydaC//leuS//atpC//ynfK//menC//feoC//ygaH//glpC//oxc//cynT//epmA//rplC//insH-6//parC//rffC//insA-1//hypT//insI4//fdhE//yaiP//
GO_0001514_8	rnr//
GO_0001522_7	zapA//iscX//nuoF//rhsD//ydcZ//slyA//paaH//atpG//hofN//emrD//pyrF//rclC//cobT//
GO_0001539_4	gapC//rpsI//ligA//rnhB//fdnG//zipA//trkH//ynhF//gpmM//cvrA//rpsA//phnM//ccmF//tufA//ldcA//cra//melA//folP//agaS//nrdI//tag//murC//torI//atpH//gabD//argT//rbsC//bglF//afuC//cydD//ycjW//
GO_0001558_5	galK//yjeI//opgB//marA//argD//osmE//paaX//lapA//
GO_0001561_6	sapA//
GO_0001666_4	nuoB//
GO_0001676_6	ilvN//yhdX//cysM//
GO_0001680_11	alr//
GO_0001682_11	ispB//
GO_0001731_7	ybhF//
GO_0001762_6	zwf//
GO_0001887_4	lpxL//narL//gabT//
GO_0001896_5	topB//fadM//argT//cvrA//
GO_0001907_5	ydiQ//yfaU//cbl//insB-2//
GO_0001932_8	ddpX//yeaG//
GO_0001934_9	viaA//
GO_0002047_6	rpnA//purN//
GO_0002097_8	narX//hofP//ybfA//yfiR//groL//proX//glxR//lgoT//yieF//cmk//puuR//tamA//fliZ//yfjR//dinJ//gcvP//pgi//yghB//argB//
GO_0002098_9	nemR//decR//murE//modC//pcm//yeaE//rimL//sdiA//ycbX//nadK//narX//aroK//ycjY//
GO_0002099_9	ydfG//eamA//
GO_0002100_9	insI-1//
GO_0002101_9	mntH//erfK//
GO_0002128_7	hyfF//pyrH//ydfD//galE//
GO_0002130_8	agaC//
GO_0002131_9	rpsJ//
GO_0002132_9	aphA//
GO_0002136_10	galK//
GO_0002143_9	zapD//gntT//mdtD//paaC//hupA//serB//
GO_0002181_7	cyaA//menB//
GO_0002183_5	dtpA//
GO_0002184_8	glnK//
GO_0002188_6	casC//
GO_0002190_6	citT//
GO_0002192_8	hybO//
