#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rraB//ybeY//ynfH//ybhS//
GO_0000023_6	pgaC//
GO_0000025_7	yieE//
GO_0000027_7	insA-2//mdtD//ydjH//gspJ//yaaA//hmp//kilR//uxaC//ldtC//yehB//mltG//cobB//glpX//
GO_0000028_7	ytfR//murB//yidQ//nadC//ybhR//rluD//degS//dfp//xseA//
GO_0000032_8	rpmG//
GO_0000041_8	yfbS//holE//mntS//hybC//nagC//casE//sdaB//bglB//hemD//ptsP//mutM//yjcE//ibsB//ybdG//clpB//ftsP//ccmF//fliA//napC//fimF//thyA//cas1//gltX//nanK//uxuA//ybaQ//pfkA//cysQ//rsmB//frdA//ygcR//pbpG//argB//rlmN//yigL//phoB//ogt//ycaN//etp//
GO_0000050_5	phnN//yehA//pflA//cobT//tqsA//recX//yihS//
GO_0000053_5	guaA//
GO_0000096_5	cdh//bcsQ//yfaE//pepA//artJ//nagC//ptsP//bsmA//hyaC//fdrA//yjbG//hpf//pyrL//lolD//waaO//ybcM//rbsD//fliK//nac//yjjQ//rsmD//
GO_0000097_6	uhpT//waaS//tsaE//ddlA//mngA//pdeD//yjiQ//bamC//glcA//nuoB//betB//waaF//ydeT//agaW//
GO_0000098_6	dld//dacC//pitB//zapB//hicA//
GO_0000101_6	sxy//ybhF//pdxB//der//cpsG//yedP//ycjP//lsrG//aroP//mdtD//rfbC//osmC//puuE//phoE//fdhD//
GO_0000103_5	hybO//asnA//mtlA//
GO_0000105_6	wzzE//rplE//syd//dacC//lplT//yfiC//gloB//aaeB//
GO_0000154_7	ytfQ//gutQ//yhfK//narJ//gluQ//ydcR//wza//glvC//clpS//treC//rutR//yhhY//trpS//wza//wcaB//fbaA//ispH//ddlA//envY//btuF//smpB//murE//flhE//nagD//pabC//ispH//mrdB//azoR//tyrA//hda//yraR//cnu//
GO_0000160_5	yodD//zapB//gmd//ymjB//narZ//dauA//dnaB//mscK//zraR//yqcG//nuoG//xylE//ycjW//paaD//pckA//insB-2//glnS//rhtC//selB//dfp//rutE//mrp//ribE//accA//narI//nanT//tqsA//alaA//epmA//ptsG//ybaM//puuD//selU//fhuF//cvpA//ydjK//gatB//xanP//cdd//fiu//pdeD//waaC//fklB//
GO_0000162_7	psuG//yeeA//fryB//pdhR//focB//degS//trxC//gltS//gadB//
GO_0000255_5	arnD//cmk//glgA//ftnB//uraA//
GO_0000256_6	uvrC//ratA//yeeY//yfaL//ascB//
GO_0000270_7	ybdZ//menA//flgI//paaF//rpmH//nadE//iaaA//xerD//yfdC//gor//valS//ldrB//upp//sstT//serC//hflC//purN//nanC//ispU//hybE//ppsR//sulA//yahD//ybiS//cspG//recT//ibpB//yihT//ynfL//yhjD//ybiA//lysU//yajO//qseC//proQ//pgm//iclR//rclB//rpsD//srmB//yjbG//atpC//hcaB//dsbC//dxr//fhlA//gatC//nepI//yhcH//rhtC//yraK//tdk//tolA//ycbU//xthA//ybdR//nhaB//opgH//rbsC//fetA//arcB//ais//fadR//
GO_0000271_6	iap//crfC//luxS//pabA//upp//spy//rpoH//cysP//acpH//yggP//ssuE//avtA//ibsB//potE//yjjQ//glcA//mnmE//purT//rpsT//waaL//adeD//sthA//idnD//tpx//holB//rimO//atoC//rpiR//tilS//cdgI//cmk//rplS//adiY//paaC//bamB//sgrT//fimF//yadI//rfaG//cas2//wrbA//yadM//alsC//nudC//ydjM//nhaB//accB//zipA//fhuF//yejB//
GO_0000272_6	cspB//obgE//phoP//mipA//higA//ugpE//
GO_0000302_5	rutR//hrpA//dut//dnaE//clpP//pflC//ybcJ//ybgQ//fdnI//epd//glcF//yccX//glgS//lgoR//mlaB//gloC//mnmE//ybgI//trpL//malE//rsmG//dgoK//fadR//proA//galT//yeaE//gnsB//cmoB//sbcD//hypF//yefM//
GO_0000303_6	kdpC//fic//
GO_0000305_5	yfaU//ubiX//gor//
GO_0000372_11	phnP//
GO_0000375_9	ralR//
GO_0000376_10	yjeH//
GO_0000413_9	yghU//yeaK//pagP//dosP//atpH//rsmH//mlaD//tpx//
GO_0000451_7	mdfA//mtlA//panD//ynbC//puuE//
GO_0000453_8	yoeB//yobF//yjfF//yijO//polB//
GO_0000455_9	kgtP//folA//pyrL//yraJ//livJ//sfsB//phnL//
GO_0000462_11	yidP//rne//
GO_0000469_8	bioD1//
GO_0000470_10	cysP//
GO_0000478_9	hypF//
GO_0000715_6	ybcF//
GO_0000716_7	mdoG//
GO_0000724_8	arnD//
GO_0000725_7	yhbY//mtfA//pheS//torY//sapD//yhjD//
GO_0000726_7	ykgO//
GO_0000731_7	yeaD//dmsA//epd//sbmC//rbn//malS//osmE//
GO_0000737_7	rpsT//
GO_0000738_7	hiuH//casE//thrB//
GO_0000746_4	serB//
GO_0000820_7	ybiI//
GO_0000902_5	rzoR//
GO_0000910_4	rnhA//rlmG//rrrQ//ypdF//yjiY//yihL//galK//xanP//gabT//yihU//yeaE//cytR//eutN//moaE//recG//zur//osmY//ycbU//
GO_0000917_6	nanK//bioP//mppA//cheY//evgS//
GO_0000918_6	nuoB//rusA//entS//cheZ//
GO_0000920_3	rffT//dsbD//glsA1//dnaG//yhaO//
GO_0000921_6	fliD//
GO_0000966_8	brnQ//miaA//leuO//ytfE//
GO_0000967_10	pdxY//rnhB//ygfI//
GO_0001101_4	csiR//nfo//minE//rffH//yagJ//purR//yfbV//mdtE//nrfA//glpX//mcbR//abgT//atpC//yeaG//minD//epmC//clsA//lpxT//accB//ydcP//rsmG//dinI//yajO//fruA//mgtL//guaC//
GO_0001121_7	hybD//ilvH//
GO_0001123_8	cspC//
GO_0001124_8	ttdA//
GO_0001407_7	prlC//carB//yajL//rffM//
GO_0001505_4	ldtE//yafQ//nudB//yidQ//ygcO//rsmF//bolA//hyaD//tehA//bisC//yihU//yafN//yaaA//fumC//arfB//mnmC//
GO_0001510_5	dkgB//murF//tcyL//zur//mdtK//glpC//rutB//flhC//uhpB//rplO//rpsR//proP//rplB//tesB//bioD1//ycjD//hcaD//argR//yneJ//mdtD//napC//surA//yhjA//agaC//ydeE//fhuB//tdcA//yedA//brnQ//yihO//pntB//uxuR//ispB//caiT//dapF//ynhF//pck//fepA//tauC//fucK//
GO_0001514_8	ais//
GO_0001522_7	kbaY//maoP//yqeA//cycA//fecC//rutE//fdnG//prpC//syd//cas3//phnJ//ygjH//speB//
GO_0001539_4	pgrR//rlpA//yafO//actP//ybbY//rpnB//pdxB//yddL//sufS//eptA//fabZ//nrfG//rlmJ//flgH//ivy//hycI//yadN//ycjW//ftsZ//rlmG//nemR//mdtM//lysC//dxs//rimJ//nuoL//rluA//pdxB//zntA//paaZ//dxs//
GO_0001558_5	prpB//paaA//rpsS//nuoI//narP//yqjI//dgoK//adeD//
GO_0001561_6	ybiS//
GO_0001666_4	hipB//
GO_0001676_6	potA//yfdK//aroL//
GO_0001680_11	mscL//
GO_0001682_11	ydeI//
GO_0001731_7	araB//
GO_0001762_6	rsmD//
GO_0001887_4	csiR//ccmC//yadM//
GO_0001896_5	yafN//lysA//rutA//pphA//
GO_0001907_5	yccS//rplW//sxy//ompW//
GO_0001932_8	nemA//hybO//
GO_0001934_9	bcsA//
GO_0002047_6	chbA//ubiC//
GO_0002097_8	ascF//secM//emrY//ccmH//hcaD//chiP//relB//pgl//tdcC//allR//aceB//kdpB//pyrF//yidL//ybhR//iaaA//puuR//glcE//rlpA//
GO_0002098_9	ybiJ//ftsW//fhuF//cytR//metR//appA//lolE//yedA//etk//envR//queD//hycH//lpxL//
GO_0002099_9	ydbD//sdhC//
GO_0002100_9	rhaS//
GO_0002101_9	ybiY//hdeB//
GO_0002128_7	ydcR//fepD//ydcT//dcuR//
GO_0002130_8	iscX//
GO_0002131_9	cmtA//
GO_0002132_9	treA//
GO_0002136_10	secM//
GO_0002143_9	phoB//yfdK//scpB//rbfA//flhA//napA//
GO_0002181_7	ygiS//tnaB//
GO_0002183_5	parC//
GO_0002184_8	caiE//
GO_0002188_6	holA//
GO_0002190_6	manY//
GO_0002192_8	ftsX//
GO_0002252_3	sgcB//gltX//hyfF//rlmE//hicB//fecD//hypA//rcnA//ompT//yrdA//
GO_0002790_6	oppB//deoA//glnH//mnmC//dmlA//gyrA//mtnN//
GO_0002937_9	tolC//
GO_0002938_8	gsiD//
GO_0002939_7	fadA//
GO_0002943_8	ffh//
GO_0002949_8	mnaT//yhbY//yobF//yjiA//
GO_0003333_7	frdD//murQ//lacI//murE//ytfP//iap//speA//nuoE//patZ//erfK//yhaJ//recG//rpnD//nlpE//oppF//ilvN//ynjA//ubiB//ydjK//narW//ydaC//rusA//accD//afuC//murR//rayT//mhpB//ybhF//fliS//caiD//gltI//topAI//dapB//ivbL//macB//cysZ//mlaE//glpG//ispF//mltC//pphB//orn//znuB//frdC//ytfR//hemD//lsrK//lgt//dtpB//
GO_0005975_4	lptG//lysS//cpsG//msbA//dinD//chbF//rstB//aidB//ddpX//leuB//pinQ//murB//folE//fkpA//menC//holE//maoP//tsaD//diaA//aspA//yiiE//mdtN//sfmA//yfiF//rimI//recT//recB//mnmE//lit//yraR//rplM//patZ//waaC//rhtB//cysC//rpsO//ybcM//surA//yjiM//dsdA//rsmG//citX//insA-1//flgK//pdeF//pdxK//hupA//sbcC//napC//wcaC//ssb//abpA//msbA//rhmR//mltB//ptsG//entH//ybeQ//nuoH//mgsA//torZ//yqcC//lolD//sixA//mrp//sixA//dppC//hsdR//gntU//rapZ//nfo//eco//leuC//recQ//waaS//yheT//ribB//acpP//menA//glvC//mltG//aroC//trkG//glgC//ydiK//asnA//pspA//aroE//maeA//fadR//rplK//ihfA//lplA//ldrD//dapB//manA//manA//rhmD//yajO//fixB//yidD//ubiJ//wzc//opgH//insB-2//sufD//cpxP//lnt//napF//gluQ//sodB//ygeW//iraM//pck//envZ//glpR//argS//narK//napA//iaaA//treB//chpB//setB//rplC//eamA//ybhF//oppA//ydbK//alpA//sodB//sapB//kch//cstA//fumB//barA//lysU//rapA//nikC//greB//nrfC//yajD//rsfS//ydcT//pdeR//yihS//lysP//zwf//yggN//arcB//tdcF//folP//yqgB//yahI//livF//argS//rpsA//atpF//yeiE//degS//trpR//yjeI//nagK//mdlB//envR//ytfE//smrA//acpT//yeaD//rutB//garK//ulaD//rstB//purN//phoR//mscM//betB//intF//lolE//arsR//hemN//tamA//cysD//murC//dmlR//frwD//ydfH//yjhC//aaeR//yjhH//csgD//nusA//dgcE//glpX//prc//mliC//prs//ftnA//fis//tufA//recD//iscX//hsrA//glgX//ycfL//prmA//qseC//alaC//ubiX//cbl//tufB//basR//rstB//ynbB//rlmL//lon//ppx//ypjD//dmsA//zntA//hrpA//mhpC//uvrB//ygaZ//dosP//tynA//lplA//ttdB//glpD//speC//envZ//asnA//hisF//acpS//bamC//pdeL//hyaD//caiD//nadD//kdpF//qseC//trmB//lexA//exuT//fixC//trpGD//coaA//zntA//ilvB//agaB//yhgH//sgcC//rlmL//erfK//melB//
GO_0005976_5	ynaI//udp//dhaM//polB//arnA//rhtC//qseB//intQ//mhpA//yidK//tsgA//tilS//corA//iraD//tcyN//ycjY//iscU//emrK//hybA//hemF//tqsA//symE//oxc//napB//yhjB//cca//hybF//chiP//lpxM//malY//accD//ybdR//yggE//gsiB//nrfB//ghxP//iscA//yhaM//yadV//phoE//ptsP//ycjR//napF//fklB//yrbG//garL//ssb//radA//gcvT//pntB//rnhB//yjbG//cpoB//ptsP//rsmB//hisD//malX//pspA//mdlB//
GO_0005977_6	rof//caiF//ratA//ygbN//tyrS//ffh//mdoD//yddL//
GO_0005978_7	epmA//ssuE//gabP//flgJ//
GO_0005979_8	insK//
GO_0005980_7	rclA//rplN//ycbX//
GO_0005981_7	paaJ//
GO_0005984_5	chbC//xylF//aaeR//hdfR//ecpR//artJ//yfcU//yjhG//trkH//ugpB//proX//
GO_0005985_6	treB//
GO_0005986_7	galE//
GO_0005988_6	hisF//idi//
GO_0005990_7	ihfA//putP//
GO_0005991_6	recJ//yidR//efeO//yqcC//thiH//
GO_0005992_7	otsB//xanQ//
GO_0005993_7	rcsC//yjiA//rph//
GO_0005994_6	tnaC//
GO_0005995_7	rfaG//
GO_0005996_4	pyrD//ribD//yehP//wzyE//ybiV//entD//mqsR//baeS//cusB//rcsC//ygjK//rimI//sapA//rtcR//ybjX//yciF//djlC//wza//hisD//prfB//rhlE//arfA//nanE//narU//eutD//epd//lrp//prlC//phr//thrL//mnmE//mtnN//ftsK//ilvM//ydiZ//pdeH//rcnB//mdtP//dnaG//dacD//rhaR//hokE//tonB//queF//ulaE//fepD//rpsL//rtcB//nfsB//cbtA//entH//agaW//ycfS//dacD//yhgF//fimG//abgR//acrA//yfgO//yraN//mdtJ//cpxA//ascG//yraI//prmB//ydgA//flhA//fliA//mhpA//hybE//ybiI//nusG//fumA//cbrC//clsA//ispU//rluF//yciH//caiT//dicA//acrZ//gudD//
GO_0005997_6	yddG//
GO_0005998_7	lpxM//
GO_0006000_6	ydhK//htpX//matP//
GO_0006001_7	rlmD//panD//
GO_0006002_5	blc//yggN//rarD//
GO_0006004_6	insI1//yihW//yodD//ynhF//syd//ybhI//
GO_0006006_6	phoE//pdeD//ykgA//yeeA//gpmA//ftsP//pdeL//mliC//clpX//yciA//nuoM//ynjA//ybdM//cusC//ybhR//evgS//metF//ilvA//ytfR//rpnB//yihR//cspE//suhB//
GO_0006007_7	modA//yiaM//ftsQ//
GO_0006011_5	glnA//
GO_0006012_6	ggt//yafC//cydC//yraR//sgcA//cydB//cobS//seqA//ispH//
GO_0006013_6	rpsT//glnD//
GO_0006014_6	fecB//topA//wcaC//
GO_0006015_7	ybjL//adeP//
GO_0006020_5	serA//
GO_0006022_5	wcaB//pgaD//sfmD//radD//carB//birA//rlmH//ydiQ//lexA//cof//rdgB//slyD//elbB//smrA//rpsH//hprS//rlmA//ygeR//gfcE//sbp//iscU//yhhZ//rlmA//cirA//tusA//amiB//rplK//sodC//bglA//mazF//rpsK//flgH//dppC//solA//dctR//clsC//cydB//cpxR//yidA//dsbC//hybO//dacB//gor//xylR//ftnB//dcuD//gyrA//fecA//alkB//diaA//hrsA//araD//gfcE//metH//trkA//katE//bcr//topAI//tsaC//moeA//thrC//sucC//ydjJ//
