#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgcA//yjtD//frsA//pcm//
GO_0000023_6	bglX//
GO_0000025_7	ade//
GO_0000027_7	adiC//menB//rplI//gatY//hemD//frc//gutQ//trkA//yebC//gadW//tonB//ydcM//yahN//
GO_0000028_7	pyrB//topA//flgA//bioP//yhbO//miaB//rluE//yrfG//yjhH//
GO_0000032_8	yahN//
GO_0000041_8	ftsZ//pinE//pabA//rplM//rihC//nrfE//srlA//mdaB//ftnA//fadJ//mutT//srlR//yigB//gpsA//aas//rplA//folC//icd//fabZ//bfr//pyrC//zapB//nagB//argF//cheY//bamE//slt//cadA//melB//rplS//yafN//dosP//hupB//bioD2//ogt//nanC//gatC//hisQ//opgH//
GO_0000050_5	queA//clpS//ccmD//aroK//paaF//aceK//prmA//
GO_0000053_5	tdcF//
GO_0000096_5	fdoI//glnK//yjaA//ydjL//pdeD//arnB//yceD//kilR//frdA//yihR//ispB//galR//srlD//bioD2//glsA1//astC//phoU//kdsD//mdtC//hflC//rpsH//
GO_0000097_6	dapF//guaD//ompF//dgoR//atpC//pdxA//rfbX//intS//astB//yadV//csgE//sppA//aphA//sucB//
GO_0000098_6	npr//sapB//cyoA//sgcE//yebQ//
GO_0000101_6	ybaQ//elyC//pta//yneJ//uup//secY//ada//ymdB//trpD//uhpB//clcB//yehC//uidC//acrZ//cyoB//
GO_0000103_5	dacB//hha//rsmI//
GO_0000105_6	glnE//pal//ymgF//hisB//rlmM//recR//alsB//gloC//
GO_0000154_7	lsrC//ydiF//ihfA//priB//fliM//fdhD//torY//sutR//yaiP//asd//ldhA//ycjR//srlB//ilvL//bamD//hemB//prfB//kdgR//fumC//ilvM//hmp//rplM//ykgO//yjhB//yeeY//yjcO//flhD//murE//cedA//rpsB//ycbX//rpsH//
GO_0000160_5	miaB//asnC//lptE//caiF//melR//uhpT//yqcC//insI-2//ybcL//bamB//lolC//kefF//mhpA//mhpD//tolA//lldP//hofC//ffh//rplB//thiM//hisB//xisE//hybD//ftsQ//phr//yqiI//fepD//dppF//entF//fabZ//actP//yiaB//rplO//ygjK//groS//dusB//chbC//glgA//ydiB//flhA//eamA//ligA//nrdE//
GO_0000162_7	mzrA//torD//fimB//lptB//ftp//aslB//ivbL//yafQ//serB//
GO_0000255_5	dcm//rpiB//ubiH//sfsB//thiM//
GO_0000256_6	hipB//trpD//prpC//rep//hisD//
GO_0000270_7	ybcJ//yadC//ychF//clpA//citC//pbpC//glrR//cstA//pbpC//sufS//fnr//yehY//puuR//metK//dhaL//yaaU//ftsK//mlaE//lsrK//arnD//rhaT//smpB//dusC//fadJ//flgF//yqjH//paaA//cpdB//glgC//gpmA//hflK//caiB//cho//dam//tolB//dgcN//fabD//gltD//mmuP//aes//wza//waaB//yjhI//xylR//nagB//pfkA//trpS//yegT//ssuA//arsB//rppH//actP//cutC//trpB//alsK//yehB//lnt//yjjI//ybcQ//pdeR//yjiY//csiD//deoA//
GO_0000271_6	sgcX//nuoB//arnD//perR//rbfA//rhaM//frlC//rzoD//ychH//yhjB//uxaB//serA//phnJ//kilR//nupG//hemE//nsrR//aldB//dppC//cyoA//serA//hicA//panZ//frlB//ibsA//nupX//ispF//yejB//flgF//araB//plaP//hemF//nrfB//znuB//gsiA//yidK//yihX//hha//nagA//rhaR//gyrA//tauB//yjjX//psuG//frlA//uxuA//erpA//bcr//ortT//malF//
GO_0000272_6	pyrG//yajR//rlmG//rffH//yfcG//cutC//
GO_0000302_5	ygbL//xthA//paaH//pyrB//dgcM//udk//cusB//rpmB//rplW//yjeH//wecA//astB//ibsD//gstA//yeeL//acrB//manY//kdpE//yjcE//actP//melA//waaC//fdnG//uvrB//tufA//glyA//der//aroF//ldrB//ygeW//mtfA//
GO_0000303_6	efp//yciV//
GO_0000305_5	fumB//nudG//puuD//
GO_0000372_11	ldtE//
GO_0000375_9	epmC//
GO_0000376_10	pstB//
GO_0000413_9	rutC//fepG//rhoL//cdd//minD//dacD//rsmE//aslB//
GO_0000451_7	yggX//dnaN//livJ//opgD//yqjH//
GO_0000453_8	yebC//casB//clpA//yadG//ugpA//
GO_0000455_9	hslJ//yfjR//carB//fiu//rpmF//xapR//guaB//
GO_0000462_11	casC//nupG//
GO_0000469_8	rstB//
GO_0000470_10	rplS//
GO_0000478_9	rcsB//
GO_0000715_6	gntK//
GO_0000716_7	yiaT//
GO_0000724_8	glsA2//
GO_0000725_7	mtnN//yjhP//ilvB//pck//idnT//pgaC//
GO_0000726_7	cysE//
GO_0000731_7	ydiZ//citC//rpsD//paaD//puuC//azoR//cho//
GO_0000737_7	paaK//
GO_0000738_7	wcaJ//ynfF//cyoE//
GO_0000746_4	nadA//
GO_0000820_7	udk//
GO_0000902_5	dmlA//
GO_0000910_4	ynbD//tauB//iscS//argI//qseC//wecC//orn//dicC//yfhH//djlC//crfC//agaW//ribF//rstB//ftnB//coaE//hisS//envZ//
GO_0000917_6	mscL//bamB//elaA//nth//yidL//
GO_0000918_6	plsX//flgI//agaD//hokB//
GO_0000920_3	tsf//orn//yggP//rfaQ//speE//
GO_0000921_6	nikB//
GO_0000966_8	sufD//ascF//oppC//glpK//
GO_0000967_10	uhpC//pliG//idnO//
GO_0001101_4	puuA//yehU//znuB//napD//tcdA//mngA//yidH//sbcC//trpA//fhuB//rpsQ//bglH//mtnN//lysO//rimO//marA//ydjL//yceD//panD//fdoG//znuC//yihR//ychF//yejA//hybF//arnB//
GO_0001121_7	alsK//hscC//
GO_0001123_8	eno//
GO_0001124_8	bamB//
GO_0001407_7	rffH//amiD//lapA//yfaE//
GO_0001505_4	iraM//ubiI//yeeO//fadA//purN//sfmD//mdfA//radD//ddlB//yehA//exuT//nrfF//dnaJ//tpx//rusA//ynhG//
GO_0001510_5	rimM//lpxC//wcaC//narK//atpD//cbpM//napD//intZ//pflA//arnF//yhjC//yebQ//cysS//hldE//folA//yihI//citG//lnt//mzrA//fdnG//fdhF//citE//alkB//lpxH//rng//adeD//hybE//nanR//rcsD//sxy//rfbX//yhaM//ssuA//tabA//ydjL//evgA//gpmM//ybiH//nac//argK//
GO_0001514_8	uhpC//
GO_0001522_7	norW//mtlD//ulaR//phoP//rarA//proX//lysR//dsbB//pcm//ycdY//ascG//ompG//srlA//
GO_0001539_4	rsmG//yaaY//hns//ydjE//fadJ//rlpA//ahpC//mtnN//zapD//tas//menA//araH//csrD//viaA//radA//glpC//flgD//tadA//lpxC//argD//yidP//dhaM//umuD//ilvB//pitB//tgt//acpS//ispB//mntP//ybaO//mlaC//
GO_0001558_5	etk//tdcF//ydfD//yfgI//gltK//gltP//uidR//pykF//
GO_0001561_6	hscC//
GO_0001666_4	pinE//
GO_0001676_6	narQ//dsdX//intF//
GO_0001680_11	exbD//
GO_0001682_11	yebC//
GO_0001731_7	potD//
GO_0001762_6	torD//
GO_0001887_4	tdk//yajQ//feoB//
GO_0001896_5	yiaA//sstT//ilvA//torD//
GO_0001907_5	nuoH//sanA//fecB//livF//
GO_0001932_8	tdcB//gatC//
GO_0001934_9	purD//
GO_0002047_6	fucI//bepA//
GO_0002097_8	garR//flgB//abpA//rpmA//yihX//tbpA//uidA//gcvH//ptsG//wecC//ybhI//paaF//intQ//ybeY//trxC//nudF//argA//csgF//fucP//
GO_0002098_9	bdcA//srlB//truD//sspB//kdpC//ilvA//ascF//casB//yfdO//rplY//pdxH//dppF//yajD//
GO_0002099_9	rcnR//essD//
GO_0002100_9	ftsX//
GO_0002101_9	elfG//marR//
GO_0002128_7	cbpM//ydbK//coaE//yedP//
GO_0002130_8	ftsX//
GO_0002131_9	rcnR//
GO_0002132_9	arcC//
GO_0002136_10	yjhP//
GO_0002143_9	yhbS//zraS//emrK//mdtA//hemB//ldtD//
GO_0002181_7	mreB//mliC//
GO_0002183_5	ttdB//
GO_0002184_8	tktB//
GO_0002188_6	ybjD//
GO_0002190_6	rpiR//
GO_0002192_8	fimB//
GO_0002252_3	rnr//parE//nuoM//hypD//lnt//kilR//yidA//rhlB//yiaA//ilvC//
GO_0002790_6	serB//ykgM//glcB//ybfA//ypdF//osmE//glnA//
GO_0002937_9	yjeI//
GO_0002938_8	fabH//
GO_0002939_7	nanK//
GO_0002943_8	ydeP//
GO_0002949_8	fimD//frmA//lpxT//gpmA//
GO_0003333_7	nhaB//emrD//glnD//yidD//rspB//rnhB//rraA//pntB//bipA//wzb//acpP//araA//gudD//nrdA//sodC//lapA//ygbI//hsdM//ynfL//lysR//glyA//hemA//narI//yneE//rihA//ytfQ//lptB//cheB//waaO//narG//ybhR//appA//ftsW//araH//yeaK//uidR//rplX//yojI//nanA//phnM//glnB//cmk//cvpA//dosP//gcd//mocA//deoD//cca//cdsA//
GO_0005975_4	dppD//lolE//gntU//panD//bipA//thrL//infB//yfjV//ttdT//rhtB//ycgV//prc//hisF//dgcT//ybhI//prpD//nrdD//fkpB//lysP//hybO//ibsC//dmsC//yggD//kdpC//ydjM//ycjR//argS//atpA//ycdX//dinG//yidK//murQ//argC//dppF//yjhP//yneE//actP//ompT//srlB//ftsK//ssb//lpoB//trpC//ftnA//yqjA//priC//fdnI//tolC//trpB//cysG//prc//argS//argB//potG//manA//azoR//yhjR//setB//ogrK//rhmR//speF//ybiJ//glgC//moeA//elfA//aaeR//pyrD//sufC//glgB//yraN//rfbB//ydfH//ydeI//dpiB//mreC//nanA//rpsE//yafC//gph//yagE//lgoR//treC//ydjM//ubiC//frwC//ddlB//hflC//kefC//ybhR//acrB//malI//ogrK//nuoG//glgC//fdnH//cmtA//lipB//wecC//clpS//flgC//arnA//iraM//prfA//ssuE//recC//ansA//ompC//yidR//yebG//argA//agaC//hyaA//ydfH//queA//appC//ymfK//aaeA//grpE//uspC//yqaA//tdcF//caiT//rsmH//cmtA//dld//dinI//gcvR//yqjI//pcm//yfgJ//garL//yjhH//fepE//sdhE//yiaL//nmpC//cspE//gadC//fimC//katE//hybF//envC//sixA//mnmG//evgS//hsdM//metK//ihfB//sstT//sgrT//recA//ridA//accC//yggD//pyrL//ygeV//rrrD//emrE//tabA//rclR//fdnI//yajQ//modB//yhjD//flgC//tcyJ//dxr//ycdY//ydaC//frvB//ppiA//ygiN//ghoS//kefB//yecS//waaF//yhhT//glgS//yjbG//yiaF//yqeG//kbp//tsr//trkG//yehX//ynbB//yihP//ybiW//tolB//pdeR//ybdH//fabA//ybaL//cra//fimA//hyaA//apaH//gutM//rlmB//hpf//yiaN//ybhR//cyaY//ydjE//pitB//exbB//ahpC//yehW//exbB//nagC//speE//tktB//yrbG//cheR//yegD//pspF//nudG//nudG//ruvC//lptB//ybeQ//lrp//araD//rluE//kdgT//bglA//allB//cysN//yfhM//nrdR//pgaB//ddlA//tpx//lgoT//ybaM//dnaN//infB//ygcO//hsdR//mdtN//hpf//phnL//pgpA//nei//arnD//msrC//gspE//yieL//phoQ//rfaD//pgk//ybfE//ygcR//gmhB//
GO_0005976_5	clcB//ndk//valS//fepC//rplP//idi//aphA//etk//murQ//syd//ccmE//rutE//tldD//glmM//fimB//rlmL//galU//avtA//iscS//holE//erpA//queD//iscX//kefG//glsA//sapA//kdsA//ampD//rspB//dgcM//fklB//yihR//rssA//cheR//hxpA//ssuC//torS//miaB//ompG//recC//mdoD//bioP//yjcS//rpnD//dppD//baeR//rssA//aer//rplY//intZ//selA//glyS//mrdA//rpsR//fliT//glxR//fadH//folE//gcvP//
GO_0005977_6	metN//ynfL//nupX//accD//rarD//gltX//glk//trpC//
GO_0005978_7	arfA//secY//pcm//ldtD//
GO_0005979_8	ftsY//
GO_0005980_7	fucI//der//queE//
GO_0005981_7	fdnG//
GO_0005984_5	rluB//yrfG//argC//rutE//zntR//ghxQ//pyrH//metL//mdtL//efeO//qseB//
GO_0005985_6	tufB//
GO_0005986_7	yieH//
GO_0005988_6	mepA//ppsR//
GO_0005990_7	acs//preA//
GO_0005991_6	treF//guaC//alaA//fabB//rarD//
GO_0005992_7	yddA//ompA//
GO_0005993_7	ogt//rhaR//ykfM//
GO_0005994_6	cbrC//
GO_0005995_7	lolA//
