#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rcnB//feoC//nrfG//yfdG//
GO_0000023_6	aceK//
GO_0000025_7	mepH//
GO_0000027_7	plaP//rcnB//aes//yjcO//malI//fadK//mdtM//sad//mscL//fdnG//yphD//mdlB//purF//
GO_0000028_7	hemF//ydiV//gmd//galF//glpT//ftsK//spy//yahN//rfbX//
GO_0000032_8	mdtN//
GO_0000041_8	rplR//lptD//frwD//xisE//ybeF//hslV//ftsH//grxD//rutD//mdh//rplM//menB//tomB//pcnB//fadH//potB//dppB//waaG//yieL//purC//gcl//uxaC//hflX//cspI//macB//bluR//metK//yihT//rfaF//cheR//norR//mutL//elfC//hypD//pspF//mreB//alsB//galS//livH//
GO_0000050_5	nikR//cyoE//pfkA//yraJ//atoC//yieK//fecC//
GO_0000053_5	yagI//
GO_0000096_5	fadA//pdeF//yagF//mqsR//tufB//lysU//ais//cadA//rnt//rfaD//acpS//nikD//guaC//rapZ//yehP//yhjV//yhgF//clsB//degP//rbsA//rseC//
GO_0000097_6	cyoD//yfeD//rzpR//sdaA//setA//mngA//tsaE//mrp//vsr//avtA//rlmF//ycjD//infC//accD//
GO_0000098_6	mdtG//mltD//ybiV//trxC//oppC//
GO_0000101_6	bluF//rplA//bcsA//recA//rplW//gyrA//rihB//radA//yfeX//insI-2//galF//infC//lptB//tcdA//fdoI//
GO_0000103_5	yhdJ//yajD//chbG//
GO_0000105_6	yciG//recE//secD//ycgR//purU//cpoB//zraR//pitB//
GO_0000154_7	infC//tolC//rffH//mqsA//fepE//uspB//nusA//pdeL//uhpA//cadB//arsC//barA//sdaC//zntR//cdgI//yhbY//lolA//sfmF//fucI//pstS//thrB//acrD//yihQ//cynS//yciT//bdm//mraY//ybhG//gpsA//hycH//sdhA//ydiO//
GO_0000160_5	tauD//ymfA//hscB//mdtA//pck//ygeA//ybeY//trkG//nrfF//spy//rcsB//ogt//ghxQ//fadM//yajR//rplW//patZ//cpoB//gsiB//elaD//gspJ//ycgV//yfdK//dkgB//ubiJ//zapE//cedA//menF//cpxR//yihW//mpaA//purC//dmsA//hycI//gadC//lnt//mioC//wzb//ubiJ//hcaR//rplI//yddG//ybdZ//
