#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	scpC//rutF//narQ//ygiV//
GO_0000023_6	garK//
GO_0000025_7	dmsA//
GO_0000027_7	satP//cspC//yiaL//yieL//dacB//lon//asmA//ygcO//mutM//ugpA//dmsB//yiaO//atpB//
GO_0000028_7	paaE//queC//curA//gspI//ugpA//elbB//garD//dnaN//lpoA//
GO_0000032_8	citT//
GO_0000041_8	rdgB//rpmF//hypB//argR//caiT//gltB//bsmA//rnt//hofC//agp//rplN//hybO//dosP//ccmH//gatB//rpe//chbA//yccX//dinI//dctA//rspB//efp//torI//mak//glpT//gsiB//rimL//fabH//degQ//bssR//uidA//ydcT//priA//patD//phnG//mscS//rseC//yjiM//ydhK//
GO_0000050_5	fadA//purU//truD//gudP//cstA//arnF//yebZ//
GO_0000053_5	dsbB//
GO_0000096_5	ahpC//mqsA//ynaI//mobA//recC//sodB//trpR//ftsE//dgoT//fnr//sucA//cobU//abgR//slmA//cutC//ibsA//entC//yihR//rpmF//ycfH//ribC//
GO_0000097_6	cbpM//dnaQ//gpmM//arsC//cheY//ydfK//dbpA//ydiZ//rph//efeO//yejA//murI//araE//fhlA//
GO_0000098_6	potI//waaO//trmA//ilvH//ydhK//
GO_0000101_6	greA//mntS//afuB//leuO//fadM//uidC//rsmI//metR//waaF//ariR//rcdA//livK//argC//ygfA//flgM//
GO_0000103_5	ampD//hyaD//metL//
GO_0000105_6	bluR//exoX//ralR//deoA//rcsA//pinQ//clpX//tdcD//
GO_0000154_7	torA//yggX//blr//topA//flgA//rne//glrR//hprS//ydcR//pntA//brnQ//eptC//acnB//preA//ivbL//ibsC//pal//yohD//alaC//mazF//mdlA//yfcG//leuE//nagK//dkgB//rplN//tsx//birA//entB//gstB//mlaD//yodD//
GO_0000160_5	coaE//yrbG//ykgF//cusF//folE//lysU//ycjU//ompW//nrdA//aroL//napC//insB-4//lolC//tusA//cho//ampH//trmO//yjjB//emrD//ilvC//sbcC//psuG//galT//rfaG//ydbK//xseA//galF//treF//glxK//torY//agaD//lldD//hycH//ldtE//rpoS//entD//yhjV//fadL//prlF//sppA//ftnB//hsdR//waaL//
GO_0000162_7	sapF//vsr//dapF//nanA//sufB//yciV//narQ//artQ//cspG//
GO_0000255_5	hslR//rho//bglF//yggX//ndh//
GO_0000256_6	dnaB//prmC//rlmD//hofO//fliS//
GO_0000270_7	sbcD//rclR//yehW//icd//trxC//tag//hemL//ais//rffH//btuR//dkgB//iclR//flgE//ydcM//ilvN//uvrD//frdD//gabT//yidA//purF//uspC//fucA//pfkB//yegT//lamB//galE//kch//cho//rutG//bamD//ybjX//melB//malK//sdhE//nudG//dnaX//cysE//ybbN//hlyE//yadM//yhgH//hchA//ydiP//thiD//fumA//cedA//mlc//mgtA//lgoT//appC//aroE//motA//ycaO//yhdX//ygaZ//acrZ//aroD//rzpR//ftsN//fadK//ltaE//lplT//frlC//
GO_0000271_6	fdhF//yfcS//pdxB//flhD//ybcM//yghW//sfmC//gntP//phnM//aidB//fabB//glcA//bamC//yebC//tdcC//mntS//mdoD//rhaS//ade//comR//dinI//scpC//uidC//mak//zupT//yceK//mnmC//sfmH//insF-1//mobA//nagK//polB//rhaB//glgS//waaY//queA//ypdA//skp//pgaA//rna//panD//hypD//cmtA//cyoE//eptC//tatA//hchA//ulaC//yihP//mrr//
GO_0000272_6	pdxJ//hybD//gltP//yafE//sdaC//mhpA//
GO_0000302_5	dmsA//rpiA//zipA//hofN//mprA//ybdG//xanQ//trxA//rcsB//sdaB//alsE//yjbF//yqeA//asd//kduI//hiuH//yeaK//radA//ygfA//nanS//nudF//hokB//tdcR//rraA//ahpC//yjaZ//fimA//ydiF//rpmA//entS//kbp//
GO_0000303_6	fepD//panZ//
GO_0000305_5	atoS//uvrA//alr//
GO_0000372_11	htpG//
GO_0000375_9	lipB//
GO_0000376_10	nanK//
GO_0000413_9	lplA//tcyN//ssuD//pliG//yfjV//cysC//ldhA//zntR//
GO_0000451_7	znuA//glnP//gspI//tsgA//alaE//
GO_0000453_8	aqpZ//garD//sfmF//hrsA//ampH//
GO_0000455_9	garL//bssR//gmk//bioF//narG//metI//intZ//
GO_0000462_11	ygaZ//cspA//
GO_0000469_8	selU//
GO_0000470_10	ycfH//
GO_0000478_9	gloC//
GO_0000715_6	ivbL//
GO_0000716_7	tolA//
GO_0000724_8	btuF//
GO_0000725_7	uup//mdoD//idnK//yjjG//uvrC//malY//
GO_0000726_7	mhpD//
GO_0000731_7	agaR//lrp//hypF//ispF//mltC//mgsA//rplS//
GO_0000737_7	mscM//
GO_0000738_7	xylA//ygfI//frwC//
GO_0000746_4	flgB//
GO_0000820_7	creB//
GO_0000902_5	csrD//
GO_0000910_4	paaH//sdaA//ybiO//hemH//glcE//mnmA//opgH//srlD//bglB//kdpD//elaA//clsC//pth//solA//cutC//rpmC//gcvH//eutA//
GO_0000917_6	rpsJ//ftsB//argD//orn//gppA//
GO_0000918_6	dtpA//moaE//amiB//clcA//
GO_0000920_3	yphC//ygeX//paaF//greA//cadA//
GO_0000921_6	fadH//
GO_0000966_8	intS//kch//tcyP//ycgB//
GO_0000967_10	nadA//rpsO//yqaE//
GO_0001101_4	thiP//insI-2//fucP//yecS//ykgO//guaC//sugE//paaX//galT//yifB//thiM//dacA//menC//fucI//ybhI//mdtL//rhaD//yeeA//mrp//lolA//otsA//flhC//cpoB//carA//ydhK//ftsE//
GO_0001121_7	ydfH//hypT//
GO_0001123_8	csiD//
GO_0001124_8	rcsC//
GO_0001407_7	hcaR//yphF//glgA//yafS//
