#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hldE//gntU//arnF//menH//
GO_0000023_6	murC//
GO_0000025_7	tpiA//
GO_0000027_7	suhB//nanA//ymgA//recC//dinJ//pheM//frsA//ybiX//rluE//entE//murQ//yodD//dppF//
GO_0000028_7	dacB//dacD//xylA//mog//cptB//mtlR//msrC//narV//perR//
GO_0000032_8	hiuH//
GO_0000041_8	rplM//chaA//yigB//rsfS//ugpA//fklB//ftsA//casD//acrF//rcsA//kdgK//dusB//yihL//yfaV//queF//panE//gph//malX//artM//iscX//yehY//tyrB//rimK//kdpC//hybO//rpnC//aroL//waaB//cptB//ampG//otsA//rpsB//yihT//eptC//yadC//narL//ogrK//agaB//mntR//
GO_0000050_5	yibT//aas//gmk//tauB//nirC//lacI//mrdB//
GO_0000053_5	nikA//
GO_0000096_5	yciH//hslO//azoR//pykA//paaF//ykgF//nagA//glmM//yhdX//casA//phoP//intF//yhdX//rfaH//bepA//citT//zapA//cysQ//acrR//rmf//rhtA//
GO_0000097_6	casE//yjbF//metI//entF//pgk//lpxT//dgoK//deaD//proC//satP//malF//lptE//eutD//priB//
GO_0000098_6	epd//aaeR//pbpG//intZ//era//
GO_0000101_6	queC//ykfI//yjiA//csrD//tolR//brnQ//rapA//ghxP//glsA1//dedD//dcuC//hycA//sthA//dnaG//perR//
GO_0000103_5	ttdA//mmuP//gloB//
GO_0000105_6	nhaA//xylR//adiC//modA//lldD//narH//trmA//yneE//
GO_0000154_7	ybbN//rseC//cyoA//pheS//infB//fdhF//yjjW//gatB//yfcS//yhbO//rpsP//flgA//rlmH//gspE//malF//yfjR//hokE//gltB//trkH//ygeW//lgoD//dppD//satP//uidR//tar//pphA//bisC//osmF//narV//ygeR//tsr//menH//
GO_0000160_5	bfr//marA//rhsD//ygfI//lsrC//crfC//ldrB//iscU//mreB//yjhP//murI//infC//murP//flhD//priA//ompR//rimO//lgoR//potC//nagC//ybhG//rpsK//csdA//rplJ//ycfS//rlmM//mutY//mltB//hemC//ybiV//ytfP//csgG//flgC//lsrK//glyS//cirA//msbA//proQ//pck//hprS//hslU//mltF//yciT//
GO_0000162_7	moaB//hemF//araC//xylB//cspC//thiD//yieE//glnA//hicA//
GO_0000255_5	ygdG//napF//sfmC//yeaV//yagE//
GO_0000256_6	yqhD//norR//kefG//msrC//pstB//
