#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	crl//yaiW//mtr//dnaG//
GO_0000023_6	ldtD//
GO_0000025_7	ynfH//
GO_0000027_7	rlmG//ssuA//aceK//gfcE//pphA//yjhI//ygjK//rplS//purA//rpsS//rnlA//phnK//menA//
GO_0000028_7	torD//gyrA//rplB//fadI//pstS//ggt//yddG//fhuC//yphF//
GO_0000032_8	yahF//
GO_0000041_8	baeR//yhdW//rpmA//yqiI//zupT//tdh//yfjR//feoA//rpiA//macA//ldtC//yedX//speD//psuT//rlmG//yfdO//gatB//elbB//arnE//rpiR//yfcR//yccS//pstC//fpr//aroA//aceA//hemG//rclC//relE//sfmH//yibH//ydeT//rpmE//acpT//pgrR//ycjR//napB//phoP//macB//
GO_0000050_5	ptsN//lptE//ygbI//narZ//malE//psd//mscM//
GO_0000053_5	mtnN//
GO_0000096_5	gspI//csgE//patD//ispH//tbpA//ftp//dut//hslJ//coaA//rayT//gadA//prkB//bglJ//rutG//mglB//hpf//yjjG//gspJ//hdeD//yajQ//nfi//
GO_0000097_6	ftsL//bssS//ybiW//napC//fabD//nlpE//folD//hslJ//guaA//agaW//waaZ//infC//torD//pldB//
GO_0000098_6	recE//nadC//lptB//patD//insF-1//
GO_0000101_6	amyA//mltB//entC//lptG//hflD//curA//holE//clpS//gcvA//focB//yadM//cyoD//rpmB//dcuD//ypdI//
GO_0000103_5	cysG//amiA//btuE//
GO_0000105_6	yqiJ//apt//metB//ykgO//ldtD//cas1//rhtA//guaA//
GO_0000154_7	yjiM//fadI//ydeT//yejF//gltX//yqgB//flgD//ugpC//ompL//rssA//pitA//rcsB//ybjN//yihI//osmY//acrB//yfaE//yiaO//ulaC//gstA//cytR//accA//hybD//groS//yfiF//ribD//queE//gltI//yjhP//yhbS//uxuB//topA//
GO_0000160_5	yaaA//yggF//mak//ykfM//rlmD//hisA//leuO//norR//uidR//yraH//ribA//metR//rbsA//dcp//ydjL//secM//glpD//sapF//modC//intE//sfsB//tehA//kilR//napF//yedP//ygeV//prmB//dgoK//rhaD//aroK//crp//ugpE//fadA//dedD//clsA//sgcE//yjhC//metB//acrA//bipA//hdeB//entH//lpxT//
GO_0000162_7	sodB//pta//yoaB//arsB//hyfF//ssuC//yahD//rlmL//kbaY//
GO_0000255_5	nlpA//leuB//agaV//oppA//ycbV//
GO_0000256_6	yhbS//rof//add//glpD//pykA//
GO_0000270_7	paaX//ygjK//kdgR//recF//glmM//rne//cueO//nupC//yiaA//iclR//puuR//nuoN//dgoA//feoA//ung//frvR//rnlA//trpS//pyrD//nrfD//yigL//nrdB//rraA//glpA//lplT//mliC//rfbB//recJ//hinT//fimI//yfcA//insB-2//lysR//dld//tamB//lpxM//panE//rrrD//nanE//yiaN//pdeH//mhpR//yqjH//minC//chaA//nfi//tdk//arcB//yfcV//galE//frwC//tdcR//folD//exbD//phoP//guaC//deoR//rclR//gltL//ibsE//gstB//wecB//ribB//
GO_0000271_6	gloA//hcp//mcbR//evgS//bioF//agaD//rpsD//alr//pyrF//hybC//epd//yhaO//wzzE//ribD//elaD//yjiX//yifB//srlA//leuE//nemR//yfcU//sfmH//grpE//pgaB//pntB//yaiP//yihR//cbeA//uacT//hemB//yobF//fliA//yqiG//chaA//ilvL//slyA//rpoA//hslR//hdfR//bdm//secF//cbtA//yggP//allB//ftsB//yecS//holC//nrdB//fadK//pepA//
GO_0000272_6	dgcE//bglJ//tdcF//deaD//pstB//yejA//
GO_0000302_5	sad//chaA//dgoT//folA//yhaO//ssuC//torI//queA//ilvB//lolA//mioC//yafS//lptD//hybG//rlmL//ybiH//sdiA//acrE//artI//trpD//recG//ycjY//sucD//phoB//amyA//mdtJ//rppH//alsK//rdgB//clsC//rzpR//
GO_0000303_6	xseB//symE//
GO_0000305_5	cmk//cyoA//rpmH//
GO_0000372_11	arsR//
GO_0000375_9	envC//
GO_0000376_10	tyrB//
GO_0000413_9	hokB//yeiG//idnT//ynaE//gpmM//hofO//cusF//qorA//
GO_0000451_7	dnaJ//rarD//kdpC//ilvM//mnmE//
GO_0000453_8	rfaF//yfiE//rclB//yjaA//mnaT//
GO_0000455_9	flgK//ydaC//rarD//ydcI//clpX//livG//relB//
GO_0000462_11	queG//rfe//
GO_0000469_8	pstS//
GO_0000470_10	ftsY//
GO_0000478_9	topA//
GO_0000715_6	cpxP//
GO_0000716_7	shoB//
GO_0000724_8	murJ//
GO_0000725_7	pdeF//umuD//kdgK//envR//ybfE//feoB//
GO_0000726_7	holE//
GO_0000731_7	trmO//sucD//nrfD//glnH//yoaB//ddpX//livK//
GO_0000737_7	envZ//
GO_0000738_7	uup//waaS//yidL//
GO_0000746_4	rlmN//
GO_0000820_7	yfcU//
GO_0000902_5	insI-2//
GO_0000910_4	priB//napA//yciV//galM//xdhB//srlB//rbbA//trpC//spoT//ulaF//thiI//map//ychH//sfsA//selD//dsbB//yhaO//ulaG//
GO_0000917_6	cycA//btuC//purT//trmI//cirA//
GO_0000918_6	lolE//bglX//sucC//casD//
GO_0000920_3	ecpR//rpnA//mioC//pabC//yhcF//
GO_0000921_6	ycjW//
