# From /Users/Daniela/Documents/CCG/GU_art_2/v22/original_datasets/scripts/create_datasets_v2.pl on Thu Nov 22 14:59:17 2018
# Input = /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_gene.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_active.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_inactive.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/tu_links.txt
#GU name	Genes
AcrR_neg	acrA//acrB//acrR//flhC//flhD//marA//marB//marR//micF//soxR//soxS//
Ada_neg	ada//alkB//
Ada_pos	ada//aidB//alkA//alkB//
AdiY_pos	adiA//gadA//gadB//gadC//gadX//gltB//gltD//gltF//
AgaR_neg	agaA//agaB//agaC//agaD//agaI//agaR//agaS//agaV//agaW//kbaY//kbaZ//
AidB_neg	aidB//
AlaS-L-alanine_neg	alaS//
AllR-allantoin_neg	allA//allB//allS//gcl//glxK//glxR//hyi//ybbW//ybbY//
AllS-allantoin_pos	allC//allD//allE//
AlsR_neg	alsA//alsB//alsC//alsE//alsR//rpiB//
AppY_pos	appA//appB//appC//appX//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//
AraC-arabinose_neg	araA//araB//araC//araD//xylA//xylB//ydeM//ydeN//
AraC-arabinose_pos	araA//araB//araC//araD//araE//araF//araG//araH//araJ//ygeA//
AraC_neg	araA//araB//araC//araD//
AraC_pos	araA//araB//araC//araD//
ArgP-arginine_neg	argP//
ArgP-arginine_pos	argO//
ArgP_pos	dapB//dapD//dnaA//dnaN//gdhA//lysA//lysC//lysP//nrdA//nrdB//recF//yfaE//
ArgR-L-arginine_neg	argA//argB//argC//argD//argE//argF//argG//argH//argI//argR//artI//artJ//artM//artP//artQ//carA//carB//gltB//gltD//gltF//hisJ//hisM//hisP//hisQ//infB//lysO//metY//nusA//pnp//rbfA//rimP//rpsO//truB//
ArgR-L-arginine_pos	astA//astB//astC//astD//astE//
ArsR_neg	arsB//arsC//arsR//
AscG_neg	ascB//ascF//htpG//prpR//ybiT//
AsnC_neg	asnC//mioC//mnmG//
AsnC_pos	asnA//
AtoC-Phosphorylated_pos	atoA//atoB//atoD//atoE//
BCCP_neg	accB//accC//
