# From /Users/Daniela/Documents/CCG/GU_art_2/v22/original_datasets/scripts/create_datasets_v2.pl on Thu Nov 22 14:59:17 2018
# Input = /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_gene.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_active.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_inactive.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/tu_links.txt
#GU name	Genes
AcrR	acrA//acrB//acrR//marA//marB//marR//soxR//soxS//
Ada	ada//aidB//alkA//alkB//
AdiY	adiA//gadA//gadB//gadC//gadX//gltB//gltD//gltF//
AgaR	agaA//agaB//agaC//agaD//agaI//agaR//agaS//agaV//agaW//kbaY//kbaZ//
AidB	aidB//
AlaS	alaS//
AllR	allA//allB//allS//gcl//glxK//glxR//hyi//ybbW//ybbY//
AraC	araA//araB//araC//araD//araE//araF//araG//araH//araJ//ygeA//
ArgP	argO//dapB//dapD//dnaA//dnaN//gdhA//lysA//lysC//lysP//nrdA//nrdB//recF//yfaE//
ArgR	argA//argB//argC//argD//argE//argF//argG//argH//argI//argR//artI//artJ//artM//artP//artQ//astA//astB//astC//astD//astE//carA//carB//gltB//gltD//gltF//hisJ//hisM//hisP//hisQ//infB//lysO//metY//nusA//pnp//rbfA//rimP//rpsO//truB//
ArsR	arsB//arsC//arsR//
AscG	ascB//ascF//htpG//prpR//ybiT//
AtoC	atoA//atoB//atoD//atoE//
BaeR	acrD//baeR//baeS//mdtA//mdtB//mdtC//mdtD//spy//
BasR	csgD//csgE//csgF//csgG//cspI//dgkA//fimB//hha//putA//qseB//qseC//tomB//yrbL//
BirA	bioA//bioB//bioC//bioD//bioF//
BluR	ariR//ycgZ//ymgA//ymgC//
BtsR	btsT//
CadC	cadA//cadB//
CaiF	caiA//caiB//caiC//caiD//caiE//caiT//fixA//fixB//fixC//fixX//
Cbl	ssuA//ssuB//ssuC//ssuD//ssuE//tauA//tauB//tauC//tauD//
CecR	cecR//ybhF//ybhG//ybhR//ybhS//
ChbR	chbA//chbB//chbC//chbF//chbG//chbR//
ComR	bhsA//
CpxR	acrD//aroG//baeR//baeS//cheA//cheW//cpxA//cpxP//cpxQ//cpxR//csgA//csgB//csgC//csgD//csgE//csgF//csgG//cyaR//degP//dgcZ//dsbA//efeU_1//efeU_2//ftnB//hha//kbp//ldtC//ldtD//marA//marB//marR//mdtA//mdtB//mdtC//mdtD//motA//motB//mzrA//ompC//ompF//ppiA//ppiD//rprA//slt//spy//srkA//tomB//tsr//ung//yccA//yebE//yqaE//yqjA//
Cra	aceA//aceB//aceK//adhE//crp//crr//csgD//csgE//csgF//csgG//cydA//cydB//eda//edd//eno//epd//fbaA//gapA//hypF//icd//mtlA//mtlD//mtlR//pck//pdeL//pfkA//pgk//ppsA//ptsH//ptsI//pykF//yeaD//
CreB	creD//
CsgD	csgA//csgB//csgC//csgD//csgE//csgF//csgG//dgcC//flgM//flgN//fliA//fliE//fliF//fliG//fliH//fliI//fliJ//fliK//fliZ//nlpA//tcyJ//wrbA//yccJ//yccT//yhbS//yhbT//
CspA	hns//
CueR	copA//cueO//
CusR	cusA//cusB//cusC//cusF//cusR//cusS//yedX//
CynR	cynR//cynS//cynT//cynX//
CysB	cbl//cysA//cysK//cysM//cysP//cysU//cysW//hslJ//ssuA//ssuB//ssuC//ssuD//ssuE//tauA//tauB//tauC//tauD//
CytR	cdd//cytR//deoA//deoB//deoC//deoD//nupG//ppiA//rpoH//tsx//udp//
DcuR	dctA//dcuB//dpiA//dpiB//frdA//frdB//frdC//frdD//fumB//
DeoR	deoA//deoB//deoC//deoD//
DicA	dicC//ydfW//ydfX//
DinJ-YafQ	cspE//dinJ//yafQ//
