# From /Users/Daniela/Documents/CCG/GU_art_2/v22/original_datasets/scripts/create_datasets_v2.pl on Thu Nov 22 14:59:17 2018
# Input = /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_gene.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_active.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_inactive.txt
#GU name	Genes
AcrR_neg	acrA//acrB//acrR//flhC//flhD//marA//marB//marR//micF//soxR//soxS//
Ada_neg	ada//alkB//
Ada_pos	ada//aidB//alkA//alkB//
AdiY_pos	adiA//gadA//gadB//gadC//gadX//gltB//gltD//gltF//
AgaR_neg	agaA//agaB//agaC//agaD//agaI//agaR//agaS//agaV//agaW//kbaY//kbaZ//
AidB_neg	aidB//
AlaS_neg	alaS//
AllR_neg	allA//allB//allS//gcl//glxK//glxR//hyi//ybbW//ybbY//
AllS_pos	allC//allD//allE//
AlsR_neg	alsA//alsB//alsC//alsE//alsR//rpiB//
AppY_pos	appA//appB//appC//appX//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//
AraC_neg	araA//araB//araC//araD//xylA//xylB//ydeM//ydeN//
AraC_pos	araA//araB//araC//araD//araE//araF//araG//araH//araJ//ygeA//
