# From /Users/Daniela/Documents/CCG/GU_art_2/v22/original_datasets/scripts/create_datasets_v2.pl on Thu Nov 22 14:59:17 2018
# Input = /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_gene.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_active.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_inactive.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/tu_links.txt
#GU name	Genes
AcrR	acrA//acrB//acrR//flhC//flhD//marA//marB//marR//micF//soxR//soxS//
Ada	ada//aidB//alkA//alkB//
AdiY	adiA//gadA//gadB//gadC//gadX//gltB//gltD//gltF//
AgaR	agaA//agaB//agaC//agaD//agaI//agaR//agaS//agaV//agaW//kbaY//kbaZ//
AidB	aidB//
AlaS-L-alanine	alaS//
AllR-allantoin	allA//allB//allS//gcl//glxK//glxR//hyi//ybbW//ybbY//
AllS-allantoin	allC//allD//allE//
AlsR	alsA//alsB//alsC//alsE//alsR//rpiB//
AppY	appA//appB//appC//appX//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//
AraC	araA//araB//araC//araD//
AraC-arabinose	araA//araB//araC//araD//araE//araF//araG//araH//araJ//xylA//xylB//ydeM//ydeN//ygeA//
ArgP	dapB//dapD//dnaA//dnaN//gdhA//lysA//lysC//lysP//nrdA//nrdB//recF//yfaE//
ArgP-arginine	argO//argP//
ArgR-L-arginine	argA//argB//argC//argD//argE//argF//argG//argH//argI//argR//artI//artJ//artM//artP//artQ//astA//astB//astC//astD//astE//carA//carB//gltB//gltD//gltF//hisJ//hisM//hisP//hisQ//infB//lysO//metY//nusA//pnp//rbfA//rimP//rpsO//truB//
ArsR	arsB//arsC//arsR//
AscG	ascB//ascF//htpG//prpR//ybiT//
AsnC	asnA//asnC//mioC//mnmG//
AtoC-Phosphorylated	atoA//atoB//atoD//atoE//
BCCP	accB//accC//
BaeR-Phosphorylated	acrD//baeR//baeS//mdtA//mdtB//mdtC//mdtD//spy//
BasR-Phosphorylated	csgD//csgE//csgF//csgG//cspI//dgkA//fimB//hha//putA//qseB//qseC//tomB//yrbL//
BetI	betA//betB//betI//betT//
BirA-biotinyl-5-adenylate	bioA//bioB//bioC//bioD//bioF//
BluR	ariR//ycgZ//ymgA//ymgC//
BolA	ampC//dacC//
BtsR-Phosphorylated	btsT//
CadC	cadA//cadB//cadC//
CaiF-L-carnitine	caiA//caiB//caiC//caiD//caiE//caiT//fixA//fixB//fixC//fixX//
Cbl	ssuA//ssuB//ssuC//ssuD//ssuE//tauA//tauB//tauC//tauD//
CdaR	cdaR//garD//garK//garL//garP//garR//gudD//gudP//gudX//rnpB//
CecR	cecR//ybhF//ybhG//ybhR//ybhS//
ChbR	chbA//chbB//chbC//chbF//chbG//chbR//
ChbR-N-monoacetylchitobiose-6-phosphate	chbA//chbB//chbC//chbF//chbG//chbR//
ComR	bhsA//
CpxR-Phosphorylated	acrD//aroG//bacA//baeR//baeS//bamE//cheA//cheW//cpxA//cpxP//cpxQ//cpxR//csgA//csgB//csgC//csgD//csgE//csgF//csgG//cyaR//degP//dgcZ//dsbA//dsbC//efeU_1//efeU_2//fabZ//ftnB//hha//kbp//ldtC//ldtD//lpxA//lpxD//marA//marB//marR//mdtA//mdtB//mdtC//mdtD//motA//motB//mscM//mzrA//ompC//ompF//ppiA//ppiD//psd//rpoE//rpoH//rprA//rseA//rseB//rseC//rseD//sbmA//skp//slt//spy//srkA//tomB//tsr//ung//yaiW//yccA//yebE//yidQ//yqaE//yqjA//
Cra	aceA//aceB//aceE//aceF//aceK//acnA//acnB//adhE//aroP//betA//betB//betI//betT//crp//crr//csgD//csgE//csgF//csgG//cydA//cydB//cyoA//cyoB//cyoC//cyoD//cyoE//cysG//eda//edd//eno//envC//epd//fbaA//fbaB//fruA//fruB//fruK//gapA//glcC//glk//gpmM//hypF//icd//lpd//manX//manY//manZ//marA//marB//marR//mpl//mtlA//mtlD//mtlR//nirB//nirC//nirD//pck//pdeL//pdhR//pfkA//pgk//poxB//ppc//ppsA//prpB//prpC//prpD//prpE//ptsH//ptsI//pykF//setA//sgrS//sgrT//tpiA//yeaD//yibQ//zwf//
CreB-Phosphorylated	creD//malE//malF//malG//talA//
CsgD	csgA//csgB//csgC//csgD//csgE//csgF//csgG//dgcC//flgM//flgN//fliA//fliE//fliF//fliG//fliH//fliI//fliJ//fliK//fliZ//iraP//nlpA//pepD//tcyJ//wrbA//yccJ//yccT//yhbS//yhbT//
CsiR	csiD//gabD//gabP//gabT//lhgO//
CspA	gyrA//hns//
CueR-Cu	copA//cueO//moaA//moaB//moaC//moaD//moaE//
CusR-Pasp	cusA//cusB//cusC//cusF//cusR//cusS//cyoA//cyoB//cyoC//cyoD//cyoE//yedX//
CynR	cynR//
CynR-cyanate	cynS//cynT//cynX//
CysB	cysB//tcyJ//tcyP//
CysB-O-acetyl-L-serine	cbl//cysA//cysC//cysD//cysH//cysI//cysJ//cysK//cysM//cysN//cysP//cysU//cysW//dgcZ//hslJ//ssuA//ssuB//ssuC//ssuD//ssuE//tauA//tauB//tauC//tauD//ybdN//yciW//ygeH//yoaC//
CytR	cdd//cytR//deoA//deoB//deoC//deoD//nupC//nupG//ppiA//rpoH//tsx//udp//ycdZ//
Dan-L-tartrate	ttdA//ttdB//ttdR//ttdT//
DcuR-Phosphorylated	dctA//dcuB//dpiA//dpiB//frdA//frdB//frdC//frdD//fumB//
DeoR	deoA//deoB//deoC//deoD//nupG//tsx//
DhaR	dhaK//dhaL//dhaM//dhaR//
DicA	dicB//dicC//insD-7//intQ//ydfD//ydfE//ydfW//ydfX//
DinJ-YafQ	cspE//dinJ//yafQ//
DnaA-ATP	aldA//dnaA//dnaN//guaA//guaB//nrdA//nrdB//polA//recF//rpoH//yfaE//yjeV//
DpiA-Pasp	appY//citC//citD//citE//citF//citG//citX//dpiA//dpiB//exuT//mdh//
DsdC-D-serine	dsdA//dsdC//dsdX//
EbgR	ebgA//ebgC//
EnvR	acrA//acrB//
EnvY	ompC//ompF//
EvgA-Phosphorylated	acrD//emrK//emrY//evgA//evgS//frc//gadE//gadF//mdtE//mdtF//oxc//safA//ydeO//ydeP//yegR//yegZ//yfdE//yfdV//yfdX//
ExuR	exuR//exuT//uxaA//uxaB//uxaC//uxuA//uxuB//uxuR//
ExuR-alpha-D-galacturonate	lgoR//
FabR	fabA//fabB//
FadR	accA//accB//accC//accD//fabA//fabB//fabD//fabG//fabH//fabI//fadA//fadB//fadD//fadE//fadH//fadI//fadJ//fadL//fadM//iclR//sroD//uspA//
FadR-acyl-CoA	fadR//
FeaR	feaB//tynA//
FhlA-formate	fdhF//fhlA//focB//hycA//hycB//hycC//hycD//hycE//hycF//hycG//hycH//hycI//hydN//hyfA//hyfB//hyfC//hyfD//hyfE//hyfF//hyfG//hyfH//hyfI//hyfJ//hyfR//hypA//hypB//hypC//hypD//hypE//hypF//
FlhDC	ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//flgA//flgB//flgC//flgD//flgE//flgF//flgG//flgH//flgI//flgJ//flgK//flgL//flgM//flgN//flhA//flhB//flhE//fliA//fliD//fliE//fliF//fliG//fliH//fliI//fliJ//fliK//fliL//fliM//fliN//fliO//fliP//fliQ//fliR//fliS//fliT//fliZ//glpA//glpB//glpC//gltI//gltJ//gltK//gltL//hydN//hypF//mdh//mglA//mglB//mglC//napA//napB//napC//napD//napF//napG//napH//nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//pdeH//ppdA//ppdB//ppdC//recC//sroC//tcyJ//ycgR//yecR//ygbK//ygdB//
