#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	araB//rcnA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	fixB//ybiT//atoE//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	puuA//uxaC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	serC//lsrA//
AcrR_FNR_Fur_SoxR	rseC//
AcrR_FNR_Fur_SoxR_SoxS	fadB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	acrZ//
Ada_AidB_Lrp	nrfG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hipA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ansB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	gntX//hybG//nfsB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nagC//aroA//
AdiY_H-NS_IHF	nanT//
AgaR_CRP	hyfI//rseB//hycH//nanT//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	rhaT//lsrF//glpF//narJ//envZ//gadA//
AppY_ArcA_YdeO	aroM//hyfG//ftsQ//acrD//
AraC_CRP	norW//ssuA//puuP//nuoN//nrfG//gltW//fumA//hyaF//tcyJ//
AraC_CRP_XylR	uxaB//hypF//rbsD//
AraC_NagC	caiC//malS//
ArcA_BetI_Cra	dinJ//mraZ//relB//deoB//
ArcA_CRP_CaiF_FNR_H-NS	hyfE//casE//ybiT//caiC//csiE//narL//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hyfB//phoQ//astB//ilvI//srlA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	caiE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	casC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rsmH//tauC//
ArcA_CRP_Cra_Fis	narL//
ArcA_CRP_Cra_IHF_IclR	pncB//skp//adiA//
ArcA_CRP_DcuR	rrfB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	tomB//uidC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	safA//
ArcA_CRP_DnaA_FNR	ssrS//
ArcA_CRP_DpiA_FNR_NarL	gadY//nmpC//galS//hisJ//adiA//uxaA//
ArcA_CRP_DpiA_FlhDC	alaV//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	napF//zraR//
ArcA_CRP_FNR	katE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	treC//fimH//yjcH//
ArcA_CRP_FNR_Fis_Fur_PdhR	chbF//
ArcA_CRP_FNR_Fis_IHF_NarL	fliI//
ArcA_CRP_FNR_Fur	glnQ//sdhA//caiD//paaZ//
ArcA_CRP_FNR_Fur_IHF	sroD//hyfI//glgC//nuoF//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	srlB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	yafQ//
ArcA_CRP_FNR_IHF_NarL	hypA//
ArcA_CRP_FNR_NarL	nanE//
ArcA_CRP_FadR	fixX//nirB//
ArcA_CRP_FadR_HipB	mdtB//
ArcA_CRP_FadR_OmpR_PhoP	citF//
ArcA_CRP_Fis_Mlc_SoxS	tauD//
ArcA_CRP_Fis_XylR	purA//
ArcA_CRP_Fur_GadX_MqsA	glyA//
ArcA_CRP_GatR	lysA//nrfE//idnR//katG//fnr//ilvA//
ArcA_CRP_GlpR	pqiB//
ArcA_CRP_IHF	rutC//
ArcA_CRP_PuuR	lsrB//thrV//fimC//nrfD//cyoA//
ArcA_CRP_RhaS	ssuA//
ArcA_CRP_TreR	oppD//ygbA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	zwf//yeaR//
ArcA_Cra	sufC//
ArcA_Cra_FNR_H-NS_HypT	micF//rplB//
ArcA_CysB_FNR	nrdG//
