#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	manY//nikR//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	srlB//ptsI//ileU//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	modB//sucA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	acnA//nikA//
AcrR_FNR_Fur_SoxR	cspE//
AcrR_FNR_Fur_SoxR_SoxS	gspO//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	crr//
Ada_AidB_Lrp	ftsZ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	yoaG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ygiC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ebgC//casA//mhpE//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	yhcH//citE//
AdiY_H-NS_IHF	fepE//
AgaR_CRP	pspG//ynfH//yhiD//melB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	pstB//rutF//glnD//metQ//setA//paaE//
AppY_ArcA_YdeO	glpA//qseB//malG//tdcB//
AraC_CRP	csrC//nuoA//ftsA//treB//rrlB//truB//fecE//fimC//metE//
AraC_CRP_XylR	fucK//ssb//ompW//
AraC_NagC	treC//malS//
ArcA_BetI_Cra	cusB//fhlA//fadI//fucI//
ArcA_CRP_CaiF_FNR_H-NS	prfA//ssrS//ompR//evgA//malS//oppC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	mdtA//betB//bamE//oxyR//nanS//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hypC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	yrbL//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rutB//gspL//
ArcA_CRP_Cra_Fis	icd//
ArcA_CRP_Cra_IHF_IclR	entB//hybE//gadC//
ArcA_CRP_DcuR	nanA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	narI//fimC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	csgC//
ArcA_CRP_DnaA_FNR	mglC//
ArcA_CRP_DpiA_FNR_NarL	lyxK//ugpE//purR//araD//atoE//fucI//
ArcA_CRP_DpiA_FlhDC	cusA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	fucK//rbsA//
ArcA_CRP_FNR	ydhW//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fdnG//acrF//mdtF//
ArcA_CRP_FNR_Fis_Fur_PdhR	dctR//
ArcA_CRP_FNR_Fis_IHF_NarL	mioC//
ArcA_CRP_FNR_Fur	rrsB//nikA//fumC//ydhX//
ArcA_CRP_FNR_Fur_IHF	entH//nuoC//torD//lldD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	appC//
