#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mazG//aer//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	nikC//ilvM//glnK//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	dmsD//gspE//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ygiA//rpsO//
AcrR_FNR_Fur_SoxR	rutC//
AcrR_FNR_Fur_SoxR_SoxS	citE//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	codB//
Ada_AidB_Lrp	ftsI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	acrD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	bglJ//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	yafQ//yciF//gltU//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ilvL//murP//
AdiY_H-NS_IHF	ebgC//
AgaR_CRP	nanT//pnp//glnD//rpsQ//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	ahpF//xylA//hpt//betA//sdhA//tcyJ//
AppY_ArcA_YdeO	glcF//ccmC//rimK//narH//
AraC_CRP	edd//emrK//rtcA//gabP//ompF//ompC//nrdH//srlE//fbaA//
AraC_CRP_XylR	sucC//sdhB//moaB//
AraC_NagC	feaB//actP//
ArcA_BetI_Cra	safA//modB//idnR//rrsH//
ArcA_CRP_CaiF_FNR_H-NS	osmC//relA//garR//dppB//hypD//deoB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	paaB//hybB//epd//pheM//soxR//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lamB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fumB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	araG//ydeP//
ArcA_CRP_Cra_Fis	setA//
ArcA_CRP_Cra_IHF_IclR	nirD//gutQ//feoB//
ArcA_CRP_DcuR	hisQ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	nikR//creD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	prpB//
ArcA_CRP_DnaA_FNR	nagE//
ArcA_CRP_DpiA_FNR_NarL	rcnA//puuB//hybA//psiE//nuoK//lacY//
ArcA_CRP_DpiA_FlhDC	waaY//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	rutE//sufE//
ArcA_CRP_FNR	nuoC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ebgA//mdtE//nrfE//
ArcA_CRP_FNR_Fis_Fur_PdhR	nanM//
ArcA_CRP_FNR_Fis_IHF_NarL	gcvH//
ArcA_CRP_FNR_Fur	putA//gltD//ygiB//cyoB//
ArcA_CRP_FNR_Fur_IHF	murE//yiaO//gntT//hcp//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rplV//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	malT//
ArcA_CRP_FNR_IHF_NarL	hemA//
ArcA_CRP_FNR_NarL	glnH//
ArcA_CRP_FadR	nusA//rrlH//
ArcA_CRP_FadR_HipB	rhaS//
ArcA_CRP_FadR_OmpR_PhoP	setA//
ArcA_CRP_Fis_Mlc_SoxS	gspO//
ArcA_CRP_Fis_XylR	ugpE//
ArcA_CRP_Fur_GadX_MqsA	mpl//
ArcA_CRP_GatR	idnD//sgrS//prmC//fhuF//murP//hycD//
ArcA_CRP_GlpR	paaZ//
ArcA_CRP_IHF	adiA//
ArcA_CRP_PuuR	gltU//rimP//pyrD//nagA//rrlH//
ArcA_CRP_RhaS	gloA//
ArcA_CRP_TreR	skp//pyrC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	hycH//relE//
ArcA_Cra	codA//
ArcA_Cra_FNR_H-NS_HypT	hisM//gadF//
ArcA_CysB_FNR	rcnB//
ArcA_FNR	narL//citF//gspE//hyfA//rpsO//nmpC//garL//nrfA//rrlH//appX//evgS//cysJ//lsrK//aroL//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fimG//
ArcA_FNR_Fis_IHF_NarL	chiP//fimH//fimC//nfsB//hyfG//ogt//hycF//ompW//mioC//nemA//gdhA//glcF//adhE//
ArcA_FNR_Fur_IHF	ssb//
ArcA_FNR_IHF	prfA//sucB//garL//
ArcA_FNR_IHF_NarL	uidC//serC//
ArcA_FNR_NarL	glcC//rnpB//nrdA//hipB//
ArcA_FNR_PhoP	malP//
ArcA_FNR_PuuR	waaH//ilvL//
ArcA_FadR	rpsS//hycG//ybdZ//
ArcA_FadR_Fis	rhaS//fucK//
ArcA_Fur_Lrp_ModE	hyaF//gcvH//modA//uidA//idnR//
ArcA_GlcC_IHF_PdhR	zinT//nuoG//hyfG//argP//fliE//rpsJ//
ArcA_LexA	csgC//ulaB//
ArcA_LldR	murG//gltW//casB//
ArcA_NarL	csgD//rtcA//fixX//araE//cysU//yeiL//rtcB//melA//
ArcA_NtrC_PhoP_RutR	fadI//torA//galK//fecC//mraY//gutM//fecC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ugpA//malS//ygeA//
ArgP_CRP_FNR_Fur_Nac	higA//
ArgP_DnaA	fadJ//entA//lpxC//
ArgP_Lrp	dppA//fliE//
ArgP_LysR	purH//
ArgP_PhoB	ugpA//
ArgR_CRP	glgC//
ArgR_CRP_Fis	katE//sufS//cdd//codB//idnR//ftsW//cyoE//ccmH//
ArgR_Fis_IHF_PepA_PurR_RutR	glpT//csgG//
ArgR_H-NS_NtrC	yeaR//fecB//rrfH//casD//
ArgR_NtrC	paaZ//dcuB//aroM//entH//fdnH//
ArgR_PhoP	tnaA//
AscG_CRP	deoB//ulaG//rplD//
AscG_CRP_PhoB_PrpR	nuoJ//
AsnC_MraZ_Nac	ompR//
AsnC_Nac	dadA//ssrS//
AtoC_IHF	puuR//yjbH//poxB//rcnA//
BaeR_CpxR	napH//cydA//flgM//hpt//csrC//eda//argG//
BaeR_CpxR_EvgA	hybB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nemA//hdeD//ynfG//nrdE//
BasR_CpxR_PdhR	pyrD//lysA//
BasR_Fis	nrfB//
BasR_H-NS_IHF_NagC_NanR	cysJ//
BasR_MarA_PutA	nagE//
BasR_PhoP	sdhC//
BasR_QseB	napD//casE//
CRP_CaiF_FNR	safA//napF//ilvI//mdtD//
CRP_ChbR_NagC	cyoE//nuoE//paaI//tnaB//hokD//cysA//
CRP_ComR	malQ//
CRP_CpxR	galK//
CRP_CpxR_CytR	codA//
CRP_CpxR_CytR_DnaA_IHF	yhjA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ileU//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	rprA//araE//nanK//dcuA//
CRP_Cra	paaK//dsdX//hyfF//garP//rbsB//hpt//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	entB//citX//mpl//prpB//
CRP_Cra_FNR_PdhR	glpX//
CRP_Cra_Fis	fimE//
CRP_Cra_Fis_GlcC	yiaL//
CRP_Cra_Fis_MtlR	mazF//gspM//sufB//
CRP_Cra_Mlc_NagC	nuoM//iclR//paaG//rrfE//hisQ//nrdF//
CRP_Cra_PrpR	serA//fliH//emrK//iclR//
CRP_CreB_Fis_MalT	psiE//narJ//tauA//
