#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	truB//cysP//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	gatZ//cysA//cadC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	puuB//rplC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	acnB//feaB//
AcrR_FNR_Fur_SoxR	rseC//
AcrR_FNR_Fur_SoxR_SoxS	nrfC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ygiB//
Ada_AidB_Lrp	aslB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ulaG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	treC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	glnD//ygiC//rpsI//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nupG//hdeA//
AdiY_H-NS_IHF	crp//
AgaR_CRP	rtcB//oppA//rrlD//nuoB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	mdtF//rrlA//pstA//fadB//chbF//fliE//
AppY_ArcA_YdeO	yiaM//nirB//treB//ilvX//
AraC_CRP	gltD//poxB//ynfF//melR//hemL//sgrS//purH//modB//sdhB//
AraC_CRP_XylR	gadE//oppB//metB//
AraC_NagC	trg//lsrC//
ArcA_BetI_Cra	rpsJ//gabP//entC//udp//
ArcA_CRP_CaiF_FNR_H-NS	bamE//hdeA//paaC//hns//gltV//ydeP//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	osmY//fucU//metY//fdnI//tdcG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	paaH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	csrC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	galS//recF//
ArcA_CRP_Cra_Fis	ilvX//
ArcA_CRP_Cra_IHF_IclR	srlD//tnaC//dmsD//
ArcA_CRP_DcuR	yjjQ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	codB//dctA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	proW//
ArcA_CRP_DnaA_FNR	dcuA//
ArcA_CRP_DpiA_FNR_NarL	yfaE//ytfE//melA//sdhA//agaW//gspE//
ArcA_CRP_DpiA_FlhDC	puuE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nfuA//fucK//
ArcA_CRP_FNR	feaB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gspF//nikC//araG//
ArcA_CRP_FNR_Fis_Fur_PdhR	rrsG//
ArcA_CRP_FNR_Fis_IHF_NarL	fadA//
ArcA_CRP_FNR_Fur	gadA//betI//fumB//ilvG_1//
ArcA_CRP_FNR_Fur_IHF	srlA//rrsD//nrdA//cyaR//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	narL//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ftsA//
ArcA_CRP_FNR_IHF_NarL	cyaR//
ArcA_CRP_FNR_NarL	ssb//
ArcA_CRP_FadR	argG//rrfA//
ArcA_CRP_FadR_HipB	ilvL//
ArcA_CRP_FadR_OmpR_PhoP	nrfB//
ArcA_CRP_Fis_Mlc_SoxS	norR//
ArcA_CRP_Fis_XylR	araE//
ArcA_CRP_Fur_GadX_MqsA	truB//
ArcA_CRP_GatR	hybF//pncB//hisJ//glpT//dsdX//hyfJ//
ArcA_CRP_GlpR	fumB//
ArcA_CRP_IHF	chbR//
ArcA_CRP_PuuR	ackA//carB//nrdD//gcvT//purN//
ArcA_CRP_RhaS	nuoA//
ArcA_CRP_TreR	galP//ugpE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ccmD//chbR//
ArcA_Cra	metH//
ArcA_Cra_FNR_H-NS_HypT	hipA//atoD//
ArcA_CysB_FNR	csgA//
ArcA_FNR	cspI//fadI//csgG//ydeO//glgA//alaV//fliC//metB//ugpQ//rpsS//yiaK//malT//tauC//hyaC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	carB//
ArcA_FNR_Fis_IHF_NarL	murE//osmY//glnA//dctA//nuoF//tpx//ynfF//cyoC//hycI//srlR//pstS//casB//gspE//
ArcA_FNR_Fur_IHF	dcuC//
ArcA_FNR_IHF	pnp//prpD//marA//
ArcA_FNR_IHF_NarL	csgG//dppF//
ArcA_FNR_NarL	argG//gatD//yaiA//gspG//
ArcA_FNR_PhoP	ygiA//
ArcA_FNR_PuuR	fur//ileV//
ArcA_FadR	emrK//yqjH//tomB//
ArcA_FadR_Fis	paaF//araF//
ArcA_Fur_Lrp_ModE	nrfD//pyrD//entD//rplP//yjbE//
ArcA_GlcC_IHF_PdhR	rrfH//rseB//edd//nrdH//oxyR//sulA//
ArcA_LexA	rplV//fliH//
ArcA_LldR	yjiY//galP//yiaM//
ArcA_NarL	nrdH//rplM//nhaA//fimE//idnO//cdd//ftsI//nrdA//
ArcA_NtrC_PhoP_RutR	ccmG//gspK//pqiA//citX//cas1//hybF//hupA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaA//astC//caiE//
ArgP_CRP_FNR_Fur_Nac	paaE//
ArgP_DnaA	lldD//paaB//ndh//
ArgP_Lrp	gspG//ulaG//
ArgP_LysR	sgrS//
ArgP_PhoB	tnaC//
ArgR_CRP	rpsI//
ArgR_CRP_Fis	nanA//ftsA//cysA//dgcZ//glnD//betT//fimD//metH//
ArgR_Fis_IHF_PepA_PurR_RutR	chbC//galR//
ArgR_H-NS_NtrC	sufA//uidA//malI//dpiB//
ArgR_NtrC	aroP//higA//mntH//torD//glmY//
ArgR_PhoP	hypF//
AscG_CRP	gltU//recF//gltV//
AscG_CRP_PhoB_PrpR	feoC//
AsnC_MraZ_Nac	treB//
