#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	pstB//cysH//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	waaH//glnH//gcd//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	alaU//hybO//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	poxB//citX//
AcrR_FNR_Fur_SoxR	ybdZ//
AcrR_FNR_Fur_SoxR_SoxS	soxS//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	gltW//
Ada_AidB_Lrp	hybD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	lacZ//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	norW//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	tdcF//ilvI//araE//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ppiA//murG//
AdiY_H-NS_IHF	purM//
AgaR_CRP	hpt//nupG//accC//cusF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	relA//epd//leuO//nfuA//ftsW//fliC//
AppY_ArcA_YdeO	nfsB//cusB//ybdN//mntP//
AraC_CRP	astA//hyaA//citD//pstB//eda//hybE//oppC//higB//galR//
AraC_CRP_XylR	gspM//metH//astB//
AraC_NagC	hypB//qseB//
ArcA_BetI_Cra	fadD//ilvI//nrfA//murG//
ArcA_CRP_CaiF_FNR_H-NS	glpK//nikR//fadA//norV//folA//setA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	yjbF//leuO//mraZ//glnP//sra//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glpT//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fpr//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ulaG//hypE//
ArcA_CRP_Cra_Fis	codA//
ArcA_CRP_Cra_IHF_IclR	rrsH//gcvT//grcA//
ArcA_CRP_DcuR	gspD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	manZ//uspA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	srlE//
ArcA_CRP_DnaA_FNR	dppD//
ArcA_CRP_DpiA_FNR_NarL	udp//cusA//lacA//icd//uxaC//rsmH//
ArcA_CRP_DpiA_FlhDC	sdhD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ompC//safA//
ArcA_CRP_FNR	ccmE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rpsC//fecA//dadX//
ArcA_CRP_FNR_Fis_Fur_PdhR	fliC//
ArcA_CRP_FNR_Fis_IHF_NarL	frdD//
ArcA_CRP_FNR_Fur	araB//hycB//gltD//nmpC//
ArcA_CRP_FNR_Fur_IHF	ybdN//fadJ//fadI//glcC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	glgC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	dppD//
ArcA_CRP_FNR_IHF_NarL	acs//
ArcA_CRP_FNR_NarL	cas2//
ArcA_CRP_FadR	mtr//hupA//
ArcA_CRP_FadR_HipB	aroL//
ArcA_CRP_FadR_OmpR_PhoP	lsrC//
ArcA_CRP_Fis_Mlc_SoxS	csgD//
ArcA_CRP_Fis_XylR	glgA//
ArcA_CRP_Fur_GadX_MqsA	ynfF//
ArcA_CRP_GatR	puuB//nikA//dppF//uvrA//gltU//fimD//
ArcA_CRP_GlpR	puuA//
ArcA_CRP_IHF	hyfF//
ArcA_CRP_PuuR	fucU//puuC//hycC//acrD//lpd//
ArcA_CRP_RhaS	tdcD//
ArcA_CRP_TreR	hyaD//puuD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	yiaL//uidC//
ArcA_Cra	ansB//
ArcA_Cra_FNR_H-NS_HypT	mdtB//appY//
ArcA_CysB_FNR	dppD//
ArcA_FNR	cysI//rrsD//mhpB//paaJ//rplV//ftnA//ccmA//galP//glgC//rpsC//ydeO//fabA//nuoI//lyxK//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nuoC//
ArcA_FNR_Fis_IHF_NarL	acrZ//fucO//fucI//puuE//oppF//torC//eda//tyrP//gabP//osmY//crr//uidB//tnaC//
ArcA_FNR_Fur_IHF	glnD//
ArcA_FNR_IHF	gatY//srlE//mioC//
ArcA_FNR_IHF_NarL	narJ//ppiA//
ArcA_FNR_NarL	fucO//rbsC//cusB//metL//
ArcA_FNR_PhoP	galE//
ArcA_FNR_PuuR	hdeA//gadF//
ArcA_FadR	nrfA//hycB//nuoE//
ArcA_FadR_Fis	metK//evgA//
ArcA_Fur_Lrp_ModE	prmC//nemA//aceB//aidB//ilvI//
ArcA_GlcC_IHF_PdhR	hycG//purA//hyfD//ygbA//rrlA//fixC//
ArcA_LexA	focA//sucA//
ArcA_LldR	nikA//ccmC//glpD//
ArcA_NarL	malP//yciF//pspA//yfaE//dusB//nuoA//lldR//creD//
ArcA_NtrC_PhoP_RutR	fimB//hycH//fadE//fiu//alaU//mazE//mraY//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fabB//baeR//gabT//
ArgP_CRP_FNR_Fur_Nac	safA//
ArgP_DnaA	molR_1//proW//lrp//
ArgP_Lrp	pflB//mdtF//
ArgP_LysR	cysP//
ArgP_PhoB	malI//
ArgR_CRP	nanK//
ArgR_CRP_Fis	cusB//rnpB//hyfC//araF//norV//uxaC//gltA//degP//
ArgR_Fis_IHF_PepA_PurR_RutR	chbA//hypB//
ArgR_H-NS_NtrC	relE//ihfA//cytR//ndh//
ArgR_NtrC	fecD//mdtB//ssrS//mlc//lamB//
ArgR_PhoP	purN//
AscG_CRP	relB//ilvH//cas1//
AscG_CRP_PhoB_PrpR	entC//
AsnC_MraZ_Nac	araB//
AsnC_Nac	csgC//katG//
AtoC_IHF	melA//galR//tpx//relE//
BaeR_CpxR	napC//yhiM//rrlG//ydeP//rutG//paaD//atoA//
BaeR_CpxR_EvgA	marA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	murF//dppC//rprA//rplD//
BasR_CpxR_PdhR	tomB//rbfA//
BasR_Fis	csgF//
