#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	chbB//citF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	dmsD//ycdZ//sucB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	hdeD//cspE//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ydeM//csgB//
AcrR_FNR_Fur_SoxR	paaF//
AcrR_FNR_Fur_SoxR_SoxS	acs//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	hycC//
Ada_AidB_Lrp	ompC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hisP//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	mazG//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	yoeB//asr//ackA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hypD//chbA//
AdiY_H-NS_IHF	hyaD//
AgaR_CRP	uvrA//araJ//dcuS//codA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	sucB//tdcE//hypF//nrfC//melB//rrfF//
AppY_ArcA_YdeO	ulaF//fur//osmC//ahpF//
AraC_CRP	narK//moaA//zraS//tdcE//skp//malE//pgaD//adiC//cydD//
AraC_CRP_XylR	yafQ//glcA//rtcA//
AraC_NagC	hmp//narG//
ArcA_BetI_Cra	lsrA//aer//yoaG//acrD//
ArcA_CRP_CaiF_FNR_H-NS	idnO//gltW//dinJ//fimE//gadY//pspC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fliH//murG//metN//amtB//puuE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rpsS//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	galM//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fucA//ogt//
ArcA_CRP_Cra_Fis	gatB//
ArcA_CRP_Cra_IHF_IclR	cspI//yaiA//hycH//
ArcA_CRP_DcuR	ccmE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	sucB//fimB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ptsI//
ArcA_CRP_DnaA_FNR	paaA//
ArcA_CRP_DpiA_FNR_NarL	srlE//nuoC//qseB//nanC//entA//galE//
