#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ydhV//ccmC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	uxuA//rrfB//uxaC//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rrsG//rhaS//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	napA//gapA//
AcrR_FNR_Fur_SoxR	bglJ//
AcrR_FNR_Fur_SoxR_SoxS	feaB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	uxuB//
Ada_AidB_Lrp	csgG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nrdF//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	deoC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	katG//atoA//ftsA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	crr//ftsW//
AdiY_H-NS_IHF	rbsB//
AgaR_CRP	moaA//dinJ//fucI//hyaC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	guaB//murP//srlD//nanK//glpT//dmsA//
AppY_ArcA_YdeO	rplW//malM//murG//murD//
AraC_CRP	yjiY//malM//dinJ//mioC//rpsO//csgC//bamE//argG//hybF//
AraC_CRP_XylR	rutD//bglF//sufD//
AraC_NagC	cysM//rsmH//
ArcA_BetI_Cra	ebgC//gloA//rseB//gntU//
ArcA_CRP_CaiF_FNR_H-NS	moaA//crp//ldtB//agaA//garK//rplB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gspJ//icd//accB//cusA//gspF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	setA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hdeB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	glpK//paaJ//
ArcA_CRP_Cra_Fis	ftsA//
ArcA_CRP_Cra_IHF_IclR	ilvM//pgaA//galM//
ArcA_CRP_DcuR	bglF//
ArcA_CRP_DcuR_DpiA_FNR_NarL	fumC//rpsJ//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	dppC//
ArcA_CRP_DnaA_FNR	mtlD//
ArcA_CRP_DpiA_FNR_NarL	argP//galE//uxaC//rrfF//napD//bglG//
ArcA_CRP_DpiA_FlhDC	ldtB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	serC//dppC//
ArcA_CRP_FNR	glyA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	pyrD//rcnB//hmp//
ArcA_CRP_FNR_Fis_Fur_PdhR	metH//
ArcA_CRP_FNR_Fis_IHF_NarL	glnD//
ArcA_CRP_FNR_Fur	tdcG//ubiC//fliJ//deoD//
ArcA_CRP_FNR_Fur_IHF	rpsO//rimK//nupG//molR_1//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	dctR//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	tcyJ//
ArcA_CRP_FNR_IHF_NarL	pqiA//
ArcA_CRP_FNR_NarL	yjcH//
ArcA_CRP_FadR	nanT//entA//
ArcA_CRP_FadR_HipB	ilvD//
ArcA_CRP_FadR_OmpR_PhoP	alaV//
ArcA_CRP_Fis_Mlc_SoxS	mraY//
ArcA_CRP_Fis_XylR	rrsE//
ArcA_CRP_Fur_GadX_MqsA	fucA//
ArcA_CRP_GatR	paaB//acrZ//pgaC//nuoN//nanK//gatC//
ArcA_CRP_GlpR	ssuC//
ArcA_CRP_IHF	glnP//
ArcA_CRP_PuuR	flgM//yhcH//uxaB//nrdF//cysI//
ArcA_CRP_RhaS	gdhA//
