#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	metK//nac//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	adiC//hpt//aslB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	aceK//tyrP//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	puuD//lysA//
AcrR_FNR_Fur_SoxR	ptsG//
AcrR_FNR_Fur_SoxR_SoxS	nrdI//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	metH//
Ada_AidB_Lrp	nusA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	pstB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	acrD//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	csrC//yiaN//rhaD//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nuoG//mhpC//
AdiY_H-NS_IHF	paaJ//
AgaR_CRP	gntK//mlc//ugpC//gltV//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	gadW//alaV//aroP//moaD//malE//paaD//
AppY_ArcA_YdeO	rbfA//nagC//rpoH//fdnH//
AraC_CRP	slp//metR//cspD//atoE//hycG//metQ//fadH//ompF//lsrD//
AraC_CRP_XylR	rrsA//pspD//mazG//
AraC_NagC	moaD//ydeO//
ArcA_BetI_Cra	bhsA//nagC//csiE//lrp//
ArcA_CRP_CaiF_FNR_H-NS	entD//moeA//rrsA//nrdI//tyrR//marA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	rsmH//mpl//paaD//yedX//chbA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gadX//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hycH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	sufB//fabZ//
ArcA_CRP_Cra_Fis	yfaE//
ArcA_CRP_Cra_IHF_IclR	bglG//hycG//tyrR//
ArcA_CRP_DcuR	fucU//
ArcA_CRP_DcuR_DpiA_FNR_NarL	ugpB//ygbA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glnD//
ArcA_CRP_DnaA_FNR	fdnH//
ArcA_CRP_DpiA_FNR_NarL	ftsZ//relA//rrsC//mhpC//pnp//lacA//
ArcA_CRP_DpiA_FlhDC	spy//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hycF//idnR//
ArcA_CRP_FNR	fpr//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	cysW//glnG//nagB//
ArcA_CRP_FNR_Fis_Fur_PdhR	rbfA//
ArcA_CRP_FNR_Fis_IHF_NarL	ybdN//
ArcA_CRP_FNR_Fur	cadA//lysA//lpxA//purN//
ArcA_CRP_FNR_Fur_IHF	glpF//marA//citF//glnK//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	adiC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mtlD//
ArcA_CRP_FNR_IHF_NarL	rrlE//
ArcA_CRP_FNR_NarL	rutC//
ArcA_CRP_FadR	fecB//gapA//
ArcA_CRP_FadR_HipB	tomB//
ArcA_CRP_FadR_OmpR_PhoP	yiaL//
ArcA_CRP_Fis_Mlc_SoxS	fau//
ArcA_CRP_Fis_XylR	dpiB//
ArcA_CRP_Fur_GadX_MqsA	zraR//
ArcA_CRP_GatR	rnpB//exuR//marR//hybE//ubiC//purH//
ArcA_CRP_GlpR	ynfK//
ArcA_CRP_IHF	tdcB//
ArcA_CRP_PuuR	mhpA//gspM//rhaA//umpH//bhsA//
ArcA_CRP_RhaS	yeiL//
ArcA_CRP_TreR	dmsD//pspD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	purR//nrfD//
ArcA_Cra	ompC//
ArcA_Cra_FNR_H-NS_HypT	cadA//dmsD//
ArcA_CysB_FNR	dinJ//
ArcA_FNR	yfaE//mhpD//fliA//gltB//lysP//acrB//lldR//crp//sbmC//hupB//lldP//ydeM//rpsJ//sucC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hybF//
ArcA_FNR_Fis_IHF_NarL	gntK//paaC//appY//puuP//baeS//hyfC//fbaA//nuoG//malG//melR//malQ//glnL//yjbH//
ArcA_FNR_Fur_IHF	citF//
ArcA_FNR_IHF	gyrA//gspG//bolA//
ArcA_FNR_IHF_NarL	acrF//fpr//
ArcA_FNR_NarL	sucB//osmC//thrV//deoD//
ArcA_FNR_PhoP	alaU//
ArcA_FNR_PuuR	fimD//nrfC//
ArcA_FadR	yedX//bamE//yoaG//
ArcA_FadR_Fis	adiA//aceK//
ArcA_Fur_Lrp_ModE	tam//rrfE//ilvM//fucI//ccmE//
ArcA_GlcC_IHF_PdhR	ccmA//gltA//zraR//ssb//ilvG_2//dadX//
ArcA_LexA	rutA//fumC//
ArcA_LldR	iclR//glnG//gatC//
ArcA_NarL	phoQ//sulA//moaD//gntU//aer//uxuA//acrB//nuoH//
ArcA_NtrC_PhoP_RutR	tauD//mntH//nrfA//caiC//srlR//manY//sucD//
