#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	oppA//fdnH//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rutE//iclR//metL//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	glcC//nusA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	yiaO//ccmD//
AcrR_FNR_Fur_SoxR	adiA//
AcrR_FNR_Fur_SoxR_SoxS	ydeN//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	dadX//
Ada_AidB_Lrp	rpsJ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	sdhC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	yaiA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	appY//mhpE//ydeP//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	flgN//uof//
AdiY_H-NS_IHF	pheM//
AgaR_CRP	ssuC//hypD//alaU//lsrR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	gatC//argG//hyfD//uvrA//araD//fucR//
AppY_ArcA_YdeO	ycdZ//murG//rhaS//codB//
AraC_CRP	nrdG//iraM//gspF//sufB//xylH//hyaB//patA//modB//oppC//
AraC_CRP_XylR	pspA//crr//paaC//
AraC_NagC	ansB//fimH//
ArcA_BetI_Cra	hns//nuoC//icd//galS//
ArcA_CRP_CaiF_FNR_H-NS	malP//higB//casE//nikR//narI//yecR//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	cysB//nusA//rplB//xylH//torC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	dmsA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hypA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gabT//dadX//
ArcA_CRP_Cra_Fis	malK//
ArcA_CRP_Cra_IHF_IclR	pspA//ftsZ//rrsH//
ArcA_CRP_DcuR	aldA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	leuO//nikB//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	pqiB//
ArcA_CRP_DnaA_FNR	fliC//
ArcA_CRP_DpiA_FNR_NarL	napH//galP//hycA//dmsD//ccmG//dppD//
ArcA_CRP_DpiA_FlhDC	narI//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	aspC//dcuB//
ArcA_CRP_FNR	puuP//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hupB//malK//ulaB//
ArcA_CRP_FNR_Fis_Fur_PdhR	lldR//
ArcA_CRP_FNR_Fis_IHF_NarL	oppF//
ArcA_CRP_FNR_Fur	appX//tnaA//idnD//glpF//
ArcA_CRP_FNR_Fur_IHF	infB//sgbH//rrfD//fecC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	chiP//
