#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	chbA//ccmH//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	casD//fixX//mdtD//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rplM//cyoB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rhaR//hupA//
AcrR_FNR_Fur_SoxR	caiT//
AcrR_FNR_Fur_SoxR_SoxS	moaD//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	ccmF//
Ada_AidB_Lrp	hpt//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rbsB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	katE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	glcF//nrdB//fliG//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sdhD//aroM//
AdiY_H-NS_IHF	yiaO//
AgaR_CRP	ccmD//manY//envZ//flhC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	csrC//hyfC//guaB//osmY//moeB//araA//
AppY_ArcA_YdeO	astB//guaA//uxuA//hycD//
AraC_CRP	cyaR//garL//prpR//tdcG//aceF//nagB//ilvH//nanC//fimI//
AraC_CRP_XylR	cas1//bolA//nanS//
AraC_NagC	melR//tauB//
ArcA_BetI_Cra	adhE//hycE//moaB//araH//
ArcA_CRP_CaiF_FNR_H-NS	proW//hyfB//paaZ//chiP//mdtC//chbA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	cysJ//cyoC//dadA//nuoC//gspL//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	cas2//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	araA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gapA//ugpB//
ArcA_CRP_Cra_Fis	mhpD//
ArcA_CRP_Cra_IHF_IclR	rrfD//guaB//nrfF//
ArcA_CRP_DcuR	fadD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	cas1//mhpE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gntU//
ArcA_CRP_DnaA_FNR	rutC//
ArcA_CRP_DpiA_FNR_NarL	paaK//glcG//ulaE//hdeA//tcyJ//icd//
ArcA_CRP_DpiA_FlhDC	fadI//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	araJ//dcuD//
ArcA_CRP_FNR	moeB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	dgcZ//hypC//idnD//
ArcA_CRP_FNR_Fis_Fur_PdhR	yoaG//
ArcA_CRP_FNR_Fis_IHF_NarL	waaY//
ArcA_CRP_FNR_Fur	emrY//entA//yecR//rutF//
ArcA_CRP_FNR_Fur_IHF	gltW//puuB//ygiC//rplB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	agaV//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fimH//
ArcA_CRP_FNR_IHF_NarL	lacA//
ArcA_CRP_FNR_NarL	ftsW//
ArcA_CRP_FadR	fucA//fucP//
ArcA_CRP_FadR_HipB	sdhA//
ArcA_CRP_FadR_OmpR_PhoP	ppiA//
ArcA_CRP_Fis_Mlc_SoxS	uxaC//
ArcA_CRP_Fis_XylR	gspI//
ArcA_CRP_Fur_GadX_MqsA	mhpE//
ArcA_CRP_GatR	patA//yoeB//gadY//trg//rhaT//emrY//
ArcA_CRP_GlpR	gspF//
ArcA_CRP_IHF	uxaB//
ArcA_CRP_PuuR	nrdA//metN//acs//araE//ilvX//
ArcA_CRP_RhaS	hyfC//
ArcA_CRP_TreR	gdhA//cusF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	sdhA//rutC//
