#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	sgrS//yjiY//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rplD//fes//fliG//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	dusB//casB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fliC//gltV//
AcrR_FNR_Fur_SoxR	caiB//
AcrR_FNR_Fur_SoxR_SoxS	lldD//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	dps//
Ada_AidB_Lrp	glnK//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	yiaM//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	fimI//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	srlE//prmC//appA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rcnB//ssuD//
AdiY_H-NS_IHF	gltU//
AgaR_CRP	osmE//mraY//moaD//tdcE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	hypB//hybG//uxuA//guaA//rpmC//rpoE//
AppY_ArcA_YdeO	rrfH//pstC//hyfD//oppA//
AraC_CRP	hipA//hupB//galE//higB//rutC//modC//idnD//lsrF//creD//
AraC_CRP_XylR	galT//inaA//eda//
AraC_NagC	xylH//oppC//
ArcA_BetI_Cra	glcA//dcuB//glnK//lldD//
ArcA_CRP_CaiF_FNR_H-NS	fecB//ebgC//yjiY//glcD//cysU//fdnG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ssuA//yhcH//tnaC//gspC//gspL//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nagE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fumC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gntT//cysJ//
ArcA_CRP_Cra_Fis	mazE//
ArcA_CRP_Cra_IHF_IclR	betA//glpA//hybO//
ArcA_CRP_DcuR	narI//
ArcA_CRP_DcuR_DpiA_FNR_NarL	nanK//gspK//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	yjiY//
ArcA_CRP_DnaA_FNR	araF//
ArcA_CRP_DpiA_FNR_NarL	lgoR//gspO//ptsH//nrdG//hupA//ssrS//
ArcA_CRP_DpiA_FlhDC	dppB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	idnT//fdhF//
ArcA_CRP_FNR	cysG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	galM//norW//zinT//
ArcA_CRP_FNR_Fis_Fur_PdhR	bglJ//
ArcA_CRP_FNR_Fis_IHF_NarL	mdtE//
ArcA_CRP_FNR_Fur	gapA//deoB//yjbE//lysP//
ArcA_CRP_FNR_Fur_IHF	mtlD//gntU//hycG//purA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	acnB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	srlA//
