#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mhpD//osmY//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	astD//fliA//csgG//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	murC//rplP//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glpF//murE//
AcrR_FNR_Fur_SoxR	murE//
AcrR_FNR_Fur_SoxR_SoxS	rrsB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	xylR//
Ada_AidB_Lrp	napH//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nikE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	bglJ//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	zraS//ccmB//pspC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ynfG//fimE//
AdiY_H-NS_IHF	rseB//
AgaR_CRP	hyfF//srlD//sdhD//rutC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	dusB//gltU//puuE//pgaC//hycA//frdB//
AppY_ArcA_YdeO	putP//nagA//ilvE//hyfF//
AraC_CRP	hycE//hpt//fumB//nrdI//pstB//malT//yedX//fimG//fumA//
AraC_CRP_XylR	betT//dcuC//caiC//
AraC_NagC	nanE//gnd//
ArcA_BetI_Cra	cysM//cspD//rrlB//ndh//
ArcA_CRP_CaiF_FNR_H-NS	hyfE//narK//fimI//gcvP//cusA//paaC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	srlD//yhiD//lpxA//nanM//fis//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ybfN//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	casC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ptsG//gspL//
ArcA_CRP_Cra_Fis	glcA//
ArcA_CRP_Cra_IHF_IclR	ptsG//melA//nikA//
ArcA_CRP_DcuR	casC//
