#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	srlD//hha//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	fadH//cusS//rutA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	proW//yqjI//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ftsW//metN//
AcrR_FNR_Fur_SoxR	feaB//
AcrR_FNR_Fur_SoxR_SoxS	malM//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	tauA//
Ada_AidB_Lrp	treC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gatY//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	acrE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	mtr//murD//gspK//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	metK//hdeD//
AdiY_H-NS_IHF	treB//
AgaR_CRP	caiD//xylF//lhgO//glpB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	mpl//nanM//yiaL//nanC//dcuD//nfsB//
AppY_ArcA_YdeO	amtB//hycC//sgbE//pdeL//
AraC_CRP	lsrD//cusC//nagA//qseC//cysW//accB//aidB//mhpF//nemR//
AraC_CRP_XylR	nfo//casB//fucR//
AraC_NagC	yciF//higA//
ArcA_BetI_Cra	rrsA//argG//dinJ//glpX//
ArcA_CRP_CaiF_FNR_H-NS	garL//mhpD//yjiY//yhcH//rbsK//aer//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	relB//aceE//fucR//asr//ulaE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	uidB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	napF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	mpl//tdcB//
ArcA_CRP_Cra_Fis	degP//
ArcA_CRP_Cra_IHF_IclR	pyrC//nrfB//mnmG//
ArcA_CRP_DcuR	yiaO//
ArcA_CRP_DcuR_DpiA_FNR_NarL	dsdA//flgN//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lacZ//
ArcA_CRP_DnaA_FNR	ulaC//
ArcA_CRP_DpiA_FNR_NarL	lsrD//aceE//gadA//lsrC//hha//hpt//
ArcA_CRP_DpiA_FlhDC	ydhV//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	cysH//dmsD//
ArcA_CRP_FNR	mtlD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	deoB//murD//fes//
ArcA_CRP_FNR_Fis_Fur_PdhR	lysA//
ArcA_CRP_FNR_Fis_IHF_NarL	thrV//
ArcA_CRP_FNR_Fur	casE//gyrA//lgoR//dcuA//
ArcA_CRP_FNR_Fur_IHF	nikC//fabZ//hyaC//fumB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	osmY//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	purD//
ArcA_CRP_FNR_IHF_NarL	ccmH//
ArcA_CRP_FNR_NarL	folA//
ArcA_CRP_FadR	sufS//dcuC//
ArcA_CRP_FadR_HipB	paaH//
ArcA_CRP_FadR_OmpR_PhoP	gspD//
ArcA_CRP_Fis_Mlc_SoxS	cysP//
ArcA_CRP_Fis_XylR	carB//
ArcA_CRP_Fur_GadX_MqsA	fucR//
ArcA_CRP_GatR	prfA//rrlC//ulaD//gadE//torA//idnO//
ArcA_CRP_GlpR	tnaC//
ArcA_CRP_IHF	gabD//
ArcA_CRP_PuuR	frdB//crr//galK//ahpC//rrlB//
ArcA_CRP_RhaS	fepE//
ArcA_CRP_TreR	ahpC//gcd//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	chbF//sufC//
ArcA_Cra	sodB//
ArcA_Cra_FNR_H-NS_HypT	feoA//aceE//
ArcA_CysB_FNR	bglB//
ArcA_FNR	agaW//lrp//dadX//ftsQ//csgD//safA//ccmA//fabB//feaR//napF//yefM//malF//hmp//argP//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	aroP//
ArcA_FNR_Fis_IHF_NarL	recF//gnd//cysA//csgF//higA//fdnI//gspO//nanE//rutB//dsdC//gcvT//crr//higB//
ArcA_FNR_Fur_IHF	ygiB//
ArcA_FNR_IHF	rplM//gadY//agaA//
ArcA_FNR_IHF_NarL	fau//focA//
ArcA_FNR_NarL	acnB//yiaL//alaU//aroG//
ArcA_FNR_PhoP	tam//
ArcA_FNR_PuuR	hlyE//fucP//
ArcA_FadR	pdhR//higA//nrdD//
ArcA_FadR_Fis	astB//actP//
ArcA_Fur_Lrp_ModE	purH//ompC//gspE//frdA//nikB//
ArcA_GlcC_IHF_PdhR	ompW//ybiT//rplP//hyaE//gabD//aspA//
ArcA_LexA	tcyJ//higA//
ArcA_LldR	slp//cusR//hycE//
ArcA_NarL	rpoH//rrfF//tyrR//rseB//prpE//narG//dppC//nagB//
ArcA_NtrC_PhoP_RutR	gltW//mhpE//mazF//pspA//uhpT//hycE//ynfK//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ascF//ssrS//deoA//
ArgP_CRP_FNR_Fur_Nac	hisM//
ArgP_DnaA	nemA//glcE//araJ//
ArgP_Lrp	rrsH//marB//
ArgP_LysR	fliI//
ArgP_PhoB	gspG//
ArgR_CRP	nanK//
ArgR_CRP_Fis	nupC//carA//hmp//sufC//lgoR//mntH//cspD//lysP//
ArgR_Fis_IHF_PepA_PurR_RutR	hisJ//fadE//
ArgR_H-NS_NtrC	molR_1//lpxA//ccmD//mhpA//
ArgR_NtrC	gltD//manX//cyoC//putA//atoA//
ArgR_PhoP	creD//
AscG_CRP	nuoI//tdcA//entH//
AscG_CRP_PhoB_PrpR	gabT//
AsnC_MraZ_Nac	gutM//
AsnC_Nac	atoD//tauA//
AtoC_IHF	puuB//cydC//fadE//uxuA//
BaeR_CpxR	dppB//aceE//lldR//deoC//nuoG//glpD//glpA//
BaeR_CpxR_EvgA	dnaN//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	yciF//lpxD//bhsA//argD//
BasR_CpxR_PdhR	hybE//mglA//
BasR_Fis	rbsC//
BasR_H-NS_IHF_NagC_NanR	hycB//
BasR_MarA_PutA	gatY//
BasR_PhoP	aspC//
BasR_QseB	norV//cysI//
CRP_CaiF_FNR	gntT//hypF//atoB//ilvG_2//
CRP_ChbR_NagC	ccmG//cusB//cysH//moaB//crp//dsdC//
CRP_ComR	sdhB//
CRP_CpxR	tsx//
CRP_CpxR_CytR	tdcF//
CRP_CpxR_CytR_DnaA_IHF	galT//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gspE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	nuoJ//acrE//uspA//idnO//
CRP_Cra	fadD//nfsA//lpd//ccmD//entF//cspD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gadE//chbF//acrZ//bglB//
CRP_Cra_FNR_PdhR	nirC//
CRP_Cra_Fis	gadB//
CRP_Cra_Fis_GlcC	napF//
CRP_Cra_Fis_MtlR	fumC//rrlH//galR//
CRP_Cra_Mlc_NagC	ssrS//chbR//nrdA//rpoH//rrsH//kbaZ//
CRP_Cra_PrpR	csgB//entH//rbsA//modC//
CRP_CreB_Fis_MalT	rutE//gadA//gntT//
CRP_CsiR_H-NS_Lrp	actP//glpF//
CRP_CsiR_H-NS_Lrp_Nac	hybG//ulaD//chbG//
CRP_CspA_Fis	acrF//
CRP_CytR	cydD//osmY//baeS//
CRP_CytR_DeoR	fliG//mraZ//
CRP_CytR_DeoR_Fis_ModE	prmC//hokD//deoB//udp//
CRP_CytR_Nac	envZ//
CRP_CytR_NsrR	paaG//
CRP_DcuR_FNR_NarL	higB//
CRP_DinJ-YafQ	rnpB//
CRP_DnaA_Fis_PurR	hybE//ahpC//
CRP_DpiA_ExuR	glpC//
CRP_DsdC	csgD//glgP//
CRP_EbgR	deoB//paaJ//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sufE//moaD//
CRP_ExuR	uxaA//
CRP_ExuR_FNR	pgaB//fucR//
CRP_ExuR_OxyR_UxuR	treC//prfA//
CRP_ExuR_UxuR	araD//
CRP_FNR	hybO//
CRP_FNR_FhlA_HyfR	adiA//yciG//mdtC//caiC//galK//glnD//gadW//ptsH//csgC//nuoG//nuoK//glgA//
CRP_FNR_Fis	ccmA//fis//dctA//
CRP_FNR_Fis_GlpR_IHF	yhjA//nrdA//
CRP_FNR_Fis_H-NS_SlyA	araD//
CRP_FNR_GcvA_Lrp_PurR	folA//hisP//lsrD//
CRP_FNR_H-NS_NarL	hlyE//
CRP_FNR_IHF_TdcA_TdcR	gatB//rrsD//cydD//dppF//metH//ftsW//ydhV//
CRP_FNR_NarL	cytR//patA//nanT//
CRP_FeaR_NsrR	dppF//
CRP_Fis	moaC//nfo//paaJ//murC//hisQ//
CRP_Fis_FlhDC_GalR_GalS	mazG//folA//
CRP_Fis_FliZ_IHF_Lrp	phoU//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	dps//hycH//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ccmF//torD//napC//
CRP_Fis_IHF	uxaB//yjbG//gntU//araF//dinI//
CRP_Fis_NanR	oppB//rutE//cspE//higA//nfuA//
