#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ilvX//malE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	nrfA//yiaO//creD//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	araE//tyrR//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	cysM//fimB//
AcrR_FNR_Fur_SoxR	rpsC//
AcrR_FNR_Fur_SoxR_SoxS	qseB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	lgoR//
Ada_AidB_Lrp	cusF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	sdhB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	mhpB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	hypB//dmsD//csgA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	dsdA//ilvA//
AdiY_H-NS_IHF	dsdC//
AgaR_CRP	nemR//hdeD//qseB//gdhA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	pgaB//yjbE//rpsO//cydB//lsrC//nirB//
AppY_ArcA_YdeO	puuA//nanE//casC//inaA//
AraC_CRP	idnD//asr//hyfR//fixX//kbaZ//rnpB//ebgA//gadE//norV//
AraC_CRP_XylR	yiaN//rob//aceA//
AraC_NagC	pstS//ytfE//
ArcA_BetI_Cra	nrfB//frdD//yjbG//fumC//
ArcA_CRP_CaiF_FNR_H-NS	srlD//betA//stpA//rob//manX//sodA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	udp//hybC//appC//glcE//rseA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	eda//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	paaG//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gspH//atoE//
ArcA_CRP_Cra_Fis	yedX//
ArcA_CRP_Cra_IHF_IclR	dppD//rplT//caiF//
ArcA_CRP_DcuR	argG//
ArcA_CRP_DcuR_DpiA_FNR_NarL	acnB//nuoI//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mpl//
ArcA_CRP_DnaA_FNR	prpE//
ArcA_CRP_DpiA_FNR_NarL	fdnH//fnr//tdcF//hisJ//norV//cydA//
ArcA_CRP_DpiA_FlhDC	cusS//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	cspI//ilvI//
ArcA_CRP_FNR	cas1//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	galS//gabT//glyA//
ArcA_CRP_FNR_Fis_Fur_PdhR	norW//
ArcA_CRP_FNR_Fis_IHF_NarL	fadL//
ArcA_CRP_FNR_Fur	dadX//lrp//glnH//gadB//
ArcA_CRP_FNR_Fur_IHF	norR//glnK//bamE//mhpA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	nuoF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	oppF//
ArcA_CRP_FNR_IHF_NarL	recF//
ArcA_CRP_FNR_NarL	metE//
ArcA_CRP_FadR	rutG//gapA//
ArcA_CRP_FadR_HipB	galT//
ArcA_CRP_FadR_OmpR_PhoP	pdeL//
ArcA_CRP_Fis_Mlc_SoxS	nanA//
ArcA_CRP_Fis_XylR	hybF//
ArcA_CRP_Fur_GadX_MqsA	atoE//
ArcA_CRP_GatR	pspD//ccmH//mnmG//purH//deoB//tcyJ//
ArcA_CRP_GlpR	rplT//
ArcA_CRP_IHF	rrsB//
ArcA_CRP_PuuR	lamB//csiE//udp//mtr//gcvT//
ArcA_CRP_RhaS	glgP//
ArcA_CRP_TreR	hisJ//rrfC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	aceE//gatZ//
ArcA_Cra	ileT//
ArcA_Cra_FNR_H-NS_HypT	nirB//fliK//
ArcA_CysB_FNR	ptsH//
ArcA_FNR	tcyJ//gspF//oppA//zwf//sgbU//fliC//acrB//moeA//rplT//yfaE//fdhF//caiE//rbsK//appC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	yafQ//
ArcA_FNR_Fis_IHF_NarL	cadA//fliF//pstS//tolC//rprA//rpsO//cusR//yrbL//betA//cyoC//proX//rplP//manZ//
ArcA_FNR_Fur_IHF	yjbH//
ArcA_FNR_IHF	fliZ//fabB//gntU//
ArcA_FNR_IHF_NarL	yecR//gabT//
ArcA_FNR_NarL	fiu//nrdF//fimC//astE//
ArcA_FNR_PhoP	garL//
ArcA_FNR_PuuR	pstC//xylB//
ArcA_FadR	mnmG//sdhA//gutM//
ArcA_FadR_Fis	treC//malQ//
ArcA_Fur_Lrp_ModE	araF//nusA//ynfF//sufE//nhaR//
ArcA_GlcC_IHF_PdhR	nemR//nuoL//relB//gcd//ackA//higB//
ArcA_LexA	lsrR//hypB//
ArcA_LldR	tyrR//glcB//zraR//
ArcA_NarL	yecR//hyaE//modA//chbA//nrfG//relE//csgB//glpA//
ArcA_NtrC_PhoP_RutR	gatC//cyoB//ebgA//rbsR//ccmC//hycG//yciG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	mazG//fliJ//casB//
ArgP_CRP_FNR_Fur_Nac	ydeN//
ArgP_DnaA	paaG//nrfB//ulaD//
ArgP_Lrp	galP//katE//
ArgP_LysR	ftsA//
ArgP_PhoB	pstA//
ArgR_CRP	dctR//
