#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ackA//idnO//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	fdhF//gspL//metR//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	hycI//metE//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	gadY//garP//
AcrR_FNR_Fur_SoxR	caiD//
AcrR_FNR_Fur_SoxR_SoxS	citC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	hypA//
Ada_AidB_Lrp	puuD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	yhjA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	nuoE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	asr//rutA//fdnI//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	oxyR//nuoJ//
AdiY_H-NS_IHF	glpF//
AgaR_CRP	epd//lpd//glcE//moaD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	lacZ//narI//glpT//yefM//sufS//citG//
AppY_ArcA_YdeO	idnK//yjjQ//nrfA//hybA//
AraC_CRP	tdcG//rrfG//hyfG//ugpA//appB//ccmE//purM//relE//moeA//
AraC_CRP_XylR	fepA//relE//uxaB//
AraC_NagC	acrF//araH//
ArcA_BetI_Cra	appX//rcnA//ackA//ftsW//
ArcA_CRP_CaiF_FNR_H-NS	ulaG//entA//tnaA//ulaF//glcD//gltV//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	rrsG//ptsI//flhC//ssrS//aidB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	srlA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	rpmC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ybdZ//nuoK//
ArcA_CRP_Cra_Fis	rpsC//
ArcA_CRP_Cra_IHF_IclR	hisQ//modB//prpE//
ArcA_CRP_DcuR	sucC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	puuP//bolA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hyfD//
ArcA_CRP_DnaA_FNR	yqjI//
ArcA_CRP_DpiA_FNR_NarL	mdtC//moaB//gntX//uspA//paaA//mglC//
ArcA_CRP_DpiA_FlhDC	gspL//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	tauD//rbfA//
ArcA_CRP_FNR	rbsA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rutB//fepB//exuR//
ArcA_CRP_FNR_Fis_Fur_PdhR	tam//
ArcA_CRP_FNR_Fis_IHF_NarL	pgaC//
ArcA_CRP_FNR_Fur	pgk//rrlB//sucC//hyfH//
ArcA_CRP_FNR_Fur_IHF	yjiY//ydeP//rrlA//narJ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	pncB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	puuC//
ArcA_CRP_FNR_IHF_NarL	hcp//
ArcA_CRP_FNR_NarL	dcuB//
ArcA_CRP_FadR	gadX//rseC//
ArcA_CRP_FadR_HipB	fadE//
ArcA_CRP_FadR_OmpR_PhoP	entC//
ArcA_CRP_Fis_Mlc_SoxS	rrlA//
ArcA_CRP_Fis_XylR	glnG//
ArcA_CRP_Fur_GadX_MqsA	acrB//
ArcA_CRP_GatR	hyfD//gadW//aroL//tdcA//fepE//lsrD//
ArcA_CRP_GlpR	ebgA//
ArcA_CRP_IHF	cysB//
ArcA_CRP_PuuR	sulA//gadY//rbsR//rrfH//sufC//
ArcA_CRP_RhaS	ugpE//
ArcA_CRP_TreR	pqiA//gadX//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nanS//ssuD//
