#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	glnA//xylA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	gntT//yedX//glpB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rrlA//fabA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	putA//ssuC//
AcrR_FNR_Fur_SoxR	caiB//
AcrR_FNR_Fur_SoxR_SoxS	mdtC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	rrlA//
Ada_AidB_Lrp	rpoS//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	uxuR//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	folA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	srlD//ascF//sodB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	xylH//napD//
AdiY_H-NS_IHF	rpsI//
AgaR_CRP	ilvL//fdnI//galP//frdA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	nhaR//rrsH//rplM//atoB//yjbF//lamB//
AppY_ArcA_YdeO	hupA//rrlG//glnH//feoB//
AraC_CRP	fliA//soxS//hycF//rcsA//degP//yhiM//fis//fliK//rpsS//
AraC_CRP_XylR	ydhU//chbB//nrfF//
AraC_NagC	purN//agaW//
ArcA_BetI_Cra	nuoC//hdeB//hyaD//eda//
ArcA_CRP_CaiF_FNR_H-NS	sgbE//nuoE//csgE//mdtA//rrlE//lrp//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hmp//napB//sucA//gspH//alaU//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	narI//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fau//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rtcB//dppC//
ArcA_CRP_Cra_Fis	rbsR//
ArcA_CRP_Cra_IHF_IclR	hyfD//ldtB//paaJ//
ArcA_CRP_DcuR	ubiC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	ftsA//icd//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	malE//
ArcA_CRP_DnaA_FNR	atoE//
ArcA_CRP_DpiA_FNR_NarL	pspD//ileU//yciE//cysJ//mhpE//rrlC//
ArcA_CRP_DpiA_FlhDC	ybdZ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ilvL//rrlA//
ArcA_CRP_FNR	gadW//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ygiA//hypA//ydhX//
ArcA_CRP_FNR_Fis_Fur_PdhR	caiC//
ArcA_CRP_FNR_Fis_IHF_NarL	csgE//
ArcA_CRP_FNR_Fur	prpB//gspO//ilvA//gatB//
ArcA_CRP_FNR_Fur_IHF	yhcH//narX//fimB//rrsD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	uidA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	pspD//
ArcA_CRP_FNR_IHF_NarL	cysU//
ArcA_CRP_FNR_NarL	malE//
ArcA_CRP_FadR	citD//ldtB//
ArcA_CRP_FadR_HipB	galE//
ArcA_CRP_FadR_OmpR_PhoP	ilvL//
ArcA_CRP_Fis_Mlc_SoxS	nemA//
ArcA_CRP_Fis_XylR	yecR//
ArcA_CRP_Fur_GadX_MqsA	gadW//
ArcA_CRP_GatR	casD//gltT//rutF//glpD//idnD//pgaB//
ArcA_CRP_GlpR	mhpD//
ArcA_CRP_IHF	prpE//
ArcA_CRP_PuuR	ilvG_1//lsrA//dmsC//gapA//hcr//
ArcA_CRP_RhaS	sgrT//
ArcA_CRP_TreR	cysG//tcyJ//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nagE//pncB//
ArcA_Cra	nagC//
ArcA_Cra_FNR_H-NS_HypT	crp//codB//
ArcA_CysB_FNR	rtcA//
