#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nagC//manZ//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	nuoK//baeR//rutB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	pspG//nemA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nanT//truB//
AcrR_FNR_Fur_SoxR	grcA//
AcrR_FNR_Fur_SoxR_SoxS	paaK//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	metR//
Ada_AidB_Lrp	garL//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ynfE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	deoA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	fimB//gadY//murQ//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	uvrA//lpxC//
AdiY_H-NS_IHF	katE//
AgaR_CRP	hyfB//caiD//pqiA//tauA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	cadA//fadH//mdtB//cusC//ydhT//atoD//
AppY_ArcA_YdeO	gspJ//nanE//ssuE//gatB//
AraC_CRP	garL//fadJ//gutQ//sucC//rhaR//ptsG//gabD//srlE//hyfG//
AraC_CRP_XylR	mdtE//betA//folA//
AraC_NagC	csiD//sufA//
ArcA_BetI_Cra	prmC//ydhT//carB//exuR//
ArcA_CRP_CaiF_FNR_H-NS	acrF//deoD//srlE//yqjH//gnd//appC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fadJ//bolA//recF//cysW//ileT//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hyaF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	entC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	tam//proV//
ArcA_CRP_Cra_Fis	malS//
ArcA_CRP_Cra_IHF_IclR	fixA//fdnH//sucB//
ArcA_CRP_DcuR	oppC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	actP//yjbF//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ssuD//
ArcA_CRP_DnaA_FNR	cspI//
ArcA_CRP_DpiA_FNR_NarL	araJ//glpX//chbG//mdtC//uxaC//tauD//
ArcA_CRP_DpiA_FlhDC	hypD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	yafQ//betI//
ArcA_CRP_FNR	yhiM//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yjbF//caiT//narX//
ArcA_CRP_FNR_Fis_Fur_PdhR	accB//
ArcA_CRP_FNR_Fis_IHF_NarL	pyrC//
ArcA_CRP_FNR_Fur	ynfE//hybA//ydhV//astC//
ArcA_CRP_FNR_Fur_IHF	rpsQ//cysJ//fau//purR//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hyfF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ydeP//
