#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nemR//nuoJ//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ftsI//gltU//entA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ycdZ//lldP//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nuoC//citG//
AcrR_FNR_Fur_SoxR	fliF//
AcrR_FNR_Fur_SoxR_SoxS	ahpF//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	yeiL//
Ada_AidB_Lrp	gltU//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hlyE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	murF//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	fimF//ccmC//cyoC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	phoU//hycF//
AdiY_H-NS_IHF	osmC//
AgaR_CRP	yoeB//casA//cytR//cusS//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	fliE//hha//glcD//ynfF//emrY//hypF//
AppY_ArcA_YdeO	feoA//narI//gabD//tdcD//
AraC_CRP	nuoH//molR_1//higB//paaK//epd//caiE//hypF//rtcB//yciE//
AraC_CRP_XylR	ulaD//mazG//tomB//
AraC_NagC	prpD//xylR//
ArcA_BetI_Cra	sufA//tsx//nrdH//fimF//
ArcA_CRP_CaiF_FNR_H-NS	glyA//prpB//nfsB//hycF//yhiM//sgrS//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	cas1//acrZ//rbsB//lsrR//yjcH//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	bhsA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nrfB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ftsI//hybG//
ArcA_CRP_Cra_Fis	guaA//
ArcA_CRP_Cra_IHF_IclR	nrfF//rrfD//fadD//
ArcA_CRP_DcuR	hlyE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	melR//moaA//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mdtF//
ArcA_CRP_DnaA_FNR	emrK//
ArcA_CRP_DpiA_FNR_NarL	gspG//setA//cyoA//gatC//caiC//ynfG//
ArcA_CRP_DpiA_FlhDC	entB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	prpR//ydhT//
ArcA_CRP_FNR	nrfE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ftsQ//dmsB//fecD//
ArcA_CRP_FNR_Fis_Fur_PdhR	atoA//
ArcA_CRP_FNR_Fis_IHF_NarL	hycD//
ArcA_CRP_FNR_Fur	mdtE//malQ//fumA//tdcB//
ArcA_CRP_FNR_Fur_IHF	ccmF//yjiY//edd//fadH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fadE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rob//
ArcA_CRP_FNR_IHF_NarL	rutG//
ArcA_CRP_FNR_NarL	zraS//
ArcA_CRP_FadR	gatA//aceB//
ArcA_CRP_FadR_HipB	cysJ//
ArcA_CRP_FadR_OmpR_PhoP	murF//
ArcA_CRP_Fis_Mlc_SoxS	osmC//
ArcA_CRP_Fis_XylR	rcsA//
ArcA_CRP_Fur_GadX_MqsA	srlB//
ArcA_CRP_GatR	fabA//moaC//puuB//cysG//mdtD//pstC//
ArcA_CRP_GlpR	ilvX//
ArcA_CRP_IHF	entD//
ArcA_CRP_PuuR	creD//ccmF//ugpA//ahpC//fadH//
ArcA_CRP_RhaS	ilvE//
ArcA_CRP_TreR	fdnG//lysA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	lldR//actP//
ArcA_Cra	nagB//
ArcA_Cra_FNR_H-NS_HypT	norV//pqiA//
ArcA_CysB_FNR	ydhX//
ArcA_FNR	tnaC//srlE//ddlB//fpr//ynfE//rrlA//aceB//uidA//ccmG//rrfE//ilvG_2//malX//deoA//cas1//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	prfA//
ArcA_FNR_Fis_IHF_NarL	lsrF//caiB//cydC//hyaB//fimG//nrfA//ilvA//carB//srlA//metI//yjbG//lamB//malP//
ArcA_FNR_Fur_IHF	epd//
ArcA_FNR_IHF	nuoH//chiP//puuD//
ArcA_FNR_IHF_NarL	nrdA//trg//
ArcA_FNR_NarL	putA//yqjH//ompF//rpsJ//
ArcA_FNR_PhoP	lsrR//
ArcA_FNR_PuuR	ftsI//rutB//
ArcA_FadR	acrZ//uxaC//rpoS//
ArcA_FadR_Fis	yiaN//norR//
ArcA_Fur_Lrp_ModE	pstB//garP//mpl//baeS//atoD//
ArcA_GlcC_IHF_PdhR	pstC//rseB//garR//hisP//caiA//gatY//
ArcA_LexA	ugpC//ompR//
ArcA_LldR	hycF//prpD//ynfG//
ArcA_NarL	appB//hycH//napC//rprA//gntT//hisM//fucA//glpK//
ArcA_NtrC_PhoP_RutR	ftnA//rplT//ascB//ubiA//garR//nikC//rpoS//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ulaD//murG//ugpB//
ArgP_CRP_FNR_Fur_Nac	rhaT//
