#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hemA//fliK//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	aslB//yjbF//pgk//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	lacA//atoE//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	appY//katE//
AcrR_FNR_Fur_SoxR	poxB//
AcrR_FNR_Fur_SoxR_SoxS	ileT//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	nuoK//
Ada_AidB_Lrp	hybG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	exuR//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	lldD//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ccmA//caiA//dgcZ//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	dnaN//mdtE//
AdiY_H-NS_IHF	astC//
AgaR_CRP	fdhF//uidB//ydhW//ybjN//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	astA//garP//ompW//sroD//mhpD//nrfF//
AppY_ArcA_YdeO	ydeO//gcvP//gadC//qseB//
AraC_CRP	aceB//purR//ilvA//torA//treC//uxuR//prfA//rob//mntP//
AraC_CRP_XylR	moaA//lhgO//rsmH//
AraC_NagC	uxaA//paaC//
ArcA_BetI_Cra	nrdF//rrsB//fumB//cysH//
ArcA_CRP_CaiF_FNR_H-NS	srlE//araJ//sgrT//fixC//murG//rimP//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	agaV//tauB//ydeO//betA//rrlG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	yciF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	relA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	paaH//betT//
ArcA_CRP_Cra_Fis	chbA//
ArcA_CRP_Cra_IHF_IclR	narH//tyrP//qseC//
ArcA_CRP_DcuR	cysM//
ArcA_CRP_DcuR_DpiA_FNR_NarL	chbF//lgoR//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nuoG//
ArcA_CRP_DnaA_FNR	melR//
ArcA_CRP_DpiA_FNR_NarL	yiaO//uidB//exuT//micF//gabP//nfo//
ArcA_CRP_DpiA_FlhDC	carA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	pgaB//glcG//
ArcA_CRP_FNR	fabZ//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	proW//tsx//dpiA//
ArcA_CRP_FNR_Fis_Fur_PdhR	nanA//
ArcA_CRP_FNR_Fis_IHF_NarL	lpxD//
ArcA_CRP_FNR_Fur	gltW//ascB//fliE//ulaF//
ArcA_CRP_FNR_Fur_IHF	nagA//entA//cas2//malP//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tdcD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	dppB//
ArcA_CRP_FNR_IHF_NarL	fau//
ArcA_CRP_FNR_NarL	yiaL//
ArcA_CRP_FadR	dsdA//hybD//
ArcA_CRP_FadR_HipB	glpK//
ArcA_CRP_FadR_OmpR_PhoP	iraM//
ArcA_CRP_Fis_Mlc_SoxS	serA//
ArcA_CRP_Fis_XylR	astB//
ArcA_CRP_Fur_GadX_MqsA	soxS//
ArcA_CRP_GatR	araE//malF//acrD//rprA//nikC//aceE//
ArcA_CRP_GlpR	emrK//
ArcA_CRP_IHF	dnaN//
ArcA_CRP_PuuR	cas1//ssrS//cas1//feoB//sgrT//
ArcA_CRP_RhaS	nuoI//
ArcA_CRP_TreR	chbC//hybG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	slp//truB//
ArcA_Cra	mdtE//
ArcA_Cra_FNR_H-NS_HypT	hemA//cyaR//
ArcA_CysB_FNR	atoE//
