#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rseA//paaF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	hpt//mhpC//nikB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rhaA//nuoG//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rrfH//malQ//
AcrR_FNR_Fur_SoxR	fimH//
AcrR_FNR_Fur_SoxR_SoxS	exuT//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	gatY//
Ada_AidB_Lrp	ccmF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	paaE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	yedX//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	glpC//katG//hycC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nrfB//zraR//
AdiY_H-NS_IHF	entA//
AgaR_CRP	accB//fixX//qseC//cas2//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	fdnH//dinI//aidB//yedX//hpt//srlE//
AppY_ArcA_YdeO	csgF//gabT//malM//degP//
AraC_CRP	fixB//nikA//gspM//rplM//glgC//tam//rplD//citG//napG//
AraC_CRP_XylR	mntP//rrsE//pstA//
AraC_NagC	appB//aroL//
ArcA_BetI_Cra	idnD//pdhR//metR//gyrA//
ArcA_CRP_CaiF_FNR_H-NS	ulaF//micF//nemA//ftsZ//relB//codA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	araE//hyfA//tdcA//ybiT//gabD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	garL//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gabD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	nagC//srlB//
ArcA_CRP_Cra_Fis	lrp//
ArcA_CRP_Cra_IHF_IclR	phoQ//dmsD//tcyJ//
ArcA_CRP_DcuR	qseC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	xylB//glpD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gnd//
ArcA_CRP_DnaA_FNR	ompC//
ArcA_CRP_DpiA_FNR_NarL	aroL//katE//rhaD//gatY//uxuR//hycC//
ArcA_CRP_DpiA_FlhDC	rsmH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	fliK//rrlH//
ArcA_CRP_FNR	modC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	csgD//uvrA//ilvA//
ArcA_CRP_FNR_Fis_Fur_PdhR	dcuB//
ArcA_CRP_FNR_Fis_IHF_NarL	cas2//
ArcA_CRP_FNR_Fur	yciF//hycB//glnH//ccmB//
ArcA_CRP_FNR_Fur_IHF	cyoC//rutD//ygiB//metR//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	acrF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	galP//
ArcA_CRP_FNR_IHF_NarL	fixB//
ArcA_CRP_FNR_NarL	hycH//
ArcA_CRP_FadR	cadA//pgaB//
ArcA_CRP_FadR_HipB	hyfC//
ArcA_CRP_FadR_OmpR_PhoP	uxuB//
ArcA_CRP_Fis_Mlc_SoxS	prfA//
ArcA_CRP_Fis_XylR	bglB//
ArcA_CRP_Fur_GadX_MqsA	putA//
ArcA_CRP_GatR	sdhB//hcp//nrdH//fadL//gcvP//nrdD//
ArcA_CRP_GlpR	yiaO//
ArcA_CRP_IHF	narK//
ArcA_CRP_PuuR	ydeN//rutF//acnA//rutG//lsrR//
ArcA_CRP_RhaS	hypA//
ArcA_CRP_TreR	carB//yhiM//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	osmY//cbl//
ArcA_Cra	feoA//
ArcA_Cra_FNR_H-NS_HypT	fecC//rbsD//
ArcA_CysB_FNR	nuoF//
ArcA_FNR	malS//ompF//pnp//fhlA//fnr//asr//fadL//gspD//ilvL//baeR//molR_1//fadD//cadB//prmC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cysM//
ArcA_FNR_Fis_IHF_NarL	metY//osmY//paaC//prpR//paaZ//chbG//ppiA//hycE//nanA//gatA//nmpC//cyoE//paaC//
ArcA_FNR_Fur_IHF	yiaM//
ArcA_FNR_IHF	ccmH//acrD//mntP//
ArcA_FNR_IHF_NarL	mdtA//nrfD//
ArcA_FNR_NarL	mazE//gdhA//cusS//bamE//
ArcA_FNR_PhoP	fliA//
ArcA_FNR_PuuR	dusB//acrZ//
ArcA_FadR	rpsO//cysA//pspA//
ArcA_FadR_Fis	lpxD//hydN//
ArcA_Fur_Lrp_ModE	pqiA//sodB//citE//rtcB//srlE//
ArcA_GlcC_IHF_PdhR	agaA//dinI//rrsC//appA//fepA//tdcE//
ArcA_LexA	rbsD//uxaB//
ArcA_LldR	chbR//ddlB//udp//
ArcA_NarL	hypE//ileV//zraS//astE//hupA//pstS//aroM//xylH//
ArcA_NtrC_PhoP_RutR	garK//cyoC//caiD//fnr//appA//prpC//narX//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	deoD//atoB//srlB//
ArgP_CRP_FNR_Fur_Nac	evgA//
ArgP_DnaA	ilvM//frdB//fliE//
ArgP_Lrp	rutE//agaW//
ArgP_LysR	emrK//
ArgP_PhoB	mdtC//
ArgR_CRP	fucU//
ArgR_CRP_Fis	dsdA//hybB//aceB//ugpQ//rplP//oxyR//hybC//nanS//
ArgR_Fis_IHF_PepA_PurR_RutR	metI//ilvA//
ArgR_H-NS_NtrC	araC//yiaM//ppiA//poxB//
ArgR_NtrC	hyfR//ptsI//proX//dinI//epd//
ArgR_PhoP	recF//
AscG_CRP	appA//tdcD//glyA//
AscG_CRP_PhoB_PrpR	ydhY//
AsnC_MraZ_Nac	fixX//
AsnC_Nac	fdhF//ldtB//
AtoC_IHF	rpsI//tnaC//appC//galT//
BaeR_CpxR	gyrA//hyaD//rbsA//idnD//lpxD//rpsC//manZ//
BaeR_CpxR_EvgA	rhaD//
