#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rhaS//serA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ygiC//galK//aroA//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	napB//fixB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hdeA//ulaG//
AcrR_FNR_Fur_SoxR	fpr//
AcrR_FNR_Fur_SoxR_SoxS	glpA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	glpD//
Ada_AidB_Lrp	bglJ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	lsrD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	fucI//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	narJ//ompR//acnB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sodB//ubiC//
AdiY_H-NS_IHF	gltB//
AgaR_CRP	cusA//aspC//citX//atoB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	rpsO//moaA//nirC//acnB//lacZ//atoD//
AppY_ArcA_YdeO	osmE//dadX//nuoN//lpxD//
AraC_CRP	gntX//tcyJ//fumC//cydD//ulaD//glpK//nrfD//ulaC//pgaB//
AraC_CRP_XylR	murD//pncB//galS//
AraC_NagC	puuE//putP//
ArcA_BetI_Cra	lsrB//bglF//rhaA//yeaR//
ArcA_CRP_CaiF_FNR_H-NS	galS//paaB//baeS//nmpC//citC//ihfA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	putP//sdhD//rrsB//cusC//gloA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rplD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	rutC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lysA//glcB//
ArcA_CRP_Cra_Fis	ssuB//
ArcA_CRP_Cra_IHF_IclR	yafQ//ssuC//argO//
ArcA_CRP_DcuR	ugpC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	uhpT//srlD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	edd//
ArcA_CRP_DnaA_FNR	nuoM//
ArcA_CRP_DpiA_FNR_NarL	fabA//hypE//lsrG//gcvH//nfsB//lsrB//
ArcA_CRP_DpiA_FlhDC	yciF//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hcr//bamE//
ArcA_CRP_FNR	fliG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	murP//hypA//csgB//
ArcA_CRP_FNR_Fis_Fur_PdhR	fixX//
ArcA_CRP_FNR_Fis_IHF_NarL	murE//
ArcA_CRP_FNR_Fur	glgC//paaC//moeA//galS//
ArcA_CRP_FNR_Fur_IHF	napF//hokD//gspM//gltT//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	murP//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gntX//
ArcA_CRP_FNR_IHF_NarL	flhC//
ArcA_CRP_FNR_NarL	dpiB//
ArcA_CRP_FadR	chbF//galP//
ArcA_CRP_FadR_HipB	hypC//
ArcA_CRP_FadR_OmpR_PhoP	argG//
ArcA_CRP_Fis_Mlc_SoxS	ubiC//
ArcA_CRP_Fis_XylR	fdnG//
ArcA_CRP_Fur_GadX_MqsA	ftnA//
ArcA_CRP_GatR	ldtB//rsmH//rbsB//fixX//araA//fucP//
ArcA_CRP_GlpR	frdA//
ArcA_CRP_IHF	lsrB//
ArcA_CRP_PuuR	cirA//fimC//gltV//mhpC//fimF//
ArcA_CRP_RhaS	nuoF//
ArcA_CRP_TreR	ilvM//hokD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	glcA//aceF//
ArcA_Cra	uxuA//
ArcA_Cra_FNR_H-NS_HypT	cusS//rbfA//
ArcA_CysB_FNR	dnaA//
ArcA_FNR	murP//gapA//rseB//ahpC//katE//fimF//dcuC//dppB//paaH//entB//ilvL//nikR//sucA//ydeO//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rpmC//
ArcA_FNR_Fis_IHF_NarL	uidC//ilvH//moeB//emrY//hipB//gntX//hdeD//zraR//entF//metY//mglA//ybiT//pck//
ArcA_FNR_Fur_IHF	ulaB//
ArcA_FNR_IHF	aroG//cspA//mazE//
ArcA_FNR_IHF_NarL	rseB//narK//
ArcA_FNR_NarL	fnr//fhlA//melB//dppF//
ArcA_FNR_PhoP	rbsB//
ArcA_FNR_PuuR	nrdI//sdhD//
ArcA_FadR	dmsA//rrfG//agaV//
ArcA_FadR_Fis	nagB//gntX//
ArcA_Fur_Lrp_ModE	proX//gabD//rutC//mdh//glpD//
ArcA_GlcC_IHF_PdhR	ahpF//codB//ynfE//puuB//yedX//nikR//
ArcA_LexA	hyfF//glgP//
ArcA_LldR	glnG//hisM//metE//
ArcA_NarL	ahpC//hdeB//relE//nrfD//epd//hha//pgaD//fecE//
ArcA_NtrC_PhoP_RutR	glcA//adhE//tcyJ//nhaR//frdD//nuoB//ebgA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nagE//mtlD//fucI//
ArgP_CRP_FNR_Fur_Nac	sgbU//
ArgP_DnaA	sufD//malG//skp//
ArgP_Lrp	rrsG//hyfH//
ArgP_LysR	melR//
ArgP_PhoB	ccmH//
ArgR_CRP	dcuC//
ArgR_CRP_Fis	modC//citE//rsmH//nanT//inaA//galS//torC//ccmH//
ArgR_Fis_IHF_PepA_PurR_RutR	hha//marA//
ArgR_H-NS_NtrC	hybE//uxuA//ydhV//napB//
ArgR_NtrC	pyrD//fnr//gspM//napD//ydeP//
ArgR_PhoP	icd//
AscG_CRP	purN//cusC//yiaK//
AscG_CRP_PhoB_PrpR	galK//
AsnC_MraZ_Nac	slp//
AsnC_Nac	mtlR//pyrD//
AtoC_IHF	uof//proW//ybdZ//lsrD//
BaeR_CpxR	pdeL//mglC//oppD//ynfG//aidB//ompR//mhpD//
BaeR_CpxR_EvgA	dppC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ftsL//fucP//icd//ydhX//
BasR_CpxR_PdhR	cysU//purN//
BasR_Fis	poxB//
BasR_H-NS_IHF_NagC_NanR	pdeR//
BasR_MarA_PutA	mazG//
BasR_PhoP	modC//
BasR_QseB	yjbG//ycdZ//
CRP_CaiF_FNR	atoD//fabA//gdhA//iclR//
CRP_ChbR_NagC	mntP//rplM//paaH//gltW//pnp//rplB//
CRP_ComR	yiaN//
CRP_CpxR	sucB//
