#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	dcuR//codA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	csgE//napH//nanS//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ynfE//hokD//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glcG//citG//
AcrR_FNR_Fur_SoxR	cysP//
AcrR_FNR_Fur_SoxR_SoxS	higB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	rseA//
Ada_AidB_Lrp	ulaC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	uhpT//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	cydB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ulaF//fliZ//sufC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	acnB//oppF//
AdiY_H-NS_IHF	rplV//
AgaR_CRP	dmsC//xylF//rhaT//nuoK//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	uspA//ulaC//recF//mraY//malX//ydhV//
AppY_ArcA_YdeO	glcG//pstS//moaA//nirD//
AraC_CRP	uidA//ccmE//galS//araC//ydeN//acs//cysI//hycD//deoA//
AraC_CRP_XylR	fis//xylG//poxB//
AraC_NagC	ydhY//galK//
ArcA_BetI_Cra	flgN//fabB//ulaB//ascF//
ArcA_CRP_CaiF_FNR_H-NS	atoA//nanA//idnK//ubiC//marB//nrdE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	feaB//amtB//hycH//ynfK//aroP//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ccmF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	napH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rutF//casC//
ArcA_CRP_Cra_Fis	osmY//
ArcA_CRP_Cra_IHF_IclR	moeB//ulaA//cysB//
ArcA_CRP_DcuR	ybiT//
ArcA_CRP_DcuR_DpiA_FNR_NarL	sodB//ssrS//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lsrA//
ArcA_CRP_DnaA_FNR	emrY//
ArcA_CRP_DpiA_FNR_NarL	oppD//frdA//cdd//cusA//gatZ//rnpB//
ArcA_CRP_DpiA_FlhDC	fes//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	pyrD//hisQ//
ArcA_CRP_FNR	marA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mtlA//csrC//yhiM//
ArcA_CRP_FNR_Fis_Fur_PdhR	pgaA//
ArcA_CRP_FNR_Fis_IHF_NarL	zinT//
ArcA_CRP_FNR_Fur	astB//nfo//fliG//gltV//
ArcA_CRP_FNR_Fur_IHF	fis//rutC//dsdX//ynfH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fixA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	yjbF//
ArcA_CRP_FNR_IHF_NarL	treB//
ArcA_CRP_FNR_NarL	gatY//
ArcA_CRP_FadR	dmsB//cbl//
ArcA_CRP_FadR_HipB	aspA//
ArcA_CRP_FadR_OmpR_PhoP	csiD//
ArcA_CRP_Fis_Mlc_SoxS	yjcH//
ArcA_CRP_Fis_XylR	ydhV//
ArcA_CRP_Fur_GadX_MqsA	hmp//
ArcA_CRP_GatR	yiaM//pgaB//gadC//gadX//hycF//proX//
ArcA_CRP_GlpR	hyfI//
ArcA_CRP_IHF	fecA//
ArcA_CRP_PuuR	nuoJ//nrfG//dsdA//ynfE//ilvL//
ArcA_CRP_RhaS	dadA//
ArcA_CRP_TreR	mglC//slp//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nupC//cspD//
ArcA_Cra	dnaA//
ArcA_Cra_FNR_H-NS_HypT	uxuA//argO//
ArcA_CysB_FNR	fecB//
