#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	frdC//leuO//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	napH//lsrR//mtr//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	nrfF//nanM//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rhaD//ygiA//
AcrR_FNR_Fur_SoxR	astE//
AcrR_FNR_Fur_SoxR_SoxS	hyaE//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	manY//
Ada_AidB_Lrp	atoB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ybjN//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	yciG//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	nrdH//oppB//argD//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fdnH//ssuB//
AdiY_H-NS_IHF	mraZ//
AgaR_CRP	xylA//putA//srlA//citD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	cysA//narL//bglG//metR//tnaC//pspD//
AppY_ArcA_YdeO	sgbH//nirB//mraZ//betB//
AraC_CRP	cysU//fpr//ydhX//glpB//cadB//lyxK//prpC//pyrD//ugpE//
AraC_CRP_XylR	dppF//astC//chbB//
AraC_NagC	cyoC//hycH//
ArcA_BetI_Cra	fimD//ilvM//rrlD//rrlD//
ArcA_CRP_CaiF_FNR_H-NS	gspL//aceA//epd//hyaF//mntH//ascB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gltD//slp//rpoE//rrlC//yqjI//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	sufC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nagC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	sdhD//gabT//
ArcA_CRP_Cra_Fis	acnA//
ArcA_CRP_Cra_IHF_IclR	nrdI//hyaD//metL//
ArcA_CRP_DcuR	marA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	yjbF//sgbH//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	dusB//
ArcA_CRP_DnaA_FNR	entF//
ArcA_CRP_DpiA_FNR_NarL	fecE//araD//nusA//yoaG//purA//nrfD//
ArcA_CRP_DpiA_FlhDC	nmpC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	cysU//caiT//
ArcA_CRP_FNR	purM//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	evgS//gspJ//ybfN//
ArcA_CRP_FNR_Fis_Fur_PdhR	nanS//
ArcA_CRP_FNR_Fis_IHF_NarL	baeS//
ArcA_CRP_FNR_Fur	ssuE//bglG//narK//carA//
ArcA_CRP_FNR_Fur_IHF	creD//bamE//cas1//nrdI//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	malS//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lacA//
ArcA_CRP_FNR_IHF_NarL	hybE//
ArcA_CRP_FNR_NarL	sufC//
ArcA_CRP_FadR	ydhY//mioC//
ArcA_CRP_FadR_HipB	ssrS//
ArcA_CRP_FadR_OmpR_PhoP	nuoH//
ArcA_CRP_Fis_Mlc_SoxS	adiA//
ArcA_CRP_Fis_XylR	mhpE//
ArcA_CRP_Fur_GadX_MqsA	betB//
ArcA_CRP_GatR	gspH//serC//psiE//nirB//pyrC//moeA//
ArcA_CRP_GlpR	rrfH//
ArcA_CRP_IHF	napG//
ArcA_CRP_PuuR	mhpA//marR//rimK//lsrG//ptsI//
ArcA_CRP_RhaS	csiE//
ArcA_CRP_TreR	paaK//rrsG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	dsdC//gcvT//
ArcA_Cra	mglB//
ArcA_Cra_FNR_H-NS_HypT	paaZ//asr//
ArcA_CysB_FNR	yoaG//
ArcA_FNR	phoQ//dppC//casC//lsrB//hyaE//tam//flhC//flhD//gntK//tauC//yjiY//hemA//ssuD//yjcH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hemA//
ArcA_FNR_Fis_IHF_NarL	ccmB//ilvG_2//pyrC//fixX//hybB//dppC//araA//tdcC//rutC//lrp//moeB//ileT//rcnA//
ArcA_FNR_Fur_IHF	betB//
ArcA_FNR_IHF	ynfH//moaE//fliE//
ArcA_FNR_IHF_NarL	lpxA//deoD//
ArcA_FNR_NarL	fliC//ascF//mhpC//yoaG//
ArcA_FNR_PhoP	bhsA//
ArcA_FNR_PuuR	glpF//fbaA//
ArcA_FadR	mazF//icd//spy//
ArcA_FadR_Fis	malM//mdtE//
ArcA_Fur_Lrp_ModE	recF//fis//pgaD//srlE//ompF//
ArcA_GlcC_IHF_PdhR	fhlA//csgA//aceB//leuO//mdtC//fepA//
ArcA_LexA	gltV//tnaB//
ArcA_LldR	acrB//yjjQ//rbsB//
ArcA_NarL	sucB//hyfG//purH//fimE//betA//codA//cusB//rtcB//
ArcA_NtrC_PhoP_RutR	sgrT//nusA//idnO//ilvD//uof//gyrA//patA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rplB//fliC//torA//
ArgP_CRP_FNR_Fur_Nac	ulaE//
ArgP_DnaA	hyaF//gltD//mdh//
ArgP_Lrp	fumA//rpsJ//
ArgP_LysR	prmC//
ArgP_PhoB	araD//
ArgR_CRP	evgS//
ArgR_CRP_Fis	metI//gcvH//sucD//malG//fecE//moeB//nmpC//fliK//
ArgR_Fis_IHF_PepA_PurR_RutR	dadA//slp//
ArgR_H-NS_NtrC	metB//dmsB//tnaC//ygiA//
ArgR_NtrC	fimI//gntU//gspO//uxuB//galK//
ArgR_PhoP	rplM//
AscG_CRP	truB//chbR//carA//
AscG_CRP_PhoB_PrpR	glgC//
AsnC_MraZ_Nac	chiP//
AsnC_Nac	gspK//nuoK//
AtoC_IHF	cusR//rtcA//sufD//evgA//
BaeR_CpxR	nanC//flgM//hybD//guaB//gspJ//ebgA//nfo//
BaeR_CpxR_EvgA	fepE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	casC//dmsA//purD//garL//
BasR_CpxR_PdhR	ahpC//mtlD//
BasR_Fis	puuA//
BasR_H-NS_IHF_NagC_NanR	pgaC//
BasR_MarA_PutA	zraR//
BasR_PhoP	tyrR//
BasR_QseB	nrdB//yeiL//
CRP_CaiF_FNR	fliF//tauD//pstB//astD//
CRP_ChbR_NagC	dcuC//crr//cadA//murF//paaG//gadF//
CRP_ComR	csiE//
CRP_CpxR	lpd//
CRP_CpxR_CytR	mhpC//
CRP_CpxR_CytR_DnaA_IHF	fimD//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	accB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	fimI//cydD//sulA//glnL//
CRP_Cra	codB//nagB//pnp//rprA//sdhC//ccmD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	chbR//dcuC//mdtE//waaY//
CRP_Cra_FNR_PdhR	tdcG//
CRP_Cra_Fis	rhaA//
CRP_Cra_Fis_GlcC	ftsA//
CRP_Cra_Fis_MtlR	uhpT//paaC//gadB//
