#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	sgrS//yrbL//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rpsS//zraS//napF//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ascF//nrfF//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	argG//malQ//
AcrR_FNR_Fur_SoxR	codA//
AcrR_FNR_Fur_SoxR_SoxS	tdcF//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	dinI//
Ada_AidB_Lrp	araG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	prpB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	agaV//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	yeaR//rseC//xylG//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rplW//ahpC//
AdiY_H-NS_IHF	deoB//
AgaR_CRP	hisM//rseA//xylF//baeR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	nuoA//cusF//mhpE//fur//rhaA//murP//
AppY_ArcA_YdeO	purM//mnmG//glnA//yjiY//
AraC_CRP	csgC//puuB//mpl//hyfI//hemL//ydhU//metH//umpH//rbsC//
AraC_CRP_XylR	nrdA//metE//xylB//
AraC_NagC	chbG//fliK//
ArcA_BetI_Cra	flhD//feoC//nuoA//rrlB//
ArcA_CRP_CaiF_FNR_H-NS	yaiA//moeA//tdcA//tsx//atoD//baeS//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	sucB//gspK//hipB//rprA//fiu//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	csgB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	sdhD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gadX//betB//
ArcA_CRP_Cra_Fis	ssuD//
ArcA_CRP_Cra_IHF_IclR	napF//cyoD//atoB//
ArcA_CRP_DcuR	uspA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	fecE//dppC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	bglG//
ArcA_CRP_DnaA_FNR	araC//
ArcA_CRP_DpiA_FNR_NarL	hupB//cysA//fadD//bhsA//hemL//gadX//
ArcA_CRP_DpiA_FlhDC	casD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	nmpC//sulA//
ArcA_CRP_FNR	ccmC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rprA//ygiC//fliZ//
ArcA_CRP_FNR_Fis_Fur_PdhR	trg//
ArcA_CRP_FNR_Fis_IHF_NarL	nagB//
ArcA_CRP_FNR_Fur	hyfI//tomB//glpA//purR//
ArcA_CRP_FNR_Fur_IHF	galP//glnL//mraZ//glgC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	cysG//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	emrK//
ArcA_CRP_FNR_IHF_NarL	tam//
ArcA_CRP_FNR_NarL	hcr//
ArcA_CRP_FadR	sdhC//edd//
ArcA_CRP_FadR_HipB	lpd//
ArcA_CRP_FadR_OmpR_PhoP	pdhR//
ArcA_CRP_Fis_Mlc_SoxS	hcp//
ArcA_CRP_Fis_XylR	fau//
ArcA_CRP_Fur_GadX_MqsA	marR//
ArcA_CRP_GatR	mhpB//iraM//ppiA//nirB//rhaD//ascB//
ArcA_CRP_GlpR	yiaK//
ArcA_CRP_IHF	truB//
ArcA_CRP_PuuR	ilvL//fadL//prfA//dmsB//astE//
ArcA_CRP_RhaS	glpD//
ArcA_CRP_TreR	appY//moaD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nfsB//yjiY//
ArcA_Cra	rsmH//
ArcA_Cra_FNR_H-NS_HypT	betB//glnQ//
ArcA_CysB_FNR	bamE//
ArcA_FNR	sodB//paaK//gltV//fixB//malI//gapA//rprA//uxaA//ulaC//caiE//deoB//mhpA//caiF//cyoD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	betI//
ArcA_FNR_Fis_IHF_NarL	uxuB//dcuB//nrdF//murD//fliE//nupG//grcA//appB//ftsL//rtcB//mazF//puuD//pqiA//
ArcA_FNR_Fur_IHF	fimE//
ArcA_FNR_IHF	ytfE//cydA//lsrR//
ArcA_FNR_IHF_NarL	nuoK//chbR//
ArcA_FNR_NarL	cadC//fucI//ynfE//bolA//
ArcA_FNR_PhoP	ydhV//
ArcA_FNR_PuuR	gutQ//moaA//
ArcA_FadR	lsrF//pstC//paaI//
ArcA_FadR_Fis	rrfG//citD//
ArcA_Fur_Lrp_ModE	ugpE//citX//cysB//dsdX//prpC//
ArcA_GlcC_IHF_PdhR	rimK//hyfF//yiaL//gadC//katE//nagC//
ArcA_LexA	rutC//psiE//
ArcA_LldR	ompC//rpoE//cbl//
ArcA_NarL	ppiA//glnA//citE//sgbH//rrsG//fabZ//cysM//dsdC//
ArcA_NtrC_PhoP_RutR	fadJ//hypE//entC//yciG//nirC//fixB//ogt//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rpoH//gutM//aceK//
ArgP_CRP_FNR_Fur_Nac	ebgC//
ArgP_DnaA	fdnH//torD//rbsA//
ArgP_Lrp	ubiA//bamE//
ArgP_LysR	lsrB//
ArgP_PhoB	relB//
ArgR_CRP	ydeN//
ArgR_CRP_Fis	ilvE//lldD//tdcF//hokD//rtcA//hydN//gatZ//paaD//
ArgR_Fis_IHF_PepA_PurR_RutR	hypE//chbR//
ArgR_H-NS_NtrC	alaT//putA//oppF//entC//
ArgR_NtrC	pgaC//mntP//mnmG//pspC//pgaB//
ArgR_PhoP	lldR//
AscG_CRP	ahpC//rcnB//evgA//
AscG_CRP_PhoB_PrpR	ybdZ//
AsnC_MraZ_Nac	hyfB//
AsnC_Nac	nrfE//araC//
AtoC_IHF	gyrA//rutG//cspI//oxyR//
BaeR_CpxR	araA//zinT//ssuE//exuR//rrsD//hypE//sgbU//
BaeR_CpxR_EvgA	fadL//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	napH//rbfA//dinI//gntU//
BasR_CpxR_PdhR	citC//lsrA//
BasR_Fis	cysP//
BasR_H-NS_IHF_NagC_NanR	betI//
BasR_MarA_PutA	acs//
BasR_PhoP	rrlE//
BasR_QseB	rbsC//pdeL//
