#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	sgbU//idnT//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	deoA//gltD//ybdN//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	tyrR//cadC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hycA//rpsQ//
AcrR_FNR_Fur_SoxR	uspA//
AcrR_FNR_Fur_SoxR_SoxS	malT//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	nuoK//
Ada_AidB_Lrp	hisP//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hycI//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	sgrT//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	guaB//glpQ//hyaD//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ileV//araE//
AdiY_H-NS_IHF	ptsG//
AgaR_CRP	gntP//hypB//srlD//nikE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	glnL//codA//sufE//ddlB//ygiB//mhpF//
AppY_ArcA_YdeO	napB//araF//chbB//dsdX//
AraC_CRP	fadI//astE//ulaA//ftsZ//accC//paaF//yciG//nrdE//cysA//
AraC_CRP_XylR	xylH//lpxA//tnaB//
AraC_NagC	umpH//mdtD//
ArcA_BetI_Cra	folA//proX//dsdC//yaiA//
ArcA_CRP_CaiF_FNR_H-NS	rrfC//spy//cydC//fadB//pspA//dcuC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	marB//ppiA//aroL//ftsW//ebgC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	xylG//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ybjN//
ArcA_CRP_Cra_FNR_NsrR_PdhR	guaA//galK//
ArcA_CRP_Cra_Fis	prpB//
ArcA_CRP_Cra_IHF_IclR	nagB//tnaB//lsrD//
ArcA_CRP_DcuR	nrdB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	caiA//ulaG//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	dppA//
ArcA_CRP_DnaA_FNR	metB//
ArcA_CRP_DpiA_FNR_NarL	hyfB//yefM//narL//ilvE//ileU//ulaG//
