#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ccmD//rrfA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	pqiB//narJ//rutE//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	araF//ilvG_1//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	lgoR//betI//
AcrR_FNR_Fur_SoxR	ackA//
AcrR_FNR_Fur_SoxR_SoxS	ulaB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	aroM//
Ada_AidB_Lrp	hyaC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	infB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	glpA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	pck//hypB//folA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	qseB//paaF//
AdiY_H-NS_IHF	ilvG_2//
AgaR_CRP	zraR//ybjN//ybjN//ssrS//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	astB//csgD//srlB//bglJ//emrK//serC//
AppY_ArcA_YdeO	mglA//ileU//acnA//dppA//
AraC_CRP	narG//narX//fixB//tdcD//ulaE//dppF//metQ//recF//appX//
AraC_CRP_XylR	cyoA//hyaF//rnpB//
AraC_NagC	cusS//oppB//
ArcA_BetI_Cra	feaR//ilvL//inaA//manY//
ArcA_CRP_CaiF_FNR_H-NS	gspH//oppA//lsrC//moaE//cydC//malK//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gatC//argD//higB//mglC//asnC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	melR//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	pgk//
ArcA_CRP_Cra_FNR_NsrR_PdhR	slp//nagC//
ArcA_CRP_Cra_Fis	galP//
ArcA_CRP_Cra_IHF_IclR	hycE//fucU//chbR//
ArcA_CRP_DcuR	ynfF//
ArcA_CRP_DcuR_DpiA_FNR_NarL	cadA//ndh//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hcr//
ArcA_CRP_DnaA_FNR	nuoH//
ArcA_CRP_DpiA_FNR_NarL	gcd//glpQ//csgC//iraM//nhaA//sucD//
ArcA_CRP_DpiA_FlhDC	sdhA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	lpd//cyaR//
ArcA_CRP_FNR	aroP//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rpsC//paaG//hupB//
ArcA_CRP_FNR_Fis_Fur_PdhR	pgaB//
ArcA_CRP_FNR_Fis_IHF_NarL	hcp//
ArcA_CRP_FNR_Fur	iraM//frdC//aslB//csgE//
ArcA_CRP_FNR_Fur_IHF	mhpA//paaD//tdcF//dsdX//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hyfC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	murP//
ArcA_CRP_FNR_IHF_NarL	ynfK//
ArcA_CRP_FNR_NarL	oxyR//
ArcA_CRP_FadR	ugpE//aroA//
ArcA_CRP_FadR_HipB	pck//
ArcA_CRP_FadR_OmpR_PhoP	narG//
ArcA_CRP_Fis_Mlc_SoxS	malQ//
ArcA_CRP_Fis_XylR	tnaA//
ArcA_CRP_Fur_GadX_MqsA	bglF//
ArcA_CRP_GatR	cspA//paaF//gspD//dppD//gcvT//gltT//
ArcA_CRP_GlpR	napD//
ArcA_CRP_IHF	cusS//
ArcA_CRP_PuuR	yiaL//dcuA//paaA//oppC//yciF//
ArcA_CRP_RhaS	adiC//
ArcA_CRP_TreR	mntP//relE//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nagE//treB//
ArcA_Cra	mtlD//
ArcA_Cra_FNR_H-NS_HypT	guaB//gloA//
ArcA_CysB_FNR	yjbH//
ArcA_FNR	dusB//gatZ//ldtB//hycA//fliA//tauD//relB//dmsD//flgM//appC//gspL//hisM//osmE//osmC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	tnaA//
ArcA_FNR_Fis_IHF_NarL	yoeB//accC//glnP//truB//galT//uxuB//rplP//rpsS//yeiL//hyfC//serA//rcnA//ccmH//
ArcA_FNR_Fur_IHF	napG//
ArcA_FNR_IHF	nikR//ftsW//tyrR//
ArcA_FNR_IHF_NarL	nrfG//hypC//
ArcA_FNR_NarL	phoU//rseA//ssuB//nuoM//
ArcA_FNR_PhoP	hycE//
ArcA_FNR_PuuR	aer//fimC//
ArcA_FadR	mntP//ssuC//lpd//
ArcA_FadR_Fis	mazG//glcG//
ArcA_Fur_Lrp_ModE	rrlD//nuoK//marB//creD//entF//
ArcA_GlcC_IHF_PdhR	proW//ydeM//ilvI//fepB//rhaB//nrfA//
ArcA_LexA	mhpE//galE//
ArcA_LldR	nrfB//gapA//ilvM//
ArcA_NarL	entA//chbC//gcvP//flhC//galK//ddlB//yhcH//ssuC//
ArcA_NtrC_PhoP_RutR	modB//uidA//yjjQ//cusR//metK//acrF//ugpB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nfo//dppC//cusS//
ArgP_CRP_FNR_Fur_Nac	moaC//
ArgP_DnaA	ulaE//ppiA//lpd//
ArgP_Lrp	galK//fadL//
ArgP_LysR	fes//
ArgP_PhoB	aer//
ArgR_CRP	micF//
ArgR_CRP_Fis	tdcC//uspA//rbsA//caiB//nanT//ilvE//poxB//dinI//
ArgR_Fis_IHF_PepA_PurR_RutR	manY//oppC//
ArgR_H-NS_NtrC	glcF//garL//fau//gltB//
ArgR_NtrC	ygbA//hycA//osmE//fadH//hdeA//
ArgR_PhoP	hydN//
AscG_CRP	sgbH//accC//dcuB//
AscG_CRP_PhoB_PrpR	dcuR//
AsnC_MraZ_Nac	moaD//
AsnC_Nac	qseB//malK//
AtoC_IHF	nanA//waaZ//purH//serC//
BaeR_CpxR	gabP//acrZ//glpF//mdtC//betB//pgk//betI//
BaeR_CpxR_EvgA	fimC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rrfC//cysB//paaB//metN//
BasR_CpxR_PdhR	gntT//serC//
BasR_Fis	oppA//
BasR_H-NS_IHF_NagC_NanR	srlD//
BasR_MarA_PutA	hha//
BasR_PhoP	gspM//
BasR_QseB	hyfA//rplC//
CRP_CaiF_FNR	fnr//dps//lsrF//appX//
CRP_ChbR_NagC	rhaD//kbaZ//ygiA//lldP//purR//hyaB//
CRP_ComR	fbaA//
CRP_CpxR	yafQ//
CRP_CpxR_CytR	yiaL//
CRP_CpxR_CytR_DnaA_IHF	nuoC//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fliZ//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	fucI//xylH//ybfN//glcG//
CRP_Cra	narX//aspC//folA//pstC//fimB//icd//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	tnaB//murQ//gspJ//rrfA//
CRP_Cra_FNR_PdhR	uxaC//
CRP_Cra_Fis	bglJ//
CRP_Cra_Fis_GlcC	yciE//
CRP_Cra_Fis_MtlR	proV//waaH//tam//
CRP_Cra_Mlc_NagC	sdhD//higA//carA//rpsQ//nfuA//ssuB//
CRP_Cra_PrpR	deoD//ileT//nfsA//udp//
CRP_CreB_Fis_MalT	guaA//gltD//fliC//
CRP_CsiR_H-NS_Lrp	gyrA//srlA//
CRP_CsiR_H-NS_Lrp_Nac	yoeB//ccmD//gspC//
CRP_CspA_Fis	citF//
CRP_CytR	sufD//ygbA//ulaB//
CRP_CytR_DeoR	tdcC//lsrA//
CRP_CytR_DeoR_Fis_ModE	hybB//gadY//appB//gspC//
CRP_CytR_Nac	betA//
CRP_CytR_NsrR	yciF//
CRP_DcuR_FNR_NarL	fadB//
CRP_DinJ-YafQ	hypB//
CRP_DnaA_Fis_PurR	paaJ//glgC//
CRP_DpiA_ExuR	moaC//
CRP_DsdC	norR//cysG//
CRP_EbgR	aspC//gadX//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ccmC//xylA//
CRP_ExuR	fadD//
CRP_ExuR_FNR	mnmG//manY//
CRP_ExuR_OxyR_UxuR	agaV//pspE//
CRP_ExuR_UxuR	dcuD//
CRP_FNR	citG//
