#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	rrsB//chbF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	cyoE//deoA//moaD//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	molR_1//alaT//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	acrA//modA//
AcrR_FNR_Fur_SoxR	ahpC//
AcrR_FNR_Fur_SoxR_SoxS	hycA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	sgrT//
Ada_AidB_Lrp	metI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	cysH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	infB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	pdeL//narG//gntU//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	torC//exuT//
AdiY_H-NS_IHF	melA//
AgaR_CRP	fucK//gspJ//melA//fabZ//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	creD//dcuD//waaZ//feoC//hycE//fadJ//
AppY_ArcA_YdeO	trg//pdeR//prpE//rseB//
AraC_CRP	gltW//ybdZ//pspA//gltB//pspB//dmsB//ugpA//csgG//pnp//
AraC_CRP_XylR	glcF//fiu//rpoH//
AraC_NagC	fliA//mglC//
ArcA_BetI_Cra	ilvA//hcp//gabD//gutQ//
ArcA_CRP_CaiF_FNR_H-NS	aspA//sroD//ccmE//dinJ//nupG//fliZ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	dgcZ//osmC//hipB//ileT//fes//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	dnaA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gcvP//
ArcA_CRP_Cra_FNR_NsrR_PdhR	slp//hydN//
ArcA_CRP_Cra_Fis	mdh//
ArcA_CRP_Cra_IHF_IclR	moaC//prpE//yiaL//
ArcA_CRP_DcuR	yaiA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	galE//fdnG//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fdnI//
ArcA_CRP_DnaA_FNR	entH//
ArcA_CRP_DpiA_FNR_NarL	gatY//puuA//cysW//ulaA//hyfD//molR_1//
ArcA_CRP_DpiA_FlhDC	astA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	gntP//relA//
ArcA_CRP_FNR	fimI//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ccmG//rutE//nrfF//
ArcA_CRP_FNR_Fis_Fur_PdhR	purM//
ArcA_CRP_FNR_Fis_IHF_NarL	rutG//
ArcA_CRP_FNR_Fur	astA//nfuA//rrfA//betI//
ArcA_CRP_FNR_Fur_IHF	nuoB//ybdN//garP//entH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	mntP//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fecC//
ArcA_CRP_FNR_IHF_NarL	hns//
ArcA_CRP_FNR_NarL	fdnG//
ArcA_CRP_FadR	nirB//dmsC//
ArcA_CRP_FadR_HipB	prpR//
ArcA_CRP_FadR_OmpR_PhoP	atoD//
ArcA_CRP_Fis_Mlc_SoxS	tnaB//
ArcA_CRP_Fis_XylR	fadB//
ArcA_CRP_Fur_GadX_MqsA	ssuB//
ArcA_CRP_GatR	nuoH//ygiB//fur//fliJ//acrE//dcuB//
ArcA_CRP_GlpR	aroA//
ArcA_CRP_IHF	lsrC//
ArcA_CRP_PuuR	prmC//glnD//rtcA//nirC//yqjH//
ArcA_CRP_RhaS	araH//
ArcA_CRP_TreR	dinJ//hycA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gltU//fixX//
ArcA_Cra	rpsJ//
ArcA_Cra_FNR_H-NS_HypT	nemA//bglG//
ArcA_CysB_FNR	pyrD//
ArcA_FNR	nuoH//tnaC//malK//ydeP//caiE//gapA//uxuA//napH//sufB//appB//gadB//glpQ//mraZ//tpx//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	tauD//
ArcA_FNR_Fis_IHF_NarL	cysW//gltW//ydeM//lacZ//prfA//gcvH//cusF//hybG//nuoH//zraS//cysA//nanC//higA//
ArcA_FNR_Fur_IHF	kbaZ//
ArcA_FNR_IHF	exuR//citD//rpsQ//
ArcA_FNR_IHF_NarL	cysW//malG//
ArcA_FNR_NarL	aroP//proP//trg//gutM//
ArcA_FNR_PhoP	hybG//
ArcA_FNR_PuuR	casB//hyfR//
ArcA_FadR	pspC//chbB//bglB//
ArcA_FadR_Fis	araF//sdhC//
ArcA_Fur_Lrp_ModE	acs//serA//tdcG//hns//ydhV//
ArcA_GlcC_IHF_PdhR	chiP//aceK//gntK//ompC//aceF//alaU//
ArcA_LexA	yiaK//ilvL//
ArcA_LldR	hycH//yiaK//cysI//
ArcA_NarL	srlD//ulaC//metB//fumC//rtcA//ccmB//fbaA//rrsD//
ArcA_NtrC_PhoP_RutR	fumA//rtcB//puuC//cytR//galP//uxaA//puuB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	appY//entH//gatB//
ArgP_CRP_FNR_Fur_Nac	araF//
ArgP_DnaA	ydeP//cysP//aer//
ArgP_Lrp	ynfH//fecA//
ArgP_LysR	pgaD//
ArgP_PhoB	fadB//
ArgR_CRP	tcyJ//
ArgR_CRP_Fis	nrfA//rrfA//hemL//hybO//gspD//deoC//aldA//ulaE//
ArgR_Fis_IHF_PepA_PurR_RutR	ftsI//casD//
ArgR_H-NS_NtrC	paaZ//sgbE//asnC//fimE//
ArgR_NtrC	feoC//tyrR//marA//fimC//rrsH//
ArgR_PhoP	hypE//
AscG_CRP	ybdN//fdnI//cyoB//
AscG_CRP_PhoB_PrpR	caiD//
AsnC_MraZ_Nac	aroM//
AsnC_Nac	hyfC//fumC//
AtoC_IHF	nagC//fimI//ulaB//puuC//
BaeR_CpxR	dnaA//putA//prpE//feaB//nupG//micF//fadJ//
BaeR_CpxR_EvgA	fadJ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	carA//gntP//qseB//cusS//
BasR_CpxR_PdhR	rpoE//glnP//
BasR_Fis	ccmF//
BasR_H-NS_IHF_NagC_NanR	ascF//
BasR_MarA_PutA	fdhF//
BasR_PhoP	rpsQ//
BasR_QseB	paaA//ssuD//
CRP_CaiF_FNR	argG//nrfE//uxuB//fliG//
CRP_ChbR_NagC	sgbE//rbfA//narJ//bglJ//nuoC//gntK//
CRP_ComR	csiE//
CRP_CpxR	metE//
CRP_CpxR_CytR	hycC//
CRP_CpxR_CytR_DnaA_IHF	sucB//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	entC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	frdA//pdhR//pgaC//murG//
CRP_Cra	dadA//rimK//safA//alaU//sufB//frdA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	thrV//rcnA//sgbH//ydeP//
CRP_Cra_FNR_PdhR	fimE//
CRP_Cra_Fis	yciE//
CRP_Cra_Fis_GlcC	xylG//
CRP_Cra_Fis_MtlR	rtcA//csgA//pdhR//
CRP_Cra_Mlc_NagC	mdtE//osmE//ccmD//cyoB//ssuE//flhC//
CRP_Cra_PrpR	hypF//citX//nanT//mntH//
CRP_CreB_Fis_MalT	deoC//rbsK//srlB//
CRP_CsiR_H-NS_Lrp	idnD//zraS//
CRP_CsiR_H-NS_Lrp_Nac	hyaE//gspC//entE//
CRP_CspA_Fis	pdhR//
CRP_CytR	manZ//lyxK//fecB//
CRP_CytR_DeoR	betA//rbsC//
CRP_CytR_DeoR_Fis_ModE	setA//rpsQ//cydA//purD//
CRP_CytR_Nac	fucO//
CRP_CytR_NsrR	fadJ//
CRP_DcuR_FNR_NarL	rseB//
CRP_DinJ-YafQ	moaB//
CRP_DnaA_Fis_PurR	mglB//ebgA//
CRP_DpiA_ExuR	nuoJ//
CRP_DsdC	gnd//gadC//
CRP_EbgR	tsx//dcuB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	yjjQ//gspO//
CRP_ExuR	chbG//
CRP_ExuR_FNR	citG//rhaB//
CRP_ExuR_OxyR_UxuR	cyoD//csgG//
CRP_ExuR_UxuR	evgA//
CRP_FNR	atoA//
CRP_FNR_FhlA_HyfR	idnK//tpx//murQ//paaK//napD//deoB//ygiB//rrsG//dppD//casB//entF//uidB//
CRP_FNR_Fis	puuA//rcnB//truB//
CRP_FNR_Fis_GlpR_IHF	araA//ssb//
CRP_FNR_Fis_H-NS_SlyA	cspA//
CRP_FNR_GcvA_Lrp_PurR	hupA//melA//aceK//
CRP_FNR_H-NS_NarL	nusA//
CRP_FNR_IHF_TdcA_TdcR	rrlB//puuR//torC//gdhA//puuE//entB//yfaE//
CRP_FNR_NarL	garL//udp//idnR//
CRP_FeaR_NsrR	puuD//
CRP_Fis	fepE//rbsD//hokD//rrsB//glpF//
CRP_Fis_FlhDC_GalR_GalS	gspI//ompC//
CRP_Fis_FliZ_IHF_Lrp	rpoS//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	fadI//xylR//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	sucC//araH//eda//
CRP_Fis_IHF	murP//ugpC//hcr//hyfF//ygiC//
CRP_Fis_NanR	zraS//rrsC//hpt//cysJ//nupG//
CRP_Fis_NtrC	argO//pstC//sdhD//
CRP_Fis_XylR	gltV//yefM//ulaB//
CRP_FlhDC_GalR_GalS	dinI//
CRP_FucR	guaB//gloA//ugpB//hycG//rpsO//hypA//metQ//
CRP_Fur	ygeA//ugpQ//cusS//tdcC//hyfG//hmp//ddlB//tyrR//dmsA//
CRP_Fur_HypT_PdhR	nrdE//astA//nuoH//fliH//yiaL//
CRP_Fur_OxyR_SoxS	tdcC//
CRP_GalR_GalS	glnL//
CRP_GalR_GalS_H-NS_HU	mdtE//fucO//narG//rplV//
CRP_GalR_GalS_NagC	uhpT//
CRP_GlpR	paaG//ssb//gspC//
CRP_GntR	yhcH//galK//
CRP_GntR_IdnR	pspB//sufD//pgk//frdB//grcA//caiF//torA//
CRP_GntR_IscR	rplT//
CRP_GutM_GutR_H-NS	ydhX//gltU//fdnH//lldR//zraS//malE//yrbL//
CRP_H-NS	fimE//
CRP_H-NS_HipAB_HipB_NtrC	gatZ//
CRP_H-NS_LacI	gspI//glnP//mhpB//
CRP_H-NS_LeuO	yciG//pspD//rrfD//gntU//cydD//fiu//paaB//
CRP_H-NS_MqsA	bglB//
CRP_IHF	rpoS//gabD//cysB//rutE//
CRP_IHF_MprA_OmpR	lsrF//
CRP_IHF_NsrR	hyfF//
CRP_IHF_PaaX	crr//nirB//marR//fadB//gspO//hypD//hypA//fecC//argP//cydA//waaY//hybE//
CRP_IHF_UlaR	caiD//ugpQ//higA//feoA//iclR//pflB//
CRP_IHF_YiaJ	hyaE//ogt//glpT//malY//casA//lsrA//zraR//dpiA//caiA//rutD//
CRP_LexA	chiP//
CRP_Lrp	rrlB//fucR//fadJ//glcA//
CRP_Lrp_Mlc	hyfF//
CRP_Lrp_Nac	uidC//
CRP_LsrR	ydeN//moaE//aceE//rbsK//leuO//aceA//cbl//puuA//hyfA//
CRP_MalI	gspK//ftsL//narH//
CRP_MalT	norR//dinI//nrdD//
CRP_MalT_PhoP	prpB//
CRP_MelR	ugpB//pqiB//caiE//
CRP_MetJ	ackA//
CRP_MhpR	gltV//pgaC//dmsC//rbsD//leuO//alaT//
CRP_Mlc	mioC//ppiA//
CRP_ModE	nuoG//caiA//yiaN//
CRP_MurR	nrdE//purA//
CRP_Nac_NsrR_PhoB	ydhT//
CRP_NadR	metL//
CRP_NagC	metL//qseC//rsmH//frdA//pdeR//infB//
CRP_NagC_NanR	hyfG//sufA//sbmC//
CRP_NagC_PhoP	malG//
CRP_OxyR	fixX//
CRP_OxyR_UxuR	araE//
CRP_PhoB	fumB//lacY//ugpQ//entC//acnA//frdD//
CRP_PhoP	infB//galP//nagB//
CRP_PutA	gapA//
CRP_RbsR	lsrF//malT//sdhC//purN//cspI//torD//
CRP_RhaR_RhaS	fimG//glgC//
CRP_RhaS	katG//yhcH//hokD//
CRP_Rob	murQ//
CRP_TorR	argP//bglG//nfo//
CRP_UhpA_UvrY	tdcB//
CRP_UidR_UxuR	fecE//lpxD//gadX//
CRP_UvrY	paaG//
CRP_YehT	modB//
CRP_ZraR	pspB//tpx//
CadC_FNR_H-NS_LeuO_MlrA	dinJ//
Cbl_CysB	gcvP//pncB//waaZ//dadA//
Cbl_CysB_FNR_IHF	nrdF//gntX//sdhA//hipA//glpQ//
CdaR_FNR_Fis_Fur_H-NS	cadB//
CdaR_FNR_Fur_H-NS	fepA//ilvG_1//lacZ//araE//
CpxR_CsgD_FliZ	mhpA//cadA//nagA//
CpxR_CysB	rbsK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	atoA//
CpxR_GadE	putA//phoU//ssuD//rpoE//
CpxR_H-NS	infB//
CpxR_NsrR	yjbE//
CpxR_RcsB	hyfH//
CpxR_TyrR	acrE//
Cra_FNR_Fis_Lrp_NarL	rtcB//
Cra_FNR_Fur_MarA_Rob_SoxS	fixC//
Cra_FhlA_FlhDC	deoB//
Cra_GntR_KdgR	nuoB//
Cra_GntR_KdgR_PhoB	iclR//
Cra_MarA_SoxS	csgE//
Cra_PdeL	phoQ//
Cra_SgrR	nuoN//hha//rutC//
Cra_TyrR	gntX//
CreB_NagC	moaA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	cysW//
CsgD_FlhDC	cas1//gspJ//metQ//higB//setA//tdcD//ilvX//fliJ//dppD//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ebgC//prpB//
CspA_Fis_GadX_H-NS	citC//
CueR_FNR_ModE	metE//hyfD//fdnG//ompC//hemA//
CusR_PhoB_YedW	sucC//hlyE//ybdN//ydeM//glcC//cysJ//folA//
CysB_H-NS	gltW//ycdZ//folA//patA//stpA//
CysB_HypT_IHF	aroL//
CysB_IHF	lsrA//ssuC//
CysB_NtrC	feoC//
CysB_PhoP	mhpE//
DcuR_FNR_NarL	acnB//hlyE//yjjQ//puuP//
DinJ-YafQ_LexA	fliC//yfaE//
DpiA_H-NS	casE//
DsdC_NsrR	fimF//
EvgA_FNR	puuR//rbsR//
EvgA_H-NS	nrfB//nikD//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	rplD//
