#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	lamB//malX//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	putA//rprA//fdnH//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	caiC//ccmC//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rbsC//rutA//
AcrR_FNR_Fur_SoxR	ftnA//
AcrR_FNR_Fur_SoxR_SoxS	rbsA//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	srlD//
Ada_AidB_Lrp	mhpF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nuoE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	hyfB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	rrfC//araC//torD//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	mhpA//rrsE//
AdiY_H-NS_IHF	malQ//
AgaR_CRP	uxaC//tdcD//manY//adiA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	carB//agaW//ybjN//proV//gltT//ydhU//
AppY_ArcA_YdeO	nupG//aroP//gcd//acnB//
AraC_CRP	fepE//hupB//sdhA//gcvP//hipA//ugpB//hycG//uxaC//ompF//
AraC_CRP_XylR	tnaA//cyoC//nrdH//
AraC_NagC	hyfA//amtB//
ArcA_BetI_Cra	relA//serC//fimD//katE//
ArcA_CRP_CaiF_FNR_H-NS	hybO//glpF//actP//dadX//glpB//fimC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	tauA//fumC//hypD//nikD//fau//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rrsH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	eda//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ileV//hybF//
ArcA_CRP_Cra_Fis	caiT//
ArcA_CRP_Cra_IHF_IclR	acs//nusA//paaB//
ArcA_CRP_DcuR	napA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	prpD//paaI//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	araJ//
ArcA_CRP_DnaA_FNR	gadY//
ArcA_CRP_DpiA_FNR_NarL	acrB//gltV//hisQ//creD//ydhV//fliH//
ArcA_CRP_DpiA_FlhDC	rimP//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	napD//higA//
ArcA_CRP_FNR	mntH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	narK//dmsD//murP//
ArcA_CRP_FNR_Fis_Fur_PdhR	tdcG//
ArcA_CRP_FNR_Fis_IHF_NarL	bglJ//
ArcA_CRP_FNR_Fur	rsmH//lacZ//cysG//osmC//
ArcA_CRP_FNR_Fur_IHF	waaY//nfsB//gspO//ynfG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fixA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fnr//
ArcA_CRP_FNR_IHF_NarL	yqjI//
ArcA_CRP_FNR_NarL	yjcH//
ArcA_CRP_FadR	waaZ//yhcH//
ArcA_CRP_FadR_HipB	cadA//
ArcA_CRP_FadR_OmpR_PhoP	malS//
ArcA_CRP_Fis_Mlc_SoxS	pdeR//
ArcA_CRP_Fis_XylR	mhpD//
ArcA_CRP_Fur_GadX_MqsA	ydhY//
ArcA_CRP_GatR	yrbL//ackA//aroA//puuB//frdA//narX//
ArcA_CRP_GlpR	rbfA//
ArcA_CRP_IHF	nrdD//
ArcA_CRP_PuuR	hmp//mhpA//rrfH//dppF//yhjA//
ArcA_CRP_RhaS	ydhX//
ArcA_CRP_TreR	agaV//rrlC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	citG//mnmG//
ArcA_Cra	fadH//
ArcA_Cra_FNR_H-NS_HypT	asnC//rrlC//
ArcA_CysB_FNR	xylH//
ArcA_FNR	araF//chiP//hydN//rhaA//fliJ//hycF//purA//hypE//gadE//fucU//katE//rrlC//araF//gadB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ccmH//
ArcA_FNR_Fis_IHF_NarL	patA//mpl//hypF//rrfB//fixB//sufE//zraS//araJ//pyrD//torA//gadB//eda//paaF//
ArcA_FNR_Fur_IHF	oxyR//
ArcA_FNR_IHF	csgA//glpA//carB//
ArcA_FNR_IHF_NarL	aceB//atoB//
ArcA_FNR_NarL	galK//hyfA//gspL//astD//
ArcA_FNR_PhoP	nanE//
ArcA_FNR_PuuR	malS//tomB//
ArcA_FadR	rtcA//dcuB//csgC//
ArcA_FadR_Fis	moaA//ccmH//
ArcA_Fur_Lrp_ModE	uidC//hyaF//flgN//nac//yoaG//
ArcA_GlcC_IHF_PdhR	yiaN//feaB//glpF//yiaK//ynfK//gatZ//
ArcA_LexA	fpr//rhaT//
ArcA_LldR	acrE//fliF//ebgA//
ArcA_NarL	hpt//deoA//hcp//hycH//gntU//baeR//alaV//ilvD//
ArcA_NtrC_PhoP_RutR	pgaA//rhaT//mlc//citD//glnA//yiaK//hdeD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	baeS//srlA//cspA//
ArgP_CRP_FNR_Fur_Nac	modA//
ArgP_DnaA	manX//ssrS//aldA//
ArgP_Lrp	puuA//melB//
ArgP_LysR	cspE//
ArgP_PhoB	gabD//
ArgR_CRP	acrB//
ArgR_CRP_Fis	lldD//ybfN//rnpB//sdhC//folA//hyfG//yjiY//xylF//
ArgR_Fis_IHF_PepA_PurR_RutR	lhgO//proX//
ArgR_H-NS_NtrC	rpsJ//torC//glpD//tdcG//
ArgR_NtrC	rrlA//tsx//rrsH//uxuR//csgA//
ArgR_PhoP	rplD//
AscG_CRP	rrlD//oppC//ptsI//
AscG_CRP_PhoB_PrpR	tyrP//
AsnC_MraZ_Nac	manY//
AsnC_Nac	rplD//puuC//
AtoC_IHF	dppF//nuoN//sgbH//fliJ//
BaeR_CpxR	rrfE//norV//tcyJ//citC//narX//sgbE//fimE//
BaeR_CpxR_EvgA	ygiB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	tdcA//nupG//codB//mdtA//
BasR_CpxR_PdhR	rrsG//ugpE//
BasR_Fis	dps//
BasR_H-NS_IHF_NagC_NanR	ftsA//
BasR_MarA_PutA	gabT//
BasR_PhoP	ssuC//
BasR_QseB	edd//ilvI//
CRP_CaiF_FNR	dsdC//gatC//entB//nikC//
CRP_ChbR_NagC	bglG//gspK//ybiT//mglA//cadB//gltW//
CRP_ComR	dctR//
CRP_CpxR	ptsH//
CRP_CpxR_CytR	astC//
CRP_CpxR_CytR_DnaA_IHF	gspF//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	cysM//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	torA//glcG//nagB//araF//
CRP_Cra	paaF//gadA//pgk//mnmG//chbA//codA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rrlA//fimC//nhaA//tnaB//
CRP_Cra_FNR_PdhR	cysU//
CRP_Cra_Fis	yqjH//
