#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	fucP//ahpF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ilvI//modA//hyfR//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	patA//rrlG//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	waaZ//nanT//
AcrR_FNR_Fur_SoxR	yiaM//
AcrR_FNR_Fur_SoxR_SoxS	qseB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	glnH//
Ada_AidB_Lrp	inaA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rutE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	citG//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	rpoH//ynfE//nuoF//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	entD//yjjQ//
AdiY_H-NS_IHF	puuR//
AgaR_CRP	mntH//bamE//higA//cytR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	pgk//lsrD//flgN//purD//dsdA//mtlR//
AppY_ArcA_YdeO	melA//ilvG_1//nikR//malK//
AraC_CRP	caiA//nrdF//ldtB//uof//ulaB//nmpC//mdtC//hybB//stpA//
AraC_CRP_XylR	tnaC//dppA//citF//
AraC_NagC	slp//uxuR//
ArcA_BetI_Cra	caiT//betB//dadX//nuoE//
ArcA_CRP_CaiF_FNR_H-NS	safA//cusF//ssuA//xylG//caiE//pncB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	pnp//rpsQ//rpoH//rpsQ//rrlA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	pheM//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	cyaR//
ArcA_CRP_Cra_FNR_NsrR_PdhR	napA//treC//
ArcA_CRP_Cra_Fis	dmsB//
ArcA_CRP_Cra_IHF_IclR	flgM//glnG//ydhT//
ArcA_CRP_DcuR	sgbH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	hyfI//nikR//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hyaC//
ArcA_CRP_DnaA_FNR	trg//
ArcA_CRP_DpiA_FNR_NarL	purD//metH//ftsI//umpH//csgC//nrdH//
ArcA_CRP_DpiA_FlhDC	glpB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	yecR//nrfB//
ArcA_CRP_FNR	fecD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	bglB//lsrD//pck//
ArcA_CRP_FNR_Fis_Fur_PdhR	sucB//
ArcA_CRP_FNR_Fis_IHF_NarL	chbB//
ArcA_CRP_FNR_Fur	glnD//proV//yjbH//ybjC//
ArcA_CRP_FNR_Fur_IHF	flgN//glcG//mhpE//glpD//
