#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hdeD//cydA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	hyfH//sdhB//csgD//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	nrdA//xylA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rseA//fadI//
AcrR_FNR_Fur_SoxR	cyoC//
AcrR_FNR_Fur_SoxR_SoxS	rpoE//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	glcC//
Ada_AidB_Lrp	ugpC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	paaA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	rrfD//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	fbaA//yciG//ftsA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fumA//fbaA//
AdiY_H-NS_IHF	hypD//
AgaR_CRP	fadL//fixB//dcuR//ackA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	citE//alaT//nrfE//yciG//rplW//fliJ//
AppY_ArcA_YdeO	narJ//mntP//focB//dmsC//
AraC_CRP	sgrS//mdtF//gspI//appY//ilvA//treC//atoA//ascF//mtlR//
AraC_CRP_XylR	tomB//pdhR//nuoE//
AraC_NagC	cydA//araC//
ArcA_BetI_Cra	glnA//ugpQ//ptsI//aroL//
ArcA_CRP_CaiF_FNR_H-NS	sgrS//rplP//gltV//nikD//tauC//rrsC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	aceA//gcvT//fimC//gltT//murF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	caiD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gabP//
ArcA_CRP_Cra_FNR_NsrR_PdhR	araB//caiE//
ArcA_CRP_Cra_Fis	ccmG//
ArcA_CRP_Cra_IHF_IclR	sodB//metE//cusC//
ArcA_CRP_DcuR	oppA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	bhsA//rutC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nrfF//
ArcA_CRP_DnaA_FNR	rseC//
ArcA_CRP_DpiA_FNR_NarL	glnH//cusC//mntP//oppB//rbsK//dmsD//
ArcA_CRP_DpiA_FlhDC	aroA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	gatA//nmpC//
ArcA_CRP_FNR	rpsO//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	dadX//casB//galT//
ArcA_CRP_FNR_Fis_Fur_PdhR	fhlA//
ArcA_CRP_FNR_Fis_IHF_NarL	gabD//
ArcA_CRP_FNR_Fur	sulA//malP//gltF//yqjH//
ArcA_CRP_FNR_Fur_IHF	csgG//csiD//acs//entB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rrfH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	yjbF//
ArcA_CRP_FNR_IHF_NarL	ydhY//
ArcA_CRP_FNR_NarL	citE//
ArcA_CRP_FadR	napC//ulaF//
ArcA_CRP_FadR_HipB	hycD//
ArcA_CRP_FadR_OmpR_PhoP	psiE//
ArcA_CRP_Fis_Mlc_SoxS	rcnA//
ArcA_CRP_Fis_XylR	napF//
ArcA_CRP_Fur_GadX_MqsA	tpx//
ArcA_CRP_GatR	ddlB//safA//tdcG//nanS//rrlE//tnaB//
ArcA_CRP_GlpR	dcuD//
ArcA_CRP_IHF	ptsI//
ArcA_CRP_PuuR	appC//cysW//nuoH//tdcF//hyaF//
ArcA_CRP_RhaS	astA//
ArcA_CRP_TreR	gltU//degP//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	oppC//glgC//
ArcA_Cra	ndh//
ArcA_Cra_FNR_H-NS_HypT	entB//nanA//
ArcA_CysB_FNR	fhuF//
ArcA_FNR	nanA//glcG//sgbE//idnT//rrfD//hycH//narG//yiaM//hupA//dps//yciF//ulaF//yafQ//ilvI//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gdhA//
ArcA_FNR_Fis_IHF_NarL	betB//deoD//dmsC//fabZ//rseC//csgB//nanS//dmsB//lamB//fhlA//acs//rbsA//bglG//
ArcA_FNR_Fur_IHF	moaA//
ArcA_FNR_IHF	malQ//aceF//gnd//
ArcA_FNR_IHF_NarL	cysM//cbl//
ArcA_FNR_NarL	yiaJ//nemR//grcA//exuT//
ArcA_FNR_PhoP	rrlG//
ArcA_FNR_PuuR	moaE//dpiA//
ArcA_FadR	chbF//malF//rhaD//
ArcA_FadR_Fis	dsdA//rbfA//
ArcA_Fur_Lrp_ModE	zraR//astD//hyfF//hyaA//rrsH//
ArcA_GlcC_IHF_PdhR	nuoN//aldA//flhD//ompC//yjbF//nemA//
ArcA_LexA	ydhV//rbsK//
ArcA_LldR	ihfA//rpmC//actP//
ArcA_NarL	oppC//rrfE//bamE//manX//cysA//cyoA//marR//hybG//
ArcA_NtrC_PhoP_RutR	cadB//mazE//malP//safA//paaK//mlc//argP//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fdnH//purH//ydhW//
ArgP_CRP_FNR_Fur_Nac	ascB//
ArgP_DnaA	astB//nuoK//cysG//
ArgP_Lrp	fimE//rrsE//
ArgP_LysR	fdhF//
ArgP_PhoB	mtr//
ArgR_CRP	dinI//
ArgR_CRP_Fis	torC//lsrR//rbsA//prmC//yjbE//dppA//degP//yjbF//
ArgR_Fis_IHF_PepA_PurR_RutR	cysM//tauC//
ArgR_H-NS_NtrC	serC//fepA//lsrD//setA//
ArgR_NtrC	ydhT//gltT//metE//mdtB//norV//
ArgR_PhoP	yeiL//
AscG_CRP	ptsH//rutE//ulaC//
AscG_CRP_PhoB_PrpR	osmY//
AsnC_MraZ_Nac	lamB//
AsnC_Nac	oppD//gadC//
AtoC_IHF	rcsA//aldB//cyoD//pgk//
BaeR_CpxR	bamE//caiA//rrsD//actP//ugpC//fur//gspG//
BaeR_CpxR_EvgA	hycG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	lpxC//prfA//hupA//evgS//
BasR_CpxR_PdhR	srlA//mtlA//
BasR_Fis	hcr//
BasR_H-NS_IHF_NagC_NanR	ugpQ//
BasR_MarA_PutA	tdcE//
BasR_PhoP	deoC//
BasR_QseB	mhpF//srlD//
CRP_CaiF_FNR	cyoD//idnK//caiD//pstA//
CRP_ChbR_NagC	chbR//nikA//adhE//kbaZ//atoE//rrsC//
CRP_ComR	ssb//
CRP_CpxR	hycA//
CRP_CpxR_CytR	pqiB//
CRP_CpxR_CytR_DnaA_IHF	pspA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	mazE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	glcE//fhuF//ulaD//purH//
CRP_Cra	appY//lysP//ydhW//sbmC//gspD//yjbG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	metB//yeaR//gyrA//fdnI//
CRP_Cra_FNR_PdhR	entF//
CRP_Cra_Fis	fumC//
CRP_Cra_Fis_GlcC	puuR//
CRP_Cra_Fis_MtlR	gnd//xylB//yjbG//
CRP_Cra_Mlc_NagC	uidB//acrE//nuoI//napD//bglJ//ydhY//
CRP_Cra_PrpR	exuR//rsmH//guaA//fucR//
CRP_CreB_Fis_MalT	hybC//glnP//murQ//
CRP_CsiR_H-NS_Lrp	srlE//pflB//
CRP_CsiR_H-NS_Lrp_Nac	citC//dusB//fucA//
CRP_CspA_Fis	paaA//
CRP_CytR	yhcH//atoE//rrsG//
CRP_CytR_DeoR	aceA//yiaO//
CRP_CytR_DeoR_Fis_ModE	tauB//moaD//ilvH//yhjA//
CRP_CytR_Nac	mlc//
CRP_CytR_NsrR	tdcE//
CRP_DcuR_FNR_NarL	ilvA//
CRP_DinJ-YafQ	ulaB//
CRP_DnaA_Fis_PurR	accC//aroG//
CRP_DpiA_ExuR	cysM//
CRP_DsdC	argP//hypE//
CRP_EbgR	rpoS//nanK//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	paaZ//glcD//
CRP_ExuR	lsrA//
CRP_ExuR_FNR	manZ//manX//
CRP_ExuR_OxyR_UxuR	sucC//aroG//
CRP_ExuR_UxuR	acrD//
CRP_FNR	fliC//
CRP_FNR_FhlA_HyfR	srlB//galP//adiA//appX//cyoA//glpB//ilvA//chiP//appC//rplV//narG//rpsJ//
CRP_FNR_Fis	melR//acrE//slp//
CRP_FNR_Fis_GlpR_IHF	pstA//mhpB//
CRP_FNR_Fis_H-NS_SlyA	nagA//
CRP_FNR_GcvA_Lrp_PurR	hybE//tomB//yjcH//
CRP_FNR_H-NS_NarL	zraR//
CRP_FNR_IHF_TdcA_TdcR	gapA//pspE//rrsC//lysA//malT//citG//hypF//
CRP_FNR_NarL	fecA//csgG//gadF//
CRP_FeaR_NsrR	flhC//
CRP_Fis	malM//rseA//nirB//gspE//cydD//
CRP_Fis_FlhDC_GalR_GalS	torD//gspH//
CRP_Fis_FliZ_IHF_Lrp	lsrG//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	malQ//prpD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rbsC//cusB//nuoA//
CRP_Fis_IHF	ilvE//acrD//rrsD//fecD//glmY//
CRP_Fis_NanR	fumC//aspC//prpE//gspF//rpoS//
CRP_Fis_NtrC	idnD//ydhY//proP//
CRP_Fis_XylR	yiaM//yafQ//hupB//
CRP_FlhDC_GalR_GalS	nanA//
CRP_FucR	fucU//moaB//dcuC//cyaR//rimP//gspI//entC//
CRP_Fur	ilvX//hypB//mhpF//yciG//fliF//galP//fiu//sucB//gadX//
CRP_Fur_HypT_PdhR	nrdF//ubiC//dsdC//ynfK//glcG//
CRP_Fur_OxyR_SoxS	ulaA//
CRP_GalR_GalS	ydeN//
CRP_GalR_GalS_H-NS_HU	yjbH//malE//metE//cspA//
CRP_GalR_GalS_NagC	hisM//
CRP_GlpR	lacA//pdhR//nrfG//
CRP_GntR	ppiA//malE//
CRP_GntR_IdnR	araE//araD//galK//nupG//feoC//sufA//uxuB//
CRP_GntR_IscR	ynfG//
CRP_GutM_GutR_H-NS	lsrB//cyoB//ftsA//mdtD//cbl//tdcC//mtr//
CRP_H-NS	xylF//
CRP_H-NS_HipAB_HipB_NtrC	ptsI//
CRP_H-NS_LacI	gatY//lrp//rrlD//
CRP_H-NS_LeuO	xylR//hisJ//hybA//kbaZ//truB//fimE//acrD//
CRP_H-NS_MqsA	ybdZ//
CRP_IHF	rrfB//exuT//pck//rrsC//
CRP_IHF_MprA_OmpR	ydhW//
CRP_IHF_NsrR	rpoE//
CRP_IHF_PaaX	emrK//cadC//gntK//nrfD//bamE//evgS//nagC//lhgO//exuR//mdtF//purR//xylF//
CRP_IHF_UlaR	prfA//spy//nrdF//yciE//pstB//nanK//
CRP_IHF_YiaJ	cusA//agaA//hisP//torA//rcsA//fadB//galM//oppC//treC//caiD//
CRP_LexA	pqiA//
CRP_Lrp	rhaT//hyfR//yeaR//sdhC//
CRP_Lrp_Mlc	idnO//
CRP_Lrp_Nac	flgM//
CRP_LsrR	hypB//pyrD//ynfK//rpsO//ccmH//glpF//sufC//nikD//tam//
CRP_MalI	yfaE//argD//chbG//
CRP_MalT	xylF//ascF//malQ//
CRP_MalT_PhoP	aslB//
CRP_MelR	nrdE//mntH//slp//
CRP_MetJ	pgk//
CRP_MhpR	gabT//sucC//nrdE//mpl//rhaD//hydN//
CRP_Mlc	glyA//glpB//
CRP_ModE	acrF//hyfB//nuoC//
CRP_MurR	ssrS//grcA//
CRP_Nac_NsrR_PhoB	murP//
CRP_NadR	narK//
CRP_NagC	argD//tyrP//malF//hypF//glpB//metE//
CRP_NagC_NanR	araE//uxuR//uxaA//
CRP_NagC_PhoP	entE//
CRP_OxyR	chbG//
CRP_OxyR_UxuR	araC//
CRP_PhoB	aidB//hycF//ssuD//gspD//mdtF//cusS//
CRP_PhoP	uspA//malK//glnQ//
CRP_PutA	ileU//
CRP_RbsR	hycF//hycG//nemR//narG//aceK//hycC//
CRP_RhaR_RhaS	sdhA//emrY//
CRP_RhaS	deoA//waaY//spy//
CRP_Rob	mdtB//
CRP_TorR	acrB//katG//purR//
CRP_UhpA_UvrY	fliG//
CRP_UidR_UxuR	garP//cas2//rrfA//
CRP_UvrY	chiP//
CRP_YehT	ahpF//
CRP_ZraR	gatD//gltT//
CadC_FNR_H-NS_LeuO_MlrA	cydD//
Cbl_CysB	hypE//ptsH//pgaA//gutQ//
