#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	gltW//gspI//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	yiaL//frdB//betI//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	tnaB//fimB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	mazE//glnL//
AcrR_FNR_Fur_SoxR	iclR//
AcrR_FNR_Fur_SoxR_SoxS	appC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	hemL//
Ada_AidB_Lrp	glpC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	fliE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	cusB//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ulaG//sgbE//chiP//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	envZ//pqiB//
AdiY_H-NS_IHF	mtlD//
AgaR_CRP	appX//csgE//ulaG//nuoC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	fucR//malQ//nanT//soxS//mdh//lrp//
AppY_ArcA_YdeO	hybC//hycF//frdB//fimE//
AraC_CRP	casB//ompR//hycH//glcA//ygiA//cadB//pstC//poxB//rpoE//
AraC_CRP_XylR	tauC//gnd//hyaF//
AraC_NagC	metL//ppiA//
ArcA_BetI_Cra	caiC//gspL//pstB//csgG//
ArcA_CRP_CaiF_FNR_H-NS	safA//gadW//glcC//dadA//inaA//hpt//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gatB//fixA//feoC//hyfH//lysP//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	murE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	rpsC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fixA//gspK//
ArcA_CRP_Cra_Fis	cas2//
ArcA_CRP_Cra_IHF_IclR	ascB//cyoE//accC//
ArcA_CRP_DcuR	srlE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	napB//fdnH//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ilvA//
ArcA_CRP_DnaA_FNR	appC//
ArcA_CRP_DpiA_FNR_NarL	tnaA//dpiA//katE//dmsB//lysP//feaB//
ArcA_CRP_DpiA_FlhDC	rrfA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hypC//relB//
ArcA_CRP_FNR	hybO//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	focA//lsrC//ulaA//
ArcA_CRP_FNR_Fis_Fur_PdhR	uidB//
ArcA_CRP_FNR_Fis_IHF_NarL	lpxD//
ArcA_CRP_FNR_Fur	mtlR//flgM//focA//fecD//
ArcA_CRP_FNR_Fur_IHF	hyfD//spy//rutC//fecA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	narK//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	kbaZ//
ArcA_CRP_FNR_IHF_NarL	phoQ//
ArcA_CRP_FNR_NarL	ybfN//
ArcA_CRP_FadR	hisP//lrp//
ArcA_CRP_FadR_HipB	fucO//
ArcA_CRP_FadR_OmpR_PhoP	aroG//
ArcA_CRP_Fis_Mlc_SoxS	rbfA//
ArcA_CRP_Fis_XylR	nrfA//
ArcA_CRP_Fur_GadX_MqsA	torA//
ArcA_CRP_GatR	ssuE//rrfE//melR//caiD//hycC//caiA//
ArcA_CRP_GlpR	nrfC//
ArcA_CRP_IHF	lacA//
ArcA_CRP_PuuR	csgD//yaiA//rbsC//fepB//sdhD//
ArcA_CRP_RhaS	ugpE//
ArcA_CRP_TreR	ssb//mtlR//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ompF//glnD//
ArcA_Cra	feoA//
ArcA_Cra_FNR_H-NS_HypT	gadC//nrfD//
ArcA_CysB_FNR	tdcE//
ArcA_FNR	hypF//narJ//ilvE//appB//cysU//modC//exuR//napD//fliE//eda//dppF//ftsQ//nuoL//modA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	malT//
ArcA_FNR_Fis_IHF_NarL	mnmG//nanM//nuoA//narK//cadB//rtcB//cbl//sbmC//norR//mlc//nemA//hcp//aceE//
ArcA_FNR_Fur_IHF	fimA//
ArcA_FNR_IHF	puuE//pyrD//pck//
ArcA_FNR_IHF_NarL	lsrD//gyrA//
ArcA_FNR_NarL	rpoS//ynfK//ygeA//lsrA//
ArcA_FNR_PhoP	glpA//
ArcA_FNR_PuuR	focA//paaE//
ArcA_FadR	citC//mglA//rutB//
ArcA_FadR_Fis	glnP//rsmH//
ArcA_Fur_Lrp_ModE	rpsQ//pspE//hyfJ//betI//oxyR//
ArcA_GlcC_IHF_PdhR	nikR//dpiB//ompF//fadD//ileT//skp//
ArcA_LexA	uspA//malE//
ArcA_LldR	hyfC//idnT//fliZ//
ArcA_NarL	ydhV//rhaS//rpsQ//baeS//paaA//yciF//rcsA//cyoB//
ArcA_NtrC_PhoP_RutR	paaJ//nagB//araH//aceF//acrE//ompF//codB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nanK//cysW//amtB//
ArgP_CRP_FNR_Fur_Nac	manX//
ArgP_DnaA	rplW//dpiA//aspA//
ArgP_Lrp	gltW//grcA//
ArgP_LysR	ilvM//
ArgP_PhoB	paaC//
ArgR_CRP	sra//
ArgR_CRP_Fis	nuoM//lsrK//cas2//mdtD//fliE//mhpA//rrlC//paaZ//
ArgR_Fis_IHF_PepA_PurR_RutR	idnT//entA//
ArgR_H-NS_NtrC	rpmC//glnH//dppF//xylB//
ArgR_NtrC	ccmH//yjiY//hycE//glcB//crr//
ArgR_PhoP	glcE//
AscG_CRP	mntH//uidA//acrF//
AscG_CRP_PhoB_PrpR	csrC//
AsnC_MraZ_Nac	tnaA//
AsnC_Nac	oppA//exuR//
AtoC_IHF	oppB//glpQ//grcA//cspA//
BaeR_CpxR	lldR//yeaR//cusB//norW//ybjN//rrlC//fiu//
BaeR_CpxR_EvgA	ydhT//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	gspL//epd//prmC//ebgC//
BasR_CpxR_PdhR	dpiB//ompC//
BasR_Fis	frdB//
BasR_H-NS_IHF_NagC_NanR	uxaC//
BasR_MarA_PutA	hyfE//
BasR_PhoP	rrfF//
BasR_QseB	hcp//yafQ//
CRP_CaiF_FNR	rrsB//safA//asnC//rrfB//
CRP_ChbR_NagC	flgM//rutD//dppC//atoB//csiE//nagC//
CRP_ComR	dppD//
CRP_CpxR	gadX//
CRP_CpxR_CytR	nemR//
CRP_CpxR_CytR_DnaA_IHF	mtlD//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	lgoR//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	cydC//rrlE//cysU//feaB//
CRP_Cra	fimI//rrlC//ybfN//feaB//hybC//ascF//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	flgM//carB//norW//gspC//
CRP_Cra_FNR_PdhR	rrsB//
CRP_Cra_Fis	deoD//
CRP_Cra_Fis_GlcC	asnC//
CRP_Cra_Fis_MtlR	ulaC//hpt//codA//
CRP_Cra_Mlc_NagC	argO//marR//galP//hyfI//rbsA//cusB//
CRP_Cra_PrpR	araD//sdhC//dgcZ//glpF//
CRP_CreB_Fis_MalT	entC//aceB//hyfF//
CRP_CsiR_H-NS_Lrp	ulaE//safA//
CRP_CsiR_H-NS_Lrp_Nac	mdtD//casB//oppD//
CRP_CspA_Fis	aspA//
CRP_CytR	purR//pyrC//cysP//
CRP_CytR_DeoR	rhaA//napC//
CRP_CytR_DeoR_Fis_ModE	gltA//infB//pqiB//rrlH//
CRP_CytR_Nac	emrY//
CRP_CytR_NsrR	glmY//
CRP_DcuR_FNR_NarL	caiT//
CRP_DinJ-YafQ	tyrP//
CRP_DnaA_Fis_PurR	exuT//sufC//
CRP_DpiA_ExuR	frdA//
CRP_DsdC	ndh//fecC//
CRP_EbgR	mntP//hyfC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	aspC//moaA//
CRP_ExuR	galT//
CRP_ExuR_FNR	pspE//lhgO//
CRP_ExuR_OxyR_UxuR	qseC//norW//
CRP_ExuR_UxuR	nrfF//
CRP_FNR	tnaB//
CRP_FNR_FhlA_HyfR	accB//gyrA//mlc//gntP//putA//paaF//hlyE//hyfC//ugpB//nrfG//acs//lpd//
CRP_FNR_Fis	glcG//fucR//pnp//
CRP_FNR_Fis_GlpR_IHF	nirD//citF//
CRP_FNR_Fis_H-NS_SlyA	acnA//
CRP_FNR_GcvA_Lrp_PurR	cyoA//ssuA//pyrD//
CRP_FNR_H-NS_NarL	baeR//
CRP_FNR_IHF_TdcA_TdcR	proV//deoD//glnP//nirD//hyfB//fdhF//yafQ//
CRP_FNR_NarL	astD//rrfF//marA//
CRP_FeaR_NsrR	manZ//
CRP_Fis	entF//gabD//paaF//phoQ//cysG//
CRP_Fis_FlhDC_GalR_GalS	osmC//yeaR//
CRP_Fis_FliZ_IHF_Lrp	recF//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	gltW//fecD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	yoaG//fiu//pdeR//
CRP_Fis_IHF	iclR//uidB//sucC//nupG//ccmD//
CRP_Fis_NanR	yfaE//nhaA//paaE//gcvT//soxS//
CRP_Fis_NtrC	frdB//gspE//feaR//
CRP_Fis_XylR	putP//flgM//fliJ//
CRP_FlhDC_GalR_GalS	ulaF//
CRP_FucR	cyoD//araF//fes//ygeA//oppA//katE//fixX//
CRP_Fur	hyaF//rimP//mtlR//aceB//idnT//infB//ihfA//ilvA//ygiB//
CRP_Fur_HypT_PdhR	malF//focB//napB//gspE//glnK//
CRP_Fur_OxyR_SoxS	chiP//
CRP_GalR_GalS	tdcC//
CRP_GalR_GalS_H-NS_HU	tolC//galS//rrfD//putP//
CRP_GalR_GalS_NagC	tauA//
CRP_GlpR	feaB//csrC//tolC//
CRP_GntR	glcA//nanA//
CRP_GntR_IdnR	ulaA//tnaB//aceK//hpt//garP//glnK//fumB//
CRP_GntR_IscR	gadW//
CRP_GutM_GutR_H-NS	argP//nanS//pspD//dcuD//ssrS//actP//rplT//
CRP_H-NS	stpA//
CRP_H-NS_HipAB_HipB_NtrC	glnH//
CRP_H-NS_LacI	malP//appA//treB//
CRP_H-NS_LeuO	rrlB//glpX//dctA//glcE//manZ//glnL//pspD//
CRP_H-NS_MqsA	rbsD//
CRP_IHF	fepA//glcB//ydhV//glcF//
CRP_IHF_MprA_OmpR	nfuA//
CRP_IHF_NsrR	ydeM//
CRP_IHF_PaaX	melR//feaB//alaT//nuoE//citC//rhaR//yqjI//lpd//fixB//dppB//murC//appX//
CRP_IHF_UlaR	acrD//yhiM//csgD//mntH//relB//lpxC//
CRP_IHF_YiaJ	citC//mazE//betI//nanS//tomB//sroD//nemR//malX//nagA//carB//
CRP_LexA	tdcE//
CRP_Lrp	gatZ//hycI//pgaC//narG//
CRP_Lrp_Mlc	adiA//
CRP_Lrp_Nac	fabZ//
CRP_LsrR	paaG//serC//sdhD//gatC//fucR//ilvD//ccmG//rutE//nfsB//
CRP_MalI	gspC//lsrR//bamE//
CRP_MalT	astD//malG//aceE//
CRP_MalT_PhoP	dmsA//
CRP_MelR	mnmG//gdhA//ptsH//
CRP_MetJ	ccmG//
CRP_MhpR	nirC//casD//dppD//rsmH//kbaZ//yefM//
CRP_Mlc	fliK//relA//
CRP_ModE	aroP//ssuB//galT//
CRP_MurR	rhaT//gcd//
CRP_Nac_NsrR_PhoB	galP//
CRP_NadR	pck//
CRP_NagC	fixB//araH//aceF//xylR//cysH//hlyE//
CRP_NagC_NanR	fadA//astB//fes//
CRP_NagC_PhoP	rrlG//
CRP_OxyR	osmY//
CRP_OxyR_UxuR	ulaB//
CRP_PhoB	ulaG//nuoK//gltU//udp//paaJ//gadA//
CRP_PhoP	fhuF//hmp//hokD//
CRP_PutA	garK//
CRP_RbsR	rcnA//metI//ulaG//lldD//infB//argP//
CRP_RhaR_RhaS	metQ//araD//
CRP_RhaS	rrfA//mazF//rnpB//
CRP_Rob	murD//
CRP_TorR	aldA//fliA//hisJ//
CRP_UhpA_UvrY	ydhX//
CRP_UidR_UxuR	sufS//rutE//ssuD//
CRP_UvrY	ulaF//
CRP_YehT	uidC//
CRP_ZraR	ydeP//bglJ//
CadC_FNR_H-NS_LeuO_MlrA	rpsI//
Cbl_CysB	metR//rsmH//malP//alaV//
Cbl_CysB_FNR_IHF	rrsE//asnC//fliG//rrlG//inaA//
CdaR_FNR_Fis_Fur_H-NS	fepB//
CdaR_FNR_Fur_H-NS	hybE//nuoN//icd//tam//
CpxR_CsgD_FliZ	soxS//rpsQ//hemL//
CpxR_CysB	rhaS//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	rrlD//
CpxR_GadE	hycE//pdhR//oppF//gatY//
CpxR_H-NS	rimP//
CpxR_NsrR	ydhY//
CpxR_RcsB	pck//
CpxR_TyrR	ccmG//
Cra_FNR_Fis_Lrp_NarL	argD//
Cra_FNR_Fur_MarA_Rob_SoxS	aldB//
Cra_FhlA_FlhDC	ftnA//
Cra_GntR_KdgR	fucU//
Cra_GntR_KdgR_PhoB	hypD//
Cra_MarA_SoxS	folA//
Cra_PdeL	xylH//
Cra_SgrR	ulaC//melB//mntH//
Cra_TyrR	sufC//
CreB_NagC	ompF//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	sgrS//
CsgD_FlhDC	yecR//pyrD//kbaZ//rbsA//galP//leuO//ssuA//marA//rplB//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	purM//dnaN//
CspA_Fis_GadX_H-NS	citG//
CueR_FNR_ModE	fumA//pyrC//dctR//sdhD//fliZ//
CusR_PhoB_YedW	skp//zwf//rrfA//hyfB//cydA//yeiL//sulA//
CysB_H-NS	thrV//gatB//nanC//nrdD//aroL//
CysB_HypT_IHF	nfsB//
CysB_IHF	rnpB//murD//
CysB_NtrC	envZ//
CysB_PhoP	fucO//
DcuR_FNR_NarL	nrdF//tpx//dctA//ygiB//
DinJ-YafQ_LexA	nrdH//citD//
DpiA_H-NS	nagB//
DsdC_NsrR	dcuB//
EvgA_FNR	umpH//moaD//
EvgA_H-NS	cysH//infB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	hipB//
EvgA_H-NS_PhoP_RcsB_YdeO	lsrK//
EvgA_PhoP_RcsB_YdeO	waaZ//
ExuR_UxuR	csgE//serC//
FNR_FhlA_IHF_NsrR	chbG//ccmA//pgaA//hydN//entH//
FNR_FhlA_NarL_NarP	chbF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gcd//patA//yqjH//fabA//gltW//mdtB//lyxK//
FNR_Fis_IHF_ModE_NarL	rrfD//chiP//gutQ//
FNR_Fis_IHF_NarL	hyfC//
FNR_Fis_IHF_NarL_RstA	fadA//fecD//ytfE//tdcF//
FNR_FlhDC	narK//
FNR_FlhDC_IscR_ModE_NarL_NarP	fecE//araG//hmp//sucB//serC//dppB//fimF//
