#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nrdA//nanT//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	ccmF//glnK//aroM//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	argO//hycB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	astA//rrfE//
AcrR_FNR_Fur_SoxR	hyfA//
AcrR_FNR_Fur_SoxR_SoxS	ybdZ//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	cysP//
Ada_AidB_Lrp	ydeO//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gutQ//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	emrY//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	yiaM//dppF//rcsA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	pspC//nuoA//
AdiY_H-NS_IHF	rrlG//
AgaR_CRP	metN//hyfD//uidB//fau//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	rplP//pgaA//hha//rpsO//ahpC//uxaC//
AppY_ArcA_YdeO	rutE//dctR//adiA//rcnB//
AraC_CRP	ilvX//gspD//sufB//nusA//narK//fecC//fimE//hycA//ulaC//
AraC_CRP_XylR	hycE//poxB//rrfC//
AraC_NagC	gabD//araH//
ArcA_BetI_Cra	acs//dsdA//ccmB//pgk//
ArcA_CRP_CaiF_FNR_H-NS	csgA//fadD//nrfA//truB//pyrD//acnA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	idnD//metQ//bolA//csgB//gltV//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	purH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	puuP//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rcsA//ydhW//
ArcA_CRP_Cra_Fis	folA//
ArcA_CRP_Cra_IHF_IclR	dinJ//araB//metH//
ArcA_CRP_DcuR	rplB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	rrlC//rpsI//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ynfF//
ArcA_CRP_DnaA_FNR	ccmE//
ArcA_CRP_DpiA_FNR_NarL	gabT//yeiL//ccmD//ynfE//waaH//yjbG//
ArcA_CRP_DpiA_FlhDC	gatZ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	betA//ilvG_2//
ArcA_CRP_FNR	glnP//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mhpF//focA//malM//
ArcA_CRP_FNR_Fis_Fur_PdhR	fnr//
ArcA_CRP_FNR_Fis_IHF_NarL	yhiM//
ArcA_CRP_FNR_Fur	fimE//rseA//ulaB//pgaD//
ArcA_CRP_FNR_Fur_IHF	hdeD//hyfB//rhaB//prpB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ogt//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	epd//
ArcA_CRP_FNR_IHF_NarL	paaB//
ArcA_CRP_FNR_NarL	cysU//
ArcA_CRP_FadR	glcD//ulaC//
ArcA_CRP_FadR_HipB	baeS//
ArcA_CRP_FadR_OmpR_PhoP	yoeB//
