#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	malM//lacY//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	lsrK//rutD//pspE//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	gntX//lldR//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	dcuS//mhpF//
AcrR_FNR_Fur_SoxR	nikA//
AcrR_FNR_Fur_SoxR_SoxS	nirC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	hyfR//
Ada_AidB_Lrp	gadA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	metQ//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	hycD//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	sodB//mlc//hupB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	yjiY//ulaG//
AdiY_H-NS_IHF	cyoC//
AgaR_CRP	nrdA//gadE//moaE//gadF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	qseB//ftsI//idnD//aroL//gatY//nikR//
AppY_ArcA_YdeO	gadW//fucK//fumA//ahpC//
AraC_CRP	tdcG//napH//csgC//napD//rrlE//yjjQ//feaB//rrsH//aroG//
AraC_CRP_XylR	xylA//ahpC//puuP//
AraC_NagC	prmC//betB//
ArcA_BetI_Cra	araC//ebgC//astA//hyfE//
ArcA_CRP_CaiF_FNR_H-NS	entF//fecA//dppB//udp//ompF//murE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ilvD//mazG//nfuA//uxaB//cysB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ptsH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	araA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	malF//hybE//
ArcA_CRP_Cra_Fis	aslB//
ArcA_CRP_Cra_IHF_IclR	accB//marB//narI//
ArcA_CRP_DcuR	pstA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	setA//purM//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fliK//
ArcA_CRP_DnaA_FNR	rimP//
ArcA_CRP_DpiA_FNR_NarL	glcE//paaA//bglB//fliI//csiE//puuD//
ArcA_CRP_DpiA_FlhDC	chbA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ydeP//pqiB//
ArcA_CRP_FNR	betI//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hycH//tolC//rpoE//
ArcA_CRP_FNR_Fis_Fur_PdhR	fiu//
ArcA_CRP_FNR_Fis_IHF_NarL	pyrD//
ArcA_CRP_FNR_Fur	ugpQ//glnG//acnA//betT//
ArcA_CRP_FNR_Fur_IHF	mglB//mglA//hypA//purM//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hyfH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lsrR//
ArcA_CRP_FNR_IHF_NarL	appC//
ArcA_CRP_FNR_NarL	yciE//
ArcA_CRP_FadR	dppA//rplP//
ArcA_CRP_FadR_HipB	dinI//
ArcA_CRP_FadR_OmpR_PhoP	rcnB//
ArcA_CRP_Fis_Mlc_SoxS	ompR//
ArcA_CRP_Fis_XylR	nikR//
ArcA_CRP_Fur_GadX_MqsA	ynfH//
ArcA_CRP_GatR	entH//osmC//rrlC//nanC//lsrG//tnaB//
ArcA_CRP_GlpR	fis//
ArcA_CRP_IHF	edd//
ArcA_CRP_PuuR	ydeO//cusS//rpsC//ldtB//rpsC//
ArcA_CRP_RhaS	hupA//
ArcA_CRP_TreR	rrfG//araG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	phoU//purM//
ArcA_Cra	frdD//
ArcA_Cra_FNR_H-NS_HypT	cyoA//ydeO//
ArcA_CysB_FNR	aldB//
ArcA_FNR	paaH//fimE//hyfA//murQ//rrsH//infB//ndh//lsrG//rrlH//fadA//ybjN//ccmG//fdnG//hycI//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	aslB//
ArcA_FNR_Fis_IHF_NarL	gspF//manZ//pstA//aidB//mtlR//fadL//murG//csgE//rplC//hypA//ilvM//cadB//tdcF//
ArcA_FNR_Fur_IHF	sgbH//
ArcA_FNR_IHF	nuoC//nemA//mglA//
ArcA_FNR_IHF_NarL	fabB//fliF//
ArcA_FNR_NarL	nagA//ydhW//bglB//actP//
ArcA_FNR_PhoP	hyaF//
ArcA_FNR_PuuR	yfaE//fliC//
ArcA_FadR	cydB//nrfG//oxyR//
ArcA_FadR_Fis	hycE//rhaA//
ArcA_Fur_Lrp_ModE	caiC//modB//sufA//sodA//aspC//
ArcA_GlcC_IHF_PdhR	idnT//sdhD//hycC//hypA//gspI//sdhC//
ArcA_LexA	hokD//acrF//
ArcA_LldR	ccmG//baeS//caiA//
ArcA_NarL	csgC//hycD//rimK//casC//dinJ//sdhB//dnaN//sufA//
