#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ydhU//appY//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	rbfA//hisJ//sucB//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ompF//evgS//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	malF//cysW//
AcrR_FNR_Fur_SoxR	nuoE//
AcrR_FNR_Fur_SoxR_SoxS	dctR//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	uxuA//
Ada_AidB_Lrp	gadA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	yeiL//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	xylG//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	nirB//ftsQ//rsmH//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	xylF//nagC//
AdiY_H-NS_IHF	moaB//
AgaR_CRP	dsdX//yjbE//eda//fis//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	malI//betT//ddlB//nuoN//chbF//nirD//
AppY_ArcA_YdeO	dpiB//baeS//ogt//dppD//
AraC_CRP	dcuR//nemA//nrdI//nikC//dsdA//rutB//pyrD//atoD//pspC//
AraC_CRP_XylR	hycE//puuE//nuoK//
AraC_NagC	hyfJ//phoU//
ArcA_BetI_Cra	uvrA//dmsA//astE//cdd//
ArcA_CRP_CaiF_FNR_H-NS	tomB//frdC//uidB//sroD//yhiM//puuD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hycA//fimB//glpB//mglB//paaC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fadE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	oppA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	soxR//chbB//
ArcA_CRP_Cra_Fis	hdeD//
ArcA_CRP_Cra_IHF_IclR	rsmH//gatD//ybjN//
ArcA_CRP_DcuR	mraY//
ArcA_CRP_DcuR_DpiA_FNR_NarL	proW//ssuE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	melA//
ArcA_CRP_DnaA_FNR	qseB//
ArcA_CRP_DpiA_FNR_NarL	pyrC//fabA//glpA//ugpA//dnaN//hipB//
ArcA_CRP_DpiA_FlhDC	fimF//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	mhpB//ugpC//
ArcA_CRP_FNR	csgA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ydeM//baeR//yciG//
ArcA_CRP_FNR_Fis_Fur_PdhR	appC//
ArcA_CRP_FNR_Fis_IHF_NarL	pgaD//
ArcA_CRP_FNR_Fur	flhD//cyoE//entC//appY//
ArcA_CRP_FNR_Fur_IHF	ygiA//aroM//ahpC//acs//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ugpE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rtcA//
ArcA_CRP_FNR_IHF_NarL	deoB//
