#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ebgA//nuoB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	flhD//aroG//hycH//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ldtB//lgoR//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	xylG//sdhD//
AcrR_FNR_Fur_SoxR	putP//
AcrR_FNR_Fur_SoxR_SoxS	cusC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	casC//
Ada_AidB_Lrp	tam//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	folA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	puuC//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	hdeD//ynfF//puuR//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	caiA//glpX//
AdiY_H-NS_IHF	dcuC//
AgaR_CRP	metI//purR//fadH//atoA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	astD//araH//rrsA//hypB//tauB//cyoB//
AppY_ArcA_YdeO	gcvP//puuP//moaE//rhaA//
AraC_CRP	lsrA//lpd//rcsA//gspM//lhgO//metY//ybiT//puuC//caiF//
AraC_CRP_XylR	torC//bglG//hycA//
AraC_NagC	higA//deoC//
ArcA_BetI_Cra	rrfC//gltU//hisJ//mazE//
ArcA_CRP_CaiF_FNR_H-NS	feoC//flgM//atoA//puuP//rrlD//prpC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	putA//manY//hupA//recF//ygbA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glcF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	yeiL//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rpoE//aer//
ArcA_CRP_Cra_Fis	sbmC//
ArcA_CRP_Cra_IHF_IclR	paaH//caiE//caiF//
ArcA_CRP_DcuR	fucI//
ArcA_CRP_DcuR_DpiA_FNR_NarL	csgF//ompW//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	melA//
ArcA_CRP_DnaA_FNR	garP//
ArcA_CRP_DpiA_FNR_NarL	hyfC//nfo//napD//tyrR//mglC//dpiB//
ArcA_CRP_DpiA_FlhDC	rpsJ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hyaD//mdtA//
ArcA_CRP_FNR	gabP//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fpr//envZ//ydeO//
ArcA_CRP_FNR_Fis_Fur_PdhR	glgP//
ArcA_CRP_FNR_Fis_IHF_NarL	modB//
ArcA_CRP_FNR_Fur	hypC//ilvD//nuoN//fixB//
ArcA_CRP_FNR_Fur_IHF	fbaA//ybdN//nanC//epd//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	prpC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mazF//
ArcA_CRP_FNR_IHF_NarL	proX//
ArcA_CRP_FNR_NarL	rbsC//
ArcA_CRP_FadR	nanK//pdhR//
ArcA_CRP_FadR_HipB	yciF//
ArcA_CRP_FadR_OmpR_PhoP	paaB//
ArcA_CRP_Fis_Mlc_SoxS	fimG//
ArcA_CRP_Fis_XylR	fabB//
ArcA_CRP_Fur_GadX_MqsA	lsrD//
ArcA_CRP_GatR	melA//psiE//fhuF//rseB//fecA//sufA//
ArcA_CRP_GlpR	dmsC//
ArcA_CRP_IHF	mdh//
ArcA_CRP_PuuR	uvrA//ssb//gspF//gspJ//metB//
ArcA_CRP_RhaS	sdhA//
ArcA_CRP_TreR	leuO//lsrK//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ynfF//envZ//
ArcA_Cra	malK//
ArcA_Cra_FNR_H-NS_HypT	murE//galM//
ArcA_CysB_FNR	rpsQ//
ArcA_FNR	hyaC//uxuR//edd//ydhX//rrfC//ygiB//lamB//recF//csgE//mdh//adiA//yiaJ//ssrS//nfsB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rpoS//
ArcA_FNR_Fis_IHF_NarL	yhiM//dsdA//gadF//phoU//hha//mazF//marA//lsrC//higB//citC//fadL//ilvG_1//napB//
ArcA_FNR_Fur_IHF	fucR//
ArcA_FNR_IHF	murQ//recF//hyaD//
ArcA_FNR_IHF_NarL	mraY//cysA//
ArcA_FNR_NarL	malT//hisM//rpsC//ydeP//
ArcA_FNR_PhoP	malT//
ArcA_FNR_PuuR	rprA//sdhA//
ArcA_FadR	narL//nrdF//sufA//
ArcA_FadR_Fis	lyxK//lsrF//
ArcA_Fur_Lrp_ModE	caiC//adiC//dusB//uxuB//lamB//
ArcA_GlcC_IHF_PdhR	ftsW//waaZ//cyaR//lgoR//nuoB//gntX//
ArcA_LexA	uxaB//narJ//
ArcA_LldR	chbF//argP//glcA//
ArcA_NarL	galM//paaE//ompR//lsrA//nikE//rpsI//leuO//fes//
ArcA_NtrC_PhoP_RutR	hisJ//gnd//accC//rutG//acrE//glpK//purN//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	dcuR//appA//hemA//
ArgP_CRP_FNR_Fur_Nac	grcA//
ArgP_DnaA	hyfB//hlyE//narI//
ArgP_Lrp	pyrC//ssuA//
ArgP_LysR	dinI//
ArgP_PhoB	mtlR//
ArgR_CRP	fabA//
ArgR_CRP_Fis	rpoS//cusA//deoA//glnK//baeR//cusC//rbfA//gspF//
ArgR_Fis_IHF_PepA_PurR_RutR	caiD//ascF//
ArgR_H-NS_NtrC	rrfB//fdhF//fadI//mdtB//
ArgR_NtrC	gatY//nemA//gltV//ubiC//tyrP//
ArgR_PhoP	ompW//
AscG_CRP	gltF//gatZ//csgA//
AscG_CRP_PhoB_PrpR	malY//
AsnC_MraZ_Nac	rrfG//
AsnC_Nac	nrfB//aceB//
AtoC_IHF	umpH//deoB//hybG//paaF//
BaeR_CpxR	csgE//ydeN//mhpB//oppD//flgN//hokD//bglG//
BaeR_CpxR_EvgA	yqjI//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	hyfR//fiu//yiaM//glnD//
BasR_CpxR_PdhR	flhC//ptsG//
BasR_Fis	fumC//
BasR_H-NS_IHF_NagC_NanR	argP//
BasR_MarA_PutA	prpC//
BasR_PhoP	hisJ//
BasR_QseB	sucC//fimG//
CRP_CaiF_FNR	putP//nanK//rpoH//tsx//
CRP_ChbR_NagC	mlc//deoB//ftsQ//cysA//uidA//nupC//
CRP_ComR	fepB//
CRP_CpxR	nrfF//
CRP_CpxR_CytR	safA//
CRP_CpxR_CytR_DnaA_IHF	ompC//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	tdcB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	malM//tauD//nrfB//rrlB//
CRP_Cra	fimH//malF//fliG//ilvA//hycG//soxS//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lldD//yedX//paaA//srlB//
CRP_Cra_FNR_PdhR	ilvX//
CRP_Cra_Fis	purM//
CRP_Cra_Fis_GlcC	cspI//
CRP_Cra_Fis_MtlR	napC//ybjN//glpT//
CRP_Cra_Mlc_NagC	pncB//eda//eda//rhaR//katE//iraM//
CRP_Cra_PrpR	ulaG//hybA//nikD//cirA//
CRP_CreB_Fis_MalT	ssuA//fimI//citF//
CRP_CsiR_H-NS_Lrp	carA//rcsA//
CRP_CsiR_H-NS_Lrp_Nac	pyrC//nuoK//feaR//
CRP_CspA_Fis	gspE//
CRP_CytR	ccmF//fepA//gadA//
CRP_CytR_DeoR	chbF//fepE//
CRP_CytR_DeoR_Fis_ModE	rplM//sra//rrlG//nrdG//
CRP_CytR_Nac	chbR//
CRP_CytR_NsrR	frdA//
CRP_DcuR_FNR_NarL	hipB//
CRP_DinJ-YafQ	xylR//
CRP_DnaA_Fis_PurR	glnG//caiF//
CRP_DpiA_ExuR	molR_1//
