#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	dppB//araG//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	dinI//marB//rsmH//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	gspC//csiD//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	zraS//caiE//
AcrR_FNR_Fur_SoxR	nikE//
AcrR_FNR_Fur_SoxR_SoxS	ubiC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	lacZ//
Ada_AidB_Lrp	ybdZ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	tauA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	rbsA//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	fepA//mpl//nikA//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	pnp//pck//
AdiY_H-NS_IHF	cydD//
AgaR_CRP	nagB//hyfA//actP//bamE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	fadE//nuoB//glnH//mglB//ackA//murC//
AppY_ArcA_YdeO	dsdC//rutF//metB//exuT//
AraC_CRP	slp//betI//malG//fucR//deoA//mpl//moaE//envZ//pncB//
AraC_CRP_XylR	glgC//feaR//yefM//
AraC_NagC	norW//metE//
ArcA_BetI_Cra	yafQ//glpA//qseB//bglG//
ArcA_CRP_CaiF_FNR_H-NS	fhlA//mdtE//nanC//nrfE//tauD//fadL//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	sdhB//csiD//serA//pdeL//ilvL//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fliA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	glpT//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fixB//ascB//
ArcA_CRP_Cra_Fis	katE//
