#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ilvM//pflB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	murD//ynfF//ilvI//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	ydeN//agaW//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	moaA//yafQ//
AcrR_FNR_Fur_SoxR	sucA//
AcrR_FNR_Fur_SoxR_SoxS	hypC//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	glpT//
Ada_AidB_Lrp	ackA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nuoE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	ftsQ//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	aroL//acnB//mtlR//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ydeM//rpoH//
AdiY_H-NS_IHF	dmsB//
AgaR_CRP	rrsH//glcG//dppB//sroD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	mtlA//casA//murQ//metQ//modA//tam//
AppY_ArcA_YdeO	rrsH//atoA//glgP//nhaR//
AraC_CRP	uxaA//purA//lsrD//aspA//aspA//rrlD//dadA//gntU//iclR//
AraC_CRP_XylR	moaD//atoD//adiC//
AraC_NagC	bglF//ulaB//
ArcA_BetI_Cra	flhD//nanT//fixX//slp//
ArcA_CRP_CaiF_FNR_H-NS	dmsC//araE//osmE//gntP//fnr//glpB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	yhiM//gadW//nirB//gyrA//hyaE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rutE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ssuD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ccmA//metB//
ArcA_CRP_Cra_Fis	envZ//
ArcA_CRP_Cra_IHF_IclR	nrfE//metH//glpF//
ArcA_CRP_DcuR	paaG//
ArcA_CRP_DcuR_DpiA_FNR_NarL	oppA//citC//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	acrB//
ArcA_CRP_DnaA_FNR	codA//
ArcA_CRP_DpiA_FNR_NarL	fucI//marB//ydeP//flgM//nrfE//metE//
ArcA_CRP_DpiA_FlhDC	cyaR//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	leuO//gspK//
ArcA_CRP_FNR	nfuA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yiaM//tauC//yoeB//
ArcA_CRP_FNR_Fis_Fur_PdhR	glcF//
ArcA_CRP_FNR_Fis_IHF_NarL	mdtC//
ArcA_CRP_FNR_Fur	ileV//hyfC//purN//ftsQ//
ArcA_CRP_FNR_Fur_IHF	citX//ulaE//lpd//gspJ//
