#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	pck//fdnH//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	feoB//hybA//waaY//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	atoE//yoaG//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	serA//yqjH//
AcrR_FNR_Fur_SoxR	rhaT//
AcrR_FNR_Fur_SoxR_SoxS	marB//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	nagE//
Ada_AidB_Lrp	galS//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gspE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	dmsD//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	mtlA//mtlR//csrC//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	atoB//gltT//
AdiY_H-NS_IHF	prfA//
AgaR_CRP	cadC//dps//araC//ptsI//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	nanE//rhaA//ulaE//metB//mpl//dsdC//
AppY_ArcA_YdeO	rutB//flhC//hycB//ulaB//
AraC_CRP	cusF//xylB//fliK//yhjA//feaB//hyfA//ydhX//lldD//fucP//
AraC_CRP_XylR	icd//puuE//rhaD//
AraC_NagC	nanS//deoB//
ArcA_BetI_Cra	fecC//amtB//adhE//fumB//
ArcA_CRP_CaiF_FNR_H-NS	yjbF//tdcF//gspC//aslB//osmY//sufA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	yfaE//lhgO//treC//rrsA//chbC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	yqjH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	tdcF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	napA//ccmB//
ArcA_CRP_Cra_Fis	fliI//
ArcA_CRP_Cra_IHF_IclR	mdtE//cytR//qseB//
ArcA_CRP_DcuR	cysI//
ArcA_CRP_DcuR_DpiA_FNR_NarL	serC//cytR//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	araA//
ArcA_CRP_DnaA_FNR	gadB//
ArcA_CRP_DpiA_FNR_NarL	gltW//stpA//inaA//mdtC//fadL//atoE//
ArcA_CRP_DpiA_FlhDC	malX//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	fecE//deoC//
ArcA_CRP_FNR	ssuE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gadX//fadA//sgbE//
ArcA_CRP_FNR_Fis_Fur_PdhR	mazG//
ArcA_CRP_FNR_Fis_IHF_NarL	chiP//
ArcA_CRP_FNR_Fur	pspA//mdtA//tam//pspA//
ArcA_CRP_FNR_Fur_IHF	moaA//tdcC//oppF//metQ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	glpB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	relA//
ArcA_CRP_FNR_IHF_NarL	gatD//
ArcA_CRP_FNR_NarL	cysP//
ArcA_CRP_FadR	caiA//ftsL//
ArcA_CRP_FadR_HipB	yaiA//
ArcA_CRP_FadR_OmpR_PhoP	acs//
ArcA_CRP_Fis_Mlc_SoxS	tdcA//
ArcA_CRP_Fis_XylR	ilvG_1//
ArcA_CRP_Fur_GadX_MqsA	gloA//
ArcA_CRP_GatR	appC//chbC//waaY//cysU//aroP//ilvI//
ArcA_CRP_GlpR	mhpE//
ArcA_CRP_IHF	lpxA//
ArcA_CRP_PuuR	nrdI//yjiY//gadC//pspD//rrfC//
ArcA_CRP_RhaS	cysP//
ArcA_CRP_TreR	ulaE//dcuC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	xylF//agaA//
ArcA_Cra	tauA//
ArcA_Cra_FNR_H-NS_HypT	pspD//glpT//
ArcA_CysB_FNR	nupG//
ArcA_FNR	lrp//rpoE//phoU//rrlH//cyoD//focA//tpx//dcuC//glpC//rrsG//sulA//gltB//glmY//ybdZ//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	narX//
ArcA_FNR_Fis_IHF_NarL	bhsA//katG//dusB//appX//iclR//higA//hisM//marA//idnK//asnC//csgD//garL//mhpC//
ArcA_FNR_Fur_IHF	rrlC//
ArcA_FNR_IHF	araF//hypE//rrfA//
ArcA_FNR_IHF_NarL	emrY//nfuA//
ArcA_FNR_NarL	pspD//hycA//araF//rhaT//
ArcA_FNR_PhoP	bglJ//
ArcA_FNR_PuuR	tdcG//cyaR//
ArcA_FadR	cydB//yiaK//mnmG//
ArcA_FadR_Fis	nagB//uxaB//
ArcA_Fur_Lrp_ModE	citC//cyaR//rrsB//cadC//glpK//
ArcA_GlcC_IHF_PdhR	creD//ompC//proV//tyrP//fimC//narX//
ArcA_LexA	xylA//sufA//
ArcA_LldR	napC//chbR//cspA//
ArcA_NarL	infB//hyaD//bglF//araG//rseA//ugpB//idnK//gatZ//
ArcA_NtrC_PhoP_RutR	ileU//tdcG//ssrS//lrp//pheM//ascF//purM//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ftsA//dsdC//ebgA//
ArgP_CRP_FNR_Fur_Nac	paaE//
ArgP_DnaA	yefM//malS//fumB//
ArgP_Lrp	fliJ//hha//
ArgP_LysR	rrlC//
ArgP_PhoB	fimC//
ArgR_CRP	hybA//
ArgR_CRP_Fis	safA//ilvX//gnd//glyA//aceF//cydA//csgG//argO//
ArgR_Fis_IHF_PepA_PurR_RutR	ybfN//caiE//
ArgR_H-NS_NtrC	nfsA//narH//fhlA//mraY//
ArgR_NtrC	grcA//tdcF//aroM//uxuB//dcuC//
ArgR_PhoP	moaD//
