#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	narL//stpA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	yoaG//hyfG//rrfG//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	accC//rrfA//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hipB//ydhX//
AcrR_FNR_Fur_SoxR	gabP//
AcrR_FNR_Fur_SoxR_SoxS	paaG//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	hydN//
Ada_AidB_Lrp	udp//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aroP//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	alaV//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ahpF//waaH//yciG//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	safA//entA//
AdiY_H-NS_IHF	guaB//
AgaR_CRP	sroD//ybjN//aldA//nusA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	paaD//chbC//dmsA//uof//pyrD//nirC//
AppY_ArcA_YdeO	csgF//metH//hyfG//kbaZ//
AraC_CRP	flgN//dmsB//patA//fixB//rcnB//galR//accB//metB//cysH//
AraC_CRP_XylR	ebgA//melR//chbA//
AraC_NagC	ydhX//uidA//
ArcA_BetI_Cra	ileT//oppA//ydhX//rpoE//
ArcA_CRP_CaiF_FNR_H-NS	lsrK//mazF//rhaD//yjbH//idnO//lldD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	higB//gcvT//pck//gyrA//nirC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	cysJ//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	entE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ompR//idnT//
ArcA_CRP_Cra_Fis	ileU//
ArcA_CRP_Cra_IHF_IclR	idnK//sgbU//melA//
ArcA_CRP_DcuR	murD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	rseC//ydeN//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ygiA//
ArcA_CRP_DnaA_FNR	cyoA//
ArcA_CRP_DpiA_FNR_NarL	gadE//rplC//nagA//qseB//gcvT//yqjH//
ArcA_CRP_DpiA_FlhDC	mazF//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hipB//cyoC//
ArcA_CRP_FNR	gltV//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hyaC//gabP//ssuE//
ArcA_CRP_FNR_Fis_Fur_PdhR	mazF//
ArcA_CRP_FNR_Fis_IHF_NarL	ftsA//
ArcA_CRP_FNR_Fur	accC//dppC//infB//fdnG//
ArcA_CRP_FNR_Fur_IHF	pgaD//mglB//uidB//atoB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	iraM//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	dmsB//
ArcA_CRP_FNR_IHF_NarL	ilvE//
ArcA_CRP_FNR_NarL	glgP//
ArcA_CRP_FadR	hlyE//araC//
ArcA_CRP_FadR_HipB	torC//
ArcA_CRP_FadR_OmpR_PhoP	guaB//
ArcA_CRP_Fis_Mlc_SoxS	aspA//
ArcA_CRP_Fis_XylR	gspL//
ArcA_CRP_Fur_GadX_MqsA	yafQ//
ArcA_CRP_GatR	rpsJ//uxaC//idnR//hyaA//waaZ//hlyE//
ArcA_CRP_GlpR	fdnI//
ArcA_CRP_IHF	cdd//
ArcA_CRP_PuuR	lpd//feoB//atoD//infB//higA//
ArcA_CRP_RhaS	tauA//
ArcA_CRP_TreR	rhaS//tomB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	napC//baeR//
ArcA_Cra	hybC//
