#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	paaD//higB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	lrp//higB//ogt//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	malE//mhpB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glcD//yefM//
AcrR_FNR_Fur_SoxR	yciG//
AcrR_FNR_Fur_SoxR_SoxS	cyoD//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	galT//
Ada_AidB_Lrp	mhpF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	yciG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	osmE//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	acrD//gnd//rseB//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sodB//hycG//
AdiY_H-NS_IHF	yoeB//
AgaR_CRP	napA//glcC//casB//ftsW//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	modC//metL//exuT//nuoI//astD//marR//
AppY_ArcA_YdeO	sufC//rnpB//gnd//phoQ//
AraC_CRP	ytfE//fecD//uof//serA//flhC//sucC//purN//dppF//fur//
AraC_CRP_XylR	dnaA//hyfG//tauD//
AraC_NagC	metR//malQ//
ArcA_BetI_Cra	appX//ybjC//ftsQ//phoU//
ArcA_CRP_CaiF_FNR_H-NS	fnr//mdh//fumA//sufE//rcnB//focB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	prpR//ndh//gatD//fliF//hupA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fliG//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	dctR//
