#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	fliH//astA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	uvrA//uidB//ompR//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	rpoS//tnaB//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rsmH//mazF//
AcrR_FNR_Fur_SoxR	codA//
AcrR_FNR_Fur_SoxR_SoxS	hydN//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	paaH//
Ada_AidB_Lrp	cysM//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	dmsA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	gcd//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	ftsL//rprA//paaI//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fecE//fepA//
AdiY_H-NS_IHF	lsrC//
AgaR_CRP	ulaG//proW//hemA//xylR//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	phoU//sodB//uxaB//uxaA//gcvH//manY//
AppY_ArcA_YdeO	xylH//paaA//fes//glpT//
AraC_CRP	hyaF//ulaC//zwf//chbF//rrsG//mazE//cusR//cusA//nhaR//
AraC_CRP_XylR	malK//gltW//ebgC//
AraC_NagC	degP//rrfB//
ArcA_BetI_Cra	ygiB//metB//cusF//betT//
ArcA_CRP_CaiF_FNR_H-NS	rtcA//infB//dppF//gatD//cdd//dadA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hipB//yqjH//yjjQ//psiE//rseC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	cusR//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nuoM//
ArcA_CRP_Cra_FNR_NsrR_PdhR	dmsD//appB//
ArcA_CRP_Cra_Fis	ftsA//
ArcA_CRP_Cra_IHF_IclR	atoD//ugpB//pncB//
ArcA_CRP_DcuR	proP//
ArcA_CRP_DcuR_DpiA_FNR_NarL	araE//citD//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mpl//
ArcA_CRP_DnaA_FNR	paaC//
ArcA_CRP_DpiA_FNR_NarL	xylF//araA//aroP//gcvT//cysA//ilvG_1//
ArcA_CRP_DpiA_FlhDC	fliJ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	hisQ//dsdA//
ArcA_CRP_FNR	rpmC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	envZ//dcuB//pdeL//
ArcA_CRP_FNR_Fis_Fur_PdhR	galR//
ArcA_CRP_FNR_Fis_IHF_NarL	cydB//
ArcA_CRP_FNR_Fur	mhpC//galE//fliE//ygiC//
ArcA_CRP_FNR_Fur_IHF	araC//fliK//frdD//cysG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ompW//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	qseB//
ArcA_CRP_FNR_IHF_NarL	paaK//
ArcA_CRP_FNR_NarL	aroP//
ArcA_CRP_FadR	rutC//acnA//
ArcA_CRP_FadR_HipB	dsdX//
ArcA_CRP_FadR_OmpR_PhoP	acs//
ArcA_CRP_Fis_Mlc_SoxS	cysP//
ArcA_CRP_Fis_XylR	ssuE//
ArcA_CRP_Fur_GadX_MqsA	hycB//
ArcA_CRP_GatR	caiB//galP//cusB//cadA//uidA//acrE//
ArcA_CRP_GlpR	sucC//
ArcA_CRP_IHF	napF//
ArcA_CRP_PuuR	uhpT//hlyE//araA//nupC//nrfF//
ArcA_CRP_RhaS	ulaG//
ArcA_CRP_TreR	narG//gnd//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	csgF//mntH//
ArcA_Cra	chbA//
ArcA_Cra_FNR_H-NS_HypT	puuC//fucR//
ArcA_CysB_FNR	nrfF//
ArcA_FNR	malF//malM//feoA//guaA//spy//infB//idnK//hisP//ilvG_1//hyfI//psiE//torA//chbG//mhpC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	malI//
